SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	ReadingTotalWASLTested	ReadingMetStandardIncludingPrevPass	ReadingPercentMetStandardIncludingPrevPass	ReadingMetStandardWithoutPrevPass	ReadingPercentMetStandardWithoutPrevPass	ReadingPercentMetStandardExcludingNoScore	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelBasic	ReadingPercentLevelBasic	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNoScore	ReadingPercentNoScore	ReadingNotMet	ReadingPercentNotMet	ReadingExcusedAbsence	ReadingExempted	ReadingWAASPORT	ReadingWAASDAW	MathTotalWASLTested	MathMetStandardIncludingPrevPass	MathPercentMetStandardIncludingPrevPass	MathMetStandardWithoutPrevPass	MathPercentMetStandardWithoutPrevPass	MathPercentMetStandardExcludingNoScore	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelBasic	MathPercentLevelBasic	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNoScore	MathPercentNoScore	MathNotMet	MathPercentNotMet	MathExcusedAbsence	MathExempted	MathWAASPORT	MathWAASDAW	WritingTotalWASLTested	WritingMetStandardIncludingPrevPass	WritingPercentMetStandardIncludingPrevPass	WritingMetStandardWithoutPrevPass	WritingPercentMetStandardWithoutPrevPass	WritingPercentMetStandardExcludingNoScore	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelBasic	WritingPercentLevelBasic	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNoScore	WritingPercentNoScore	WritingNotMet	WritingPercentNotMet	WritingExcusedAbsence	WritingExempted	WritingWAASPORT	WritingWAASDAW	ScienceTotalWASLTested	ScienceMetStandardIncludingPrevPass	SciencePercentMetStandardIncludingPrevPass	ScienceMetStandardWithoutPrevPass	SciencePercentMetStandardWithoutPrevPass	SciencePercentMetStandardExcludingNoScore	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelBasic	SciencePercentLevelBasic	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNoScore	SciencePercentNoScore	ScienceNotMet	SciencePercentNotMet	ScienceExcusedAbsence	ScienceExempted	ScienceWAASPORT	ScienceWAASDAW	ReadingLevelIndex	MathLevelIndex
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2902	Lutacaga Elementary	3	90	39	42.9	39	42.9	43.3	14	15.4	37	40.7	0	0.0	25	27.5	14	15.4	1	1.1	52	57.1	0	2	4	0	89	40	44.4	40	44.4	44.9	32	35.6	17	18.9	0	0.0	28	31.1	12	13.3	1	1.1	50	55.6	0	3	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.41	2.20
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2902	Lutacaga Elementary	4	88	47	53.4	47	53.4	53.4	11	12.5	30	34.1	0	0.0	35	39.8	12	13.6	0	0.0	41	46.6	0	1	9	0	88	19	21.6	19	21.6	21.6	40	45.5	29	33.0	0	0.0	11	12.5	8	9.1	0	0.0	69	78.4	0	1	9	0	83	42	47.2	42	47.2	50.6	17	19.1	24	27.0	0	0.0	30	33.7	12	13.5	6	6.7	47	52.8	0	1	8	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.55	1.85
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2902	Lutacaga Elementary	5	94	46	48.4	46	48.4	48.9	18	18.9	30	31.6	3	3.2	30	31.6	13	13.7	1	1.1	49	51.6	0	1	2	0	94	23	24.2	23	24.2	24.5	45	47.4	26	27.4	0	0.0	15	15.8	8	8.4	1	1.1	72	75.8	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	91	6	6.5	6	6.5	6.6	59	64.1	26	28.3	0	0.0	6	6.5	0	0.0	1	1.1	86	93.5	2	2	2	0	2.32	1.83
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2902	Lutacaga Elementary	6	106	31	29.2	31	29.2	29.2	25	23.6	50	47.2	1	0.9	29	27.4	1	0.9	0	0.0	75	70.8	0	2	3	0	103	30	28.3	30	28.3	29.1	51	48.1	22	20.8	0	0.0	21	19.8	9	8.5	3	2.8	76	71.7	0	2	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	1.83
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2961	Hiawatha Elementary School	3	95	35	36.8	35	36.8	36.8	26	27.4	34	35.8	0	0.0	19	20.0	16	16.8	0	0.0	60	63.2	0	1	0	0	95	34	35.8	34	35.8	35.8	41	43.2	20	21.1	0	0.0	19	20.0	15	15.8	0	0.0	61	64.2	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.26	2.08
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2961	Hiawatha Elementary School	4	94	43	45.7	43	45.7	45.7	9	9.6	42	44.7	2	2.1	33	35.1	8	8.5	0	0.0	51	54.3	0	4	0	0	94	20	21.3	20	21.3	21.3	53	56.4	21	22.3	1	1.1	8	8.5	11	11.7	0	0.0	74	78.7	0	4	0	0	93	37	39.4	37	39.4	39.8	32	34.0	24	25.5	0	0.0	26	27.7	11	11.7	1	1.1	57	60.6	0	4	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.38	1.73
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2961	Hiawatha Elementary School	5	98	48	48.0	48	48.0	49.0	17	17.0	33	33.0	1	1.0	34	34.0	13	13.0	2	2.0	52	52.0	0	0	0	0	100	29	29.0	29	29.0	29.0	51	51.0	20	20.0	0	0.0	16	16.0	13	13.0	0	0.0	71	71.0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	24	24.0	24	24.0	24.2	50	50.0	25	25.0	1	1.0	23	23.0	0	0.0	1	1.0	76	76.0	0	0	0	0	2.37	1.91
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	2961	Hiawatha Elementary School	6	83	42	50.6	42	50.6	50.6	11	13.3	30	36.1	0	0.0	38	45.8	4	4.8	0	0.0	41	49.4	0	2	0	0	82	19	22.9	19	22.9	23.2	37	44.6	26	31.3	0	0.0	13	15.7	6	7.2	1	1.2	64	77.1	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.42	1.83
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	3015	Othello High School	10	107	217	87.1	83	72.2	77.6	9	7.8	15	13.0	1	0.9	50	43.5	32	27.8	8	7.0	32	27.8	15	144	4	0	163	78	35.6	33	19.0	20.2	85	48.9	45	25.9	0	0.0	30	17.2	3	1.7	11	6.3	141	81.0	43	57	4	0	80	223	91.4	64	75.3	80.0	6	7.1	10	11.8	3	3.5	38	44.7	23	27.1	5	5.9	21	24.7	19	170	4	0	178	74	37.4	74	37.4	41.6	69	34.8	35	17.7	0	0.0	72	36.4	2	1.0	20	10.1	124	62.6	64	12	4	0	2.76	1.59
2008-09	Educational Service District 123	01	Adams	01147	Othello School District	3471	McFarland Middle School	7	249	161	64.4	161	64.4	64.7	21	8.4	67	26.8	2	0.8	82	32.8	77	30.8	1	0.4	89	35.6	0	6	3	0	249	117	46.8	117	46.8	47.0	71	28.4	61	24.4	0	0.0	63	25.2	54	21.6	1	0.4	133	53.2	0	6	3	0	243	176	71.3	176	71.3	72.4	19	7.7	48	19.4	3	1.2	93	37.7	80	32.4	4	1.6	71	28.7	2	7	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.84	2.39
