SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	ReadingTotalWASLTested	ReadingMetStandardIncludingPrevPass	ReadingPercentMetStandardIncludingPrevPass	ReadingMetStandardWithoutPrevPass	ReadingPercentMetStandardWithoutPrevPass	ReadingPercentMetStandardExcludingNoScore	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelBasic	ReadingPercentLevelBasic	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNoScore	ReadingPercentNoScore	ReadingNotMet	ReadingPercentNotMet	ReadingExcusedAbsence	ReadingExempted	ReadingWAASPORT	ReadingWAASDAW	MathTotalWASLTested	MathMetStandardIncludingPrevPass	MathPercentMetStandardIncludingPrevPass	MathMetStandardWithoutPrevPass	MathPercentMetStandardWithoutPrevPass	MathPercentMetStandardExcludingNoScore	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelBasic	MathPercentLevelBasic	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNoScore	MathPercentNoScore	MathNotMet	MathPercentNotMet	MathExcusedAbsence	MathExempted	MathWAASPORT	MathWAASDAW	WritingTotalWASLTested	WritingMetStandardIncludingPrevPass	WritingPercentMetStandardIncludingPrevPass	WritingMetStandardWithoutPrevPass	WritingPercentMetStandardWithoutPrevPass	WritingPercentMetStandardExcludingNoScore	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelBasic	WritingPercentLevelBasic	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNoScore	WritingPercentNoScore	WritingNotMet	WritingPercentNotMet	WritingExcusedAbsence	WritingExempted	WritingWAASPORT	WritingWAASDAW	ScienceTotalWASLTested	ScienceMetStandardIncludingPrevPass	SciencePercentMetStandardIncludingPrevPass	ScienceMetStandardWithoutPrevPass	SciencePercentMetStandardWithoutPrevPass	SciencePercentMetStandardExcludingNoScore	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelBasic	SciencePercentLevelBasic	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNoScore	SciencePercentNoScore	ScienceNotMet	SciencePercentNotMet	ScienceExcusedAbsence	ScienceExempted	ScienceWAASPORT	ScienceWAASDAW	ReadingLevelIndex	MathLevelIndex
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2721	Carmichael Middle School	7	281	165	56.7	165	56.7	58.7	30	10.3	86	29.6	0	0.0	88	30.2	77	26.5	10	3.4	126	43.3	0	1	0	0	283	165	56.9	165	56.9	58.3	68	23.4	50	17.2	0	0.0	64	22.1	101	34.8	7	2.4	125	43.1	1	1	0	0	282	221	75.9	221	75.9	78.4	27	9.3	34	11.7	0	0.0	139	47.8	82	28.2	9	3.1	70	24.1	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.66	2.63
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2721	Carmichael Middle School	8	286	180	62.3	180	62.3	62.9	37	12.8	69	23.9	0	0.0	105	36.3	75	26.0	3	1.0	109	37.7	1	4	1	0	287	157	54.0	157	54.0	54.7	56	19.2	74	25.4	0	0.0	98	33.7	59	20.3	4	1.4	134	46.0	1	2	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	286	173	59.7	173	59.7	60.5	45	15.5	68	23.4	0	0.0	126	43.4	47	16.2	4	1.4	117	40.3	1	4	0	0	2.73	2.52
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2785	Chief Joseph Middle School	6	221	150	67.6	150	67.6	67.9	21	9.5	50	22.5	0	0.0	92	41.4	58	26.1	1	0.5	72	32.4	0	1	0	0	221	103	46.4	103	46.4	46.6	60	27.0	58	26.1	0	0.0	59	26.6	44	19.8	1	0.5	119	53.6	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.83	2.38
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2785	Chief Joseph Middle School	7	267	140	51.7	140	51.7	52.4	46	17.0	81	29.9	0	0.0	90	33.2	50	18.5	4	1.5	131	48.3	1	2	0	0	271	110	40.6	110	40.6	40.6	105	38.7	56	20.7	0	0.0	46	17.0	64	23.6	0	0.0	161	59.4	0	3	0	0	268	148	54.8	148	54.8	55.2	58	21.5	62	23.0	1	0.4	85	31.5	62	23.0	2	0.7	122	45.2	1	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.50	2.25
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2785	Chief Joseph Middle School	8	198	118	59.6	118	59.6	59.6	23	11.6	57	28.8	1	0.5	70	35.4	47	23.7	0	0.0	80	40.4	1	3	0	0	198	94	47.2	94	47.2	47.5	54	27.1	50	25.1	0	0.0	49	24.6	45	22.6	1	0.5	105	52.8	1	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195	112	56.9	112	56.9	57.4	32	16.2	51	25.9	0	0.0	77	39.1	35	17.8	2	1.0	85	43.1	0	5	0	0	2.70	2.42
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2786	Jason Lee Elementary School	3	103	75	72.1	75	72.1	72.8	10	9.6	18	17.3	0	0.0	46	44.2	29	27.9	1	1.0	29	27.9	0	0	0	0	104	69	66.3	69	66.3	66.3	16	15.4	19	18.3	0	0.0	47	45.2	22	21.2	0	0.0	35	33.7	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.88	2.72
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2786	Jason Lee Elementary School	4	86	70	80.5	70	80.5	81.4	1	1.1	15	17.2	0	0.0	46	52.9	24	27.6	1	1.1	17	19.5	0	0	3	0	86	42	48.3	42	48.3	48.8	19	21.8	25	28.7	0	0.0	23	26.4	19	21.8	1	1.1	45	51.7	0	0	3	0	85	51	59.3	51	59.3	60.0	5	5.8	29	33.7	0	0.0	37	43.0	14	16.3	1	1.2	35	40.7	1	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.05	2.46
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	2786	Jason Lee Elementary School	5	96	81	84.4	81	84.4	84.4	5	5.2	10	10.4	0	0.0	31	32.3	50	52.1	0	0.0	15	15.6	0	0	4	0	95	61	64.2	61	64.2	64.2	10	10.5	24	25.3	0	0.0	26	27.4	35	36.8	0	0.0	34	35.8	1	0	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	57	60.0	57	60.0	60.0	9	9.5	29	30.5	0	0.0	46	48.4	11	11.6	0	0.0	38	40.0	1	0	4	0	3.31	2.91
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3511	Richland High School	10	151	403	86.1	87	57.2	57.6	26	17.1	38	25.0	0	0.0	58	38.2	29	19.1	1	0.7	65	42.8	29	318	5	0	252	251	54.1	56	20.8	22.2	116	43.1	80	29.7	0	0.0	48	17.8	8	3.0	17	6.3	213	79.2	32	198	5	0	97	438	92.4	72	66.7	74.2	8	7.4	17	15.7	0	0.0	47	43.5	25	23.1	11	10.2	36	33.3	23	368	5	0	383	188	46.9	188	46.9	49.1	110	27.4	85	21.2	0	0.0	166	41.4	22	5.5	18	4.5	213	53.1	97	2	4	0	2.58	1.68
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3732	Sacajawea Elementary	3	78	56	70.0	56	70.0	71.8	8	10.0	14	17.5	2	2.5	32	40.0	22	27.5	2	2.5	24	30.0	0	1	3	0	78	52	65.0	52	65.0	66.7	16	20.0	10	12.5	4	5.0	27	33.8	21	26.3	2	2.5	28	35.0	0	1	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.75	2.51
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3732	Sacajawea Elementary	4	72	42	58.3	42	58.3	58.3	10	13.9	20	27.8	4	5.6	22	30.6	16	22.2	0	0.0	30	41.7	0	1	2	0	72	21	29.2	21	29.2	29.2	32	44.4	19	26.4	1	1.4	7	9.7	13	18.1	0	0.0	51	70.8	0	1	2	0	72	43	59.7	43	59.7	59.7	17	23.6	12	16.7	4	5.6	23	31.9	16	22.2	0	0.0	29	40.3	0	1	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.50	1.99
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3732	Sacajawea Elementary	5	76	64	84.2	64	84.2	84.2	2	2.6	10	13.2	5	6.6	34	44.7	25	32.9	0	0.0	12	15.8	0	0	0	0	76	51	67.1	51	67.1	67.1	15	19.7	10	13.2	0	0.0	19	25.0	32	42.1	0	0.0	25	32.9	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	76	43	56.6	43	56.6	56.6	10	13.2	23	30.3	3	3.9	32	42.1	8	10.5	0	0.0	33	43.4	0	0	0	0	2.95	2.89
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3833	Hanford High School	10	80	282	89.5	49	59.8	61.3	11	13.4	20	24.4	0	0.0	29	35.4	20	24.4	2	2.4	33	40.2	23	234	1	0	180	185	56.1	44	23.3	24.4	71	37.6	65	34.4	0	0.0	39	20.6	5	2.6	9	4.8	145	76.7	9	141	1	0	61	311	95.1	47	74.6	77.0	4	6.3	10	15.9	0	0.0	30	47.6	17	27.0	2	3.2	16	25.4	11	265	1	0	266	171	59.4	171	59.4	64.3	55	19.1	40	13.9	0	0.0	148	51.4	23	8.0	22	7.6	117	40.6	50	1	1	0	2.66	1.79
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3926	Enterprise Middle School	6	258	189	73.3	189	73.3	73.3	14	5.4	55	21.3	0	0.0	118	45.7	71	27.5	0	0.0	69	26.7	1	1	1	0	259	143	55.2	143	55.2	55.2	49	18.9	67	25.9	0	0.0	81	31.3	62	23.9	0	0.0	116	44.8	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.95	2.60
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3926	Enterprise Middle School	7	285	197	68.4	197	68.4	69.1	21	7.3	67	23.3	0	0.0	101	35.1	96	33.3	3	1.0	91	31.6	0	2	2	0	285	194	67.4	194	67.4	68.1	34	11.8	57	19.8	0	0.0	85	29.5	109	37.8	3	1.0	94	32.6	0	2	2	0	283	222	77.1	222	77.1	78.4	21	7.3	40	13.9	0	0.0	138	47.9	84	29.2	5	1.7	66	22.9	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.92	2.91
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	3926	Enterprise Middle School	8	261	154	58.3	154	58.3	59.0	33	12.5	74	28.0	0	0.0	100	37.9	54	20.5	3	1.1	110	41.7	3	0	1	0	264	164	61.7	164	61.7	62.1	48	18.0	52	19.5	0	0.0	110	41.4	54	20.3	2	0.8	102	38.3	1	0	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	260	135	50.8	135	50.8	51.9	40	15.0	85	32.0	0	0.0	105	39.5	30	11.3	6	2.3	131	49.2	1	0	1	0	2.64	2.62
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4059	Tapteal Elementary School	3	88	70	79.5	70	79.5	79.5	6	6.8	12	13.6	0	0.0	33	37.5	37	42.0	0	0.0	18	20.5	0	0	0	0	87	58	65.9	58	65.9	66.7	11	12.5	18	20.5	0	0.0	40	45.5	18	20.5	1	1.1	30	34.1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.15	2.72
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4059	Tapteal Elementary School	4	80	62	77.5	62	77.5	77.5	4	5.0	14	17.5	0	0.0	31	38.8	31	38.8	0	0.0	18	22.5	0	0	0	0	80	46	57.5	46	57.5	57.5	19	23.8	15	18.8	0	0.0	19	23.8	27	33.8	0	0.0	34	42.5	0	0	0	0	79	62	77.5	62	77.5	78.5	6	7.5	11	13.8	0	0.0	27	33.8	35	43.8	1	1.3	18	22.5	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.11	2.68
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4059	Tapteal Elementary School	5	78	73	93.6	73	93.6	93.6	3	3.8	2	2.6	0	0.0	32	41.0	41	52.6	0	0.0	5	6.4	0	0	0	0	78	60	76.9	60	76.9	76.9	5	6.4	13	16.7	0	0.0	21	26.9	39	50.0	0	0.0	18	23.1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	56	71.8	56	71.8	71.8	3	3.8	19	24.4	0	0.0	46	59.0	10	12.8	0	0.0	22	28.2	0	0	0	0	3.42	3.21
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4060	Badger Mountain Elementary	3	96	79	82.3	79	82.3	82.3	4	4.2	13	13.5	0	0.0	30	31.3	49	51.0	0	0.0	17	17.7	0	0	0	0	96	75	78.1	75	78.1	78.1	7	7.3	14	14.6	0	0.0	36	37.5	39	40.6	0	0.0	21	21.9	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.29	3.11
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4060	Badger Mountain Elementary	4	101	85	84.2	85	84.2	84.2	1	1.0	15	14.9	0	0.0	46	45.5	39	38.6	0	0.0	16	15.8	0	1	0	0	101	47	46.5	47	46.5	46.5	20	19.8	34	33.7	0	0.0	14	13.9	33	32.7	0	0.0	54	53.5	0	1	0	0	100	89	88.1	89	88.1	89.0	0	0.0	11	10.9	0	0.0	30	29.7	59	58.4	1	1.0	12	11.9	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.22	2.59
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4060	Badger Mountain Elementary	5	96	81	84.4	81	84.4	84.4	2	2.1	13	13.5	0	0.0	35	36.5	46	47.9	0	0.0	15	15.6	0	1	0	0	97	57	58.8	57	58.8	58.8	9	9.3	31	32.0	0	0.0	19	19.6	38	39.2	0	0.0	40	41.2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	96	43	44.8	43	44.8	44.8	16	16.7	37	38.5	0	0.0	28	29.2	15	15.6	0	0.0	53	55.2	0	1	0	0	3.30	2.89
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4295	Rivers Edge High School	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4295	Rivers Edge High School	7	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4295	Rivers Edge High School	8	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4295	Rivers Edge High School	10	26	23	46.9	17	39.5	65.4	0	0.0	9	20.9	0	0.0	13	30.2	4	9.3	17	39.5	26	60.5	4	10	0	0	31	8	15.1	6	11.8	19.4	19	37.3	6	11.8	0	0.0	6	11.8	0	0.0	20	39.2	45	88.2	3	3	0	0	23	32	68.1	21	58.3	91.3	0	0.0	2	5.6	0	0.0	17	47.2	4	11.1	13	36.1	15	41.7	5	16	0	0	24	7	13.5	7	13.5	29.2	12	23.1	5	9.6	0	0.0	7	13.5	0	0.0	28	53.8	45	86.5	4	1	0	0	1.70	0.96
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4543	Wiley Elementary	3	78	52	66.7	52	66.7	66.7	6	7.7	20	25.6	0	0.0	24	30.8	28	35.9	0	0.0	26	33.3	0	0	0	0	78	59	75.6	59	75.6	75.6	13	16.7	6	7.7	0	0.0	35	44.9	24	30.8	0	0.0	19	24.4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.95	2.90
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4543	Wiley Elementary	4	75	67	88.2	67	88.2	89.3	2	2.6	6	7.9	0	0.0	32	42.1	35	46.1	1	1.3	9	11.8	0	0	0	0	76	51	67.1	51	67.1	67.1	9	11.8	16	21.1	0	0.0	17	22.4	34	44.7	0	0.0	25	32.9	0	0	0	0	76	47	61.8	47	61.8	61.8	9	11.8	20	26.3	0	0.0	35	46.1	12	15.8	0	0.0	29	38.2	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.29	3.00
2008-09	Educational Service District 123	03	Benton	03400	Richland School District	4543	Wiley Elementary	5	87	68	77.3	68	77.3	78.2	2	2.3	17	19.3	0	0.0	39	44.3	29	33.0	1	1.1	20	22.7	0	0	0	0	87	50	57.5	50	57.5	57.5	14	16.1	23	26.4	0	0.0	15	17.2	35	40.2	0	0.0	37	42.5	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	87	34	39.1	34	39.1	39.1	16	18.4	37	42.5	0	0.0	30	34.5	4	4.6	0	0.0	53	60.9	1	0	0	0	3.06	2.82
2008-09	North Central Educational Service District 171	04	Chelan	04019	Manson School District	2196	Manson Elementary	3	39	22	56.4	22	56.4	56.4	5	12.8	12	30.8	0	0.0	17	43.6	5	12.8	0	0.0	17	43.6	0	0	0	0	39	27	69.2	27	69.2	69.2	7	17.9	5	12.8	0	0.0	14	35.9	13	33.3	0	0.0	12	30.8	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56	2.85
2008-09	North Central Educational Service District 171	04	Chelan	04019	Manson School District	2196	Manson Elementary	4	55	35	61.4	35	61.4	63.6	7	12.3	13	22.8	0	0.0	23	40.4	12	21.1	2	3.5	22	38.6	0	0	0	0	55	26	45.6	26	45.6	47.3	18	31.6	11	19.3	0	0.0	10	17.5	16	28.1	2	3.5	31	54.4	0	0	0	0	53	25	43.9	25	43.9	47.2	18	31.6	10	17.5	0	0.0	18	31.6	7	12.3	4	7.0	32	56.1	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.63	2.35
2008-09	North Central Educational Service District 171	04	Chelan	04019	Manson School District	2196	Manson Elementary	5	41	29	70.7	29	70.7	70.7	6	14.6	6	14.6	0	0.0	18	43.9	11	26.8	0	0.0	12	29.3	1	0	0	0	41	20	48.8	20	48.8	48.8	13	31.7	8	19.5	0	0.0	9	22.0	11	26.8	0	0.0	21	51.2	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41	5	12.2	5	12.2	12.2	20	48.8	16	39.0	0	0.0	4	9.8	1	2.4	0	0.0	36	87.8	1	0	0	0	2.83	2.44
2008-09	North Central Educational Service District 171	04	Chelan	04019	Manson School District	2196	Manson Elementary	6	45	26	57.8	26	57.8	57.8	3	6.7	16	35.6	0	0.0	17	37.8	9	20.0	0	0.0	19	42.2	0	1	1	0	45	23	51.1	23	51.1	51.1	12	26.7	10	22.2	0	0.0	9	20.0	14	31.1	0	0.0	22	48.9	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.71	2.56
2008-09	North Central Educational Service District 171	04	Chelan	04019	Manson School District	2623	Manson Junior Senior High School	7	41	20	48.8	20	48.8	48.8	3	7.3	18	43.9	0	0.0	15	36.6	5	12.2	0	0.0	21	51.2	0	1	0	0	41	8	19.5	8	19.5	19.5	28	68.3	5	12.2	0	0.0	4	9.8	4	9.8	0	0.0	33	80.5	0	1	0	0	41	24	58.5	24	58.5	58.5	2	4.9	15	36.6	0	0.0	20	48.8	4	9.8	0	0.0	17	41.5	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.54	1.61
2008-09	North Central Educational Service District 171	04	Chelan	04019	Manson School District	2623	Manson Junior Senior High School	8	47	25	52.1	25	52.1	53.2	5	10.4	17	35.4	0	0.0	16	33.3	9	18.8	1	2.1	23	47.9	0	0	0	0	47	9	18.8	9	18.8	19.1	23	47.9	15	31.3	0	0.0	7	14.6	2	4.2	1	2.1	39	81.3	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47	12	25.0	12	25.0	25.5	10	20.8	25	52.1	0	0.0	9	18.8	3	6.3	1	2.1	36	75.0	0	0	0	0	2.56	1.71
2008-09	North Central Educational Service District 171	04	Chelan	04019	Manson School District	2623	Manson Junior Senior High School	10	35	29	76.3	26	74.3	74.3	2	5.7	7	20.0	0	0.0	13	37.1	13	37.1	0	0.0	9	25.7	0	5	0	0	34	16	42.1	15	40.5	44.1	15	40.5	4	10.8	0	0.0	12	32.4	3	8.1	3	8.1	22	59.5	1	2	0	0	32	26	72.2	23	69.7	71.9	3	9.1	6	18.2	0	0.0	11	33.3	12	36.4	1	3.0	10	30.3	2	5	0	0	34	11	28.2	10	26.3	29.4	18	47.4	6	15.8	0	0.0	9	23.7	1	2.6	4	10.5	28	73.7	0	2	0	0	3.06	1.92
2008-09	North Central Educational Service District 171	04	Chelan	04069	Stehekin School District	2265	Stehekin Elementary	3	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2008-09	North Central Educational Service District 171	04	Chelan	04069	Stehekin School District	2265	Stehekin Elementary	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
