BuildingNumber	GradeTested	ReadingPercentMet	MathPercentMet	WritingPercentMet	SciencePercentMet
3022	7	75.1	61.8	85.3	
3022	8	66.2	62.1		64.1
3091	3	67.1	60.3		
3091	4	77.6	65.8	69.7	
3091	5	79.1	68.7		70.1
3153	3	68.4	70.9		
3153	4	67.7	53.8	58.5	
3153	5	79	43.2		53.1
3215	8				
3215	10	74.4		78.5	
3779	3	36	28		
3779	4	50	21.7	47.8	
3779	5	51.3	28.2		28.2
2695	5	67.6	48		59.5
2695	6	68.4	55.7		
2793	3	91.9	78.4		
2793	4	85.9	50.7	50	
2920	8				
2920	10	88		94.9	
3092	3	83.7	75		
3092	4	86.7	75.5	64.3	
3092	5				
3092	7				
3373	7	81.1	69.9	78.2	
3373	8	72.3	70.5		67.1
2472	3	69.2	61.5		
2472	4	68.8	68.8	75	
2472	5				
2472	6	64.3	64.3		
2473	7	100	27.3	100	
2473	8	90.9	27.3		54.5
2473	10				
2672	5	42.6	53.7		48.1
2672	6	64.9	45.9		
2672	7	59.1	52.3	48.8	
2672	8	60.5	41.9		67.4
2672	10				
2801	10	70		82.4	
2802	3	52.8	39.6		
2802	4	36.5	36.5	28.8	
2305	7	64.9	43.7	49.6	
2305	8	50.9	46.6		43.4
2449	3	66.7	64.7		
2449	4	51.9	44.2	53.8	
2449	5	64.7	56.9		51
2449	6	54.5	63.6		
2763	3	48.9	40		
2763	4	77.4	35.5	45.2	
2763	5	54.3	37.1		60
2763	6	58.7	47.8		
2834	3	58.5	63.1		
2834	4	60.5	42.9	54.8	
2834	5	57.1	46.9		53.1
2834	6	62.5	57.5		
2971	3	75	63.5		
2971	4	69.4	75.8	71	
2971	5	53.8	59.6		53.8
2971	6	56.5	60.7		
3216	3	51.4	60		
3216	4	52.2	65.2	21.7	
3216	5	78.3	56.5		78.3
3216	6	70	65		
3476	10	69.8		73.6	
3857	10	47.4		55	
4267	5				
4267	6				
4267	7				
4267	8				
4267	10				
2391	6	61.4	41.7		
2391	7	74.8	48	54.5	
2391	8	61.8	49.6		53.7
2972	4	47.4	47.4	40.5	
2972	5	61.6	52.3		42.3
3621	3	51.3	50.4		
3622	10	80.4		79.2	
2728	10	61.9		51.2	
3155	3	35.7	35.7		
3155	4	45.5	36.4	45.5	
3155	5	38.5	38.5		38.5
3155	6	72.2	72.2		
3787	3	58.3	45.8		
3787	4	74.3	54.3	31.4	
3787	5	45.5	54.5		36.4
3787	6	48.6	48.6		
3788	7	67.9	53.6	67.9	
3788	8	48.1	26.9		30.8
2835	3	66.7	45.5		
2835	4	62.5	28.1	37.5	
2835	5	61.3	41.9		54.8
2835	6	46.7	26.7		
2835	7	54.8	61.3	41.9	
2835	8	51.1	33.3		37.8
2180	7	61.1	48.7	62.5	
2180	8	63.4	47		53
2180	10	71.4		76.3	
3374	4	73.7	50.5	82.8	
3374	5	78.5	75.4		80
3374	6	70.6	66.4		
3661	3	78	59.3		
3661	4				
1629	10				
2137	10	73.6		82.7	
3217	3	66.9	45.2		
3217	4	74	28	53	
3217	5	55.9	50.5		59.1
4245	6	64.4	50		
4245	7	62.3	55.7	45.3	
4245	8	69.6	58.8		68
3580	10				
2921	3				
2921	4				
2921	5	50	20		30
3326	3	70.8	62.5		
3326	4	76.5	29.4	41.2	
3326	5	73.9	69.6		73.9
3326	6	60	66.7		
2010	3				
2010	4				
2010	5				
2010	6				
3375	3	69.2	76.9		
3375	4	71.4	42.9	28.6	
3375	5				
3375	6				
3375	7	64.3	28.6	42.9	
3375	8				
3375	10	86.4		86.4	
3024	7	78.9	57.9	63.2	
3024	8	43.6	58.2		52.7
3024	10	80		80	
3025	3	68.6	54		
3025	4	94.5	56.4	49.1	
3025	5	73	58.7		65.1
3025	6	80	62.2		
2283	3				
2283	5				
2283	6				
2283	7	60	35	35	
2283	8	60	25		30
2283	10	69.6		82.6	
2922	3	70.6	64.7		
2922	4	66.7	50	44.4	
2922	5	53.3	40		33.3
2922	6	41.7	20.8		
1758	3				
1758	4				
1758	5				
1758	6				
1758	7	63.6	27.3	45.5	
1758	8				
1758	10				
2696	3	65.8	69.6		
2696	4	60	43.6	47.3	
2696	5	86.8	78.9		82.9
2974	10	81.3		84.2	
3274	5				
3274	6	72.5	65.7		
3274	7	71.8	57.9	71.3	
3274	8	65.4	50.7		68.8
3377	3	67	67.4		
3377	4	75	68.4	61.3	
3377	5	89.2	76.9		75.4
3477	3	71.9	57.8		
3477	4	81.3	73.4	64.2	
3477	5	85	72		82.2
3566	3	70.4	50.9		
3566	4	67.1	37.2	39.2	
3566	5	69.2	53.8		61.5
3939	6	70.9	49.5		
3939	7	73.6	49.2	72.9	
3939	8	70.9	51.4		62.2
4328	3	69.8	66.3		
4328	4	78.9	67.9	69.7	
4328	5	87.7	80.2		55.6
2625	10	95.7		84.7	
3664	3	63.9	59.7		
3664	4	78.9	64.5	80.3	
3664	5	79.8	59.5		67.9
4004	6	66.2	82.4		
4004	7	72.5	63.8	67.5	
4004	8	79.3	62.1		69
1682	10				
1683	3				
1770	3				
1770	4				
1770	5				
1770	6				
1770	7				
1770	8				
1770	10				
2511	6	72	63.6		
2511	7	81.7	70	79.8	
2511	8	73.9	59.7		68.1
4149	8				
4149	10	91.2		92.6	
4321	3	70.2	60.6		
4321	4	71.7	59.8	63	
4321	5	63.3	47.8		52.2
2491	3				
2491	4				
2491	5				
2491	6				
2491	8				
2836	3				
2836	4				
2836	5				
2836	6				
2836	7				
2836	8				
2474	3	69.2	53.8		
2474	4	64.7	43.8	60	
2474	5	58.3	41.7		91.7
2474	6	69.2	53.8		
2474	7	73.3	66.7	60	
2474	8	71.4	28.6		57.1
2474	10	90		75	
1724	3				
1724	4				
1724	5				
1724	6				
1724	7	72.7	36.4	90.9	
1724	8				
1724	10				
2697	3	63.4	59.2		
2697	4	60.6	40	41.4	
2697	5	80.7	68.7		63.9
3275	8				
3275	10	69.2		73.1	
4261	6	57.7	39.7		
4261	7	68.8	58.8	67.5	
4261	8	67	47.9		56.4
2503	3				
2503	4				
2503	5				
2503	6				
2503	7				
2503	8				
2503	10	90.1		92.8	
3094	3	71.9	61.8		
3094	4	75	58.3	50	
3094	5				
3094	6				
3094	7				
3094	8				
4475	4	78.1	53.1	73.4	
4475	5	62.3	50.7		68.1
4475	6	77.6	67.1		
4475	7	75	63.2	72.6	
4475	8	60.8	60.8		63.5
1547	10	56		54.2	
1579	3	75.6	80		
1579	4	79.6	70.9	61.8	
1579	5	77.2	77.2		82.5
1579	6	82.8	79.3		
1579	7	78.9	57.9	73.7	
1579	8	79.3	69		74.1
1596	6				
1596	7				
1596	8				
1596	10	4.2		4	
1620	3	84	62		
1620	4	74.1	56.9	58.6	
1620	5	70.7	70.7		79.3
1620	6	72	54		
1620	7	75.6	37.8	71.1	
1620	8	93.3	48.9		82.2
1635	6				
1635	7				
1635	8	12.5			
1635	10	43.5		44.8	
1750	10				
1751	3				
1751	4	50	35.7		
1751	5				
1751	6				
1751	7				
1751	8	72	20		56
1751	10				
1796	3	92.3	82.1		
1796	4	95.2	61.9	76.2	
1796	5	95.2	69		97.6
1796	6	75.8	59.2		
1796	7	84.6	75.4	71.2	
1796	8	77.1	60.2		82.2
1856	10	98.7		98.6	
2061	3	74.5	76.6		
2061	4	78.6	73.8		
2061	5	78	80.5		
2063	3	92.6	89.6		
2063	4	89.7	82.1	89.7	
2063	5	97.4	92.2		97.4
2069	3	34.3	25.7		
2069	4	58.3	33.3	44.1	
2069	5	29.6	14.8		7.4
2069	6	43.3	25		
2069	7	44	56	56	
2069	8	56.8	25		40.9
2070	3	67.9	71.4		
2070	4	62.3	49.2	75.8	
2070	5	67.1	63.3		82.3
2080	3	72.9	64.6		
2080	4	76.4	61.8	65.5	
2080	5	73.8	78.5		75.4
2081	3	96	94		
2081	4	90.7	85.5	87	
2081	5	90.4	86.5		94.2
2089	3	45.3	37.7		
2089	4	57.1	46	49	
2089	5	39.1	21.7		26.1
2090	3	87.3	83.1		
2090	4	78.1	84.4	78.1	
2090	5	77.6	74.6		83.6
2092	3	89.8	89.8		
2092	4	94	92.8	91.6	
2092	5	94.7	86.8		94.7
2118	3	51.2	25.6		
2118	4	63.6	38.6	34.1	
2118	5	31.1	22.7		34.1
2120	3	62.6	68.1		
2120	4	70.5	50	62.8	
2120	5	72.8	67.9		69.1
2121	3	46.4	57.1		
2121	4	62.5	40	60	
2121	5	62.5	48.2		39.3
2123	3	71.7	66.7		
2123	4	85.7	66.1	67.9	
2123	5	80.6	71		74.2
2138	3	76.7	67.4		
2138	4	81.8	63.6	77.3	
2138	5	79.7	72.9		78
2139	3	79.8	68.1		
2139	4	67.7	45.2	51.6	
2139	5	78.1	64.4		84.9
2141	3	84.8	81.5		
2141	4	76.7	71.1	65.6	
2141	5	72	69.5		75.4
2142	3	97.8	98.9		
2142	4	88.5	88.5	84.6	
2142	5	95.3	93.8		90.6
2143	3	53.8	54.4		
2143	4	62.3	45.9	36.1	
2143	5	59.7	51.6		64.5
2181	3	88.9	83.3		
2181	4	72.9	66.7	56.3	
2181	5	78.1	76.6		81.3
2182	10	75.8		87.1	
2183	3	93.8	84		
2183	4	92.8	92.8	85.5	
2183	5	92.3	87.7		92.3
2199	3	56.4	58.2		
2199	4	73.2	54.9	73.2	
2199	5	63.9	38.9		52.8
2201	3	80	73.3		
2201	4	77.8	75.6	82.2	
2201	5	92.3	87.2		87.2
2209	3	72.2	53.2		
2209	4	78.9	67.4	76.8	
2209	5	77.8	64.4		68.9
2209	6	56.3	41.7		
2209	7	67.3	63.6	66.1	
2209	8	50.8	48.3		74.6
2220	10	87.4		89.3	
2234	10	78.6		86.3	
2256	3	83.9	84.1		
2256	4	79.1	70.1	67.2	
2256	5	80.6	76.4		87.5
2269	3	53.2	39		
2269	4	55.9	44.1	45.6	
2269	5	41.5	36.9		35.4
2285	10	89.2		94.5	
2306	10	82.6		88.9	
2307	3	44.6	39.3		
2307	4	60.4	60.4	71.7	
2307	5	34.6	34.6		30.8
2321	3	69	52.5		
2321	4	62.1	39.4	47	
2321	5	58.2	37.5		46.4
2322	3	81.6	78.9		
2322	4	83.3	91.7	83.3	
2322	5	92.3	89.7		92.3
2353	3	68.4	70.9		
2353	4	74.4	61.5	80.8	
2353	5	78.6	69		75
2371	6	91	91		
2371	7	90.3	82.3	85.6	
2371	8	79.9	76.7		85.4
2372	3	94.7	91.5		
2372	4	92.9	84.5	83.3	
2372	5	89.7	89.7		94.1
2392	10	77.7		85.5	
2435	6	73.7	74.1		
2435	7	73.5	62.7	78.7	
2435	8	68	58.9		80.1
2437	3	92	88.5		
2437	4	98.5	92.4	98.5	
2437	5	85.7	88.6		92.9
2450	3	90.7	88.9		
2450	4	93.2	72.9	72.9	
2450	5	81.8	80		92.7
2462	3	93.3	95		
2462	4	95.2	95.2	83.9	
2462	5	88.9	83.3		92.6
2645	3	49.2	39.3		
2645	4	63.8	53.2	42.6	
2645	5	38.9	44.4		48.1
2667	3	88.7	87.7		
2667	4	95.4	93.1	90.8	
2667	5	88.3	89.6		90.9
2729	6	81.2	78.3		
2729	7	82.2	74	70.1	
2729	8	81.1	80		87.5
2730	3	66.1	66.1		
2730	4	75	56.3	52.1	
2730	5	71.7	67.9		66
2733	3	88.5	91.3		
2733	4	89.6	85.7	81.8	
2733	5	81.3	90		86.3
2838	3	77.8	77.8		
2838	4	89.1	76.4	69.1	
2838	5	78.9	80.7		78.9
2838	6	87.3	89.1		
2838	7	85.5	80	83.6	
2838	8	76.4	74.5		90.9
2839	6	63.8	60.1		
2839	7	59	59.5	72.2	
2839	8	61.9	69.8		61.8
2975	3	91.2	58.8		
2975	4	80.5	73.2	63.4	
2975	5	80	56		72
2976	3	70.7	61		
2976	4	65.9	46.3	61	
2976	5	75	65.6		53.1
2977	3	45	36.4		
2977	4	26.3	22.2	22.2	
2977	5	20	27.3		20
3026	3	93.1	97.7		
3026	4	97.4	96.2	83.3	
3026	5	96.4	96.4		100
3027	3	31.3	21.9		
3027	4	38.6	37.8	34.1	
3027	5	55.9	64.7		45.7
3028	3	75.6	77.8		
3028	4	76.9	64.1	74.4	
3028	5	80	65		82.5
3095	6	77.6	77.7		
3095	7	77.3	82.1	86.6	
3095	8	70.7	75.5		86.9
3096	10	74.3		85.5	
3157	3	53.5	48.8		
3157	4	63.5	38.5	48.1	
3157	5	71.7	58.7		50
3218	3	90.2	83.6		
3218	4	82.1	82.1	62.5	
3218	5	93.5	84.8		95.7
3276	10	80.1		84.9	
3277	6	75.1	74.1		
3277	7	81.8	73.5	78.6	
3277	8	71	65		73
3327	10	53.6		75.4	
3378	3	59.4	58.7		
3378	4	70	56.7	41.7	
3378	5	50	56.7		43.3
3380	3	68	84		
3380	4	80	46.7	66.7	
3380	5	33.3	25		25
3429	3	89.6	82.1		
3429	4	72.9	57.6	72.9	
3429	5	81	84.5		89.7
3478	3	67.1	74		
3478	4	81.1	60.8	68.9	
3478	5	61.3	65		57.5
3479	10	85.8		89.1	
3517	6	80.3	74.5		
3517	7	78.2	69.9	70.9	
3517	8	76	67.6		79.2
3581	3	75.9	82.8		
3581	4	67.3	69.4	53.1	
3581	5	66.7	68.5		59.3
3665	3	51.6	50		
3665	4	66.7	54.8	52.4	
3665	5	53.1	59.2		67.3
3714	3	88.8	88.8		
3714	4	92.8	89.2	84.7	
3714	5	90.4	88.6		88.6
3717	3	54.4	44.6		
3717	4	59.6	64.6	46.8	
3717	5	62.9	59.5		65.7
3774	6	59.2	56.8		
3774	7	51.2	46	57.2	
3774	8	47.4	29.3		36.3
3778	10	65.6		84.8	
3803	3	50	40.4		
3803	4	63.6	63.6	54.5	
3803	5	67.4	63.6		57.8
3868	10	82.9		84.9	
3874	3	80	40		
3874	4				
3874	5	72.7	45.5		90.9
3874	6	71	58.1		
3874	7	68.4	47.4	57.9	
3874	8	84	48		68
3974	3	92	86		
3974	4	98	82.4	60.8	
3974	5	84.9	64.2		81.1
4064	6	73.3	67.6		
4064	7	74	64.4	74.9	
4064	8	66.9	66.1		75.7
4065	3	66.7	62.7		
4065	4	68.1	51.1	55.3	
4065	5	68.4	54.4		68.4
4065	6	69.6	55.4		
4065	7	64	46	60	
4065	8	65.4	32.7		57.7
4248	3	42	51.9		
4248	4	48.8	34.1	29.3	
4248	5	40.5	23.8		21.4
4263	3				
4263	4				
4263	5				
4263	6				
4263	7				
4263	8				
4263	10				
4277	3				
4277	4				
4277	7				
4277	8				
4277	10				
1759	3				
1759	4				
1759	5				
1759	6				
1759	7				
1759	8	46.7			23.5
1759	10	60.9		34	
1789	6	86.9	88.5		
1789	7	92.4	90.9	97	
1789	8	78.5	72.3		86.2
1789	10	97.9		95.9	
2417	10	72.6		76.7	
2841	3	81.5	87.5		
2841	4	77.2	50.9	40.4	
2841	5	76.2	77.4		49.2
3159	3	84.7	72.9		
3159	4	69	58.6	44.8	
3159	5	70.7	70.7		55.2
3160	3	71.6	75.3		
3160	4	63.3	41.7	50	
3160	5	68.9	70.7		52.7
3328	3	60	77.3		
3328	4	76	76.5	50	
3328	5	84.1	73.9		55.1
3328	6	65.2	56.5		
3328	7	68.4	73.7	78.9	
3328	8	81	71.4		61.9
3329	3	65.4	61.5		
3329	4	69.5	52.5	72.9	
3329	5	61.1	72.7		50
3381	6	69	50.8		
3381	7	67.7	55.4	69.2	
3381	8	75.5	51.1		66.3
3431	6	60	50.6		
3431	7	48.2	32.6	49.2	
3431	8	49.1	35.4		33.8
3432	3	40.6	46.9		
3432	4	57.1	46.4	49.1	
3432	5	55.4	52.7		38.2
3519	3	66.7	58.1		
3519	4	78	32.8	48.3	
3519	5	77.3	73.8		58.5
3547	3	64.3	71.4		
3547	4	81.6	48	59.2	
3547	5	70.6	60.8		56.9
3567	3	31.7	31.7		
3567	4	63.2	25	38.2	
3567	5	39.7	39.7		30.1
3568	3	63.9	63.9		
3568	4	50	46.9	56.3	
3568	5	63.4	63.4		43.7
3582	3	59	55.2		
3582	4	57	44.3	44.3	
3582	5	63.8	51.3		48.8
3583	3	46.8	31.2		
3583	4	46.3	23.9	39.4	
3583	5	53.8	51.5		29.2
3584	8				
3584	10	83.1		85.2	
3625	3	70.3	79.7		
3625	4	60.6	57.6	65.2	
3625	5	89.7	85.3		83.8
3625	6	56	32		
3625	7	78.3	60.9	52.2	
3625	8	64.3	78.6		64.3
3626	6	65.4	51.2		
3626	7	70.8	62.2	62.8	
3626	8	68	50		57.2
3627	3	66.2	52.1		
3627	4	68.2	57.6	44.7	
3627	5	71.1	56		59.2
3628	3	73.8	66.1		
3628	4	67.7	53.2	38.7	
3628	5	68.7	53.7		46.3
3700	3	84.1	84.1		
3700	4	76.1	73.9	52.2	
3700	5	79.6	79.6		61.2
3701	6	72	50.5		
3701	7	75.6	52.9	72.9	
3701	8	67.9	53.6		66.5
3738	3	58.1	58.7		
3738	4	65.1	46	65.1	
3738	5	73.2	76.8		72.3
3766	10	71.2		77.4	
3898	5	90	78		66
3898	6	74.1	56.5		
3898	7	69.3	59.4	71.8	
3898	8	70.7	57		68
4340	7				
4340	8				
4340	10				
4343	3	58	50.7		
4343	4	50.9	37.9	30.4	
4343	5	81.3	82.8		81.3
4374	3	66.3	62.1		
4374	4	75	65.8	50.7	
4374	5	65.5	67.8		41.4
4422	3	60	55.1		
4422	4	76.3	59.3	50	
4422	5	82.7	88.5		80.8
4426	3	74.3	72.9		
4426	4	76.7	60.3	60.3	
4426	5	80	80		73.8
4456	6	54.8	49.3		
4456	7	59.3	50.5	54	
4456	8	65.3	50.3		59.3
4470	3	60.2	65.1		
4470	4	70.8	73.3	76.1	
4470	5	66.7	61.7		50.6
4480	3	74.5	57.4		
4480	4	75	51.4	66.7	
4480	5	83.9	74.2		82.3
2980	3	65.3	60		
2980	4	52.4	49.2	57.1	
2980	5	68.7	56.7		40.3
3330	10	86.6		87	
3430	3	87.8	80.5		
3430	4	90.6	73.6	81.1	
3430	5	70.6	72.5		60.8
3585	3	70	70		
3585	4	66	45.3	52.8	
3585	5	84.5	76.1		69
3739	3	77.8	71.1		
3739	4	96.3	51.9	61.1	
3739	5	90.3	79		83.9
4210	6	75.8	67.3		
4210	7	67.7	70.1	70.1	
4210	8	76	72.5		80.1
4289	3	83.1	72.9		
4289	4	82.4	72.5	68.6	
4289	5	70.3	67.2		64.1
4550	6	68.9	56.1		
4550	7	74.4	57.6	66.2	
4550	8	80	50		75
2981	3	91.7	87.5		
2981	4	86.8	83	84	
2981	5	90	96		91
3029	8				
3029	10	93.3		93.9	
3162	3	89.2	90.5		
3162	4	92.2	92.2	91.3	
3162	5	88	90		91
3219	6	88.2	89.7		
3219	7	91.4	88	94.6	
3219	8	88.6	88.9		93.5
3433	3	93.1	90.8		
3433	4	93.2	88.9	93.2	
3433	5	92.9	85.7		89.3
1539	7	69.2	46.2	80.8	
1539	8	85	60		90
1539	10				
2144	3	53.5	63.4		
2144	4	51	58.3	42.7	
2144	5	48.6	52.7		32.4
2144	6	55	63.8		
2325	10	70.8		76.5	
2418	3	69.2	78.8		
2418	4	72.7	72.7	72.7	
2418	5	60	55		53.3
2418	6	76.7	76.7		
2639	3	33.3	43.6		
2639	4	40.7	36	39.5	
2639	5	35	43.3		28.3
2639	6	38.8	45		
2699	3	41.4	56.3		
2699	4	69.9	52.4	50.6	
2699	5	51.9	56.8		46.9
2699	6	61.7	72.5		
2734	3	40.6	30.4		
2734	4	50	40.4	67.3	
2734	5	37.7	42.6		40.7
2734	6	63.3	59		
2765	3	49.1	56.6		
2765	4	50.8	32.2	23.7	
2765	5	41.9	54.1		27.4
2765	6	58.1	50		
2842	3	48.6	47.1		
2842	4	63.6	49.4	53.2	
2842	5	60.6	65.2		56.1
2842	6	57.8	67.2		
2844	3	56.9	43.1		
2844	4	60.5	58.8	51.9	
2844	5	74.6	60.3		66.7
2844	6	70.9	64.6		
2926	3	59.5	67.9		
2926	4	64.6	62.6	57.6	
2926	5	60.8	58.8		56.7
2926	6	67.3	64.4		
2927	7	54.5	45.3	47.3	
2927	8	57.8	48.9		47.7
2982	3	37.4	42.9		
2982	4	37	32	43	
2982	5	48.8	57.6		52.3
2982	6	63.6	58.4		
2983	3	60	61.4		
2983	4	76.3	66.3	52.5	
2983	5	72.3	69.9		67.5
2983	6	75	76.2		
2984	3	69	74.7		
2984	4	36.8	26.5	32.4	
2984	5	45.9	39		23.7
2984	6	60.2	52		
3032	3	62.9	74.3		
3032	4	67.4	44.2	23.3	
3032	5	66.7	57.1		50
3032	6	62.5	71.4		
3097	3	78.2	79.3		
3097	4	80.5	78.2	78.2	
3097	5	80.5	73.6		80.5
3097	6	74.1	63.5		
3098	7	49.2	59.8	50	
3098	8	47.5	57.8		44.9
3163	7	53.1	52.2	57.1	
3163	8	44	40.6		47.6
3165	3	47.4	40.2		
3165	4	62.7	45.3	66.7	
3165	5	39.3	44.3		31.5
3165	6	63.1	53.8		
3278	3	40	60.8		
3278	4	40.5	29.8	32.1	
3278	5	35.6	44.4		28.8
3278	6	53.2	53.2		
3279	10	75.5		82.1	
3333	7	67.3	62	76.9	
3333	8	65	55.6		60.6
3335	3	63.5	67.6		
3335	4	65.9	67.1	57.6	
3335	5	81	67.9		72.9
3335	6	64.6	64.6		
3382	3	57.4	52.5		
3382	4	62.7	50.8	52.5	
3382	5	50.8	47.7		52.3
3382	6	55.4	61.5		
1822	3				
1822	4				
1822	5				
1822	6				
1822	7				
1822	8				
1822	10				
2419	10	92.3		93.2	
3667	6	78.7	81.1		
3667	7	88.6	85.6	90.2	
3667	8	78.2	71.6		79.7
4468	3	73.3	61.1		
4468	4	68.7	67.5	61.4	
4468	5	73.5	78.2		75.5
4468	10				
1527	10	63.9		62.2	
1534	10				
1648	3				
1648	5				
1648	6				
1648	7				
1648	8				
1784	3				
1784	4				
1784	5				
1784	6				
1784	7				
1784	8	75	16.7		66.7
1784	10	80		92.3	
2439	3	58.5	62.2		
2439	4	58.1	40.7	54.7	
2439	5	69.3	60.2		70.5
2475	10	64.5		74.4	
2597	3	88.5	81.6		
2597	4	88.5	74.7	73.6	
2597	5	75.7	78.6		71.4
2640	3	52.1	57.3		
2640	4	65.7	39	45.7	
2640	5	55.4	55.4		53.5
2929	3	51.8	35.3		
2929	4	66.1	39	42.4	
2929	5	53.6	44.9		33.3
3034	3	52.6	56.4		
3034	4	63.2	38.6	64.9	
3034	5	71.2	59.3		61
3035	6	73.3	58.4		
3035	7	73.2	57.3	69.3	
3035	8	67.4	57.9		71.7
3280	6	61.5	43.4		
3280	7	64.7	45.3	74.3	
3280	8	67.9	45.5		60.5
3337	3	62.5	78.4		
3337	4	59.8	50.6	54	
3337	5	65.8	56.2		52.1
3434	6	69	50.6		
3434	7	74.1	64.2	78.4	
3434	8	65.7	50.3		68.2
3485	3	78.7	73.7		
3485	4	86.3	78.1	75.3	
3485	5	89.8	84.7		86.4
3521	3	77.5	70		
3521	4	57.5	28.8	39.7	
3521	5	64.3	51.8		52.4
3586	3	82.2	84.3		
3586	4	78	78.2	68.8	
3586	5	80.9	76.5		77.4
3587	3	69.7	76.4		
3587	4	83.5	72.9	61.2	
3587	5	72.8	54.9		53.3
3630	10	88.6		93.8	
3668	3	72.4	68.4		
3668	4	77.9	65.1	59.3	
3668	5	72.7	65.5		69.5
3702	3	65.8	60.8		
3702	4	81	68.2	71.4	
3702	5	79.2	69.4		65.3
3740	3	64.3	65.7		
3740	4	50.6	40.5	53.2	
3740	5	65.5	53.6		54.8
3741	10	84.4		90.6	
2512	3				
2512	4				
2512	5				
2512	6				
2512	7				
2512	8				
2513	10				
1746	3				
1746	4				
1746	5				
1746	6				
1746	7				
1746	8				
1746	10				
1832	10				
2701	10	91.1		93.5	
2846	3	88.4	82.8		
2846	4	93.6	89.9	89.9	
2846	5	84.5	90.5		89.4
2847	3	85	88.3		
2847	4	91.5	86.9	90.7	
2847	5	83.8	87.2		83.5
3036	3	79	65.4		
3036	4	87.3	77.8	95.2	
3036	5	81	79.4		85.7
3100	3	65.8	52.8		
3100	4	62.5	64.1	60.9	
3100	5	66.7	52.6		54.4
3166	6	79.9	66.9		
3166	7	79.4	66.1	66.7	
3166	8	81	65.2		77.6
3167	3	88	71.1		
3167	4	81.1	68.1	82.1	
3167	5	86.3	81.1		84.9
3168	3	78.4	58.8		
3168	4	71.2	55.8	59.6	
3168	5	79.6	69.6		78.6
3224	3	89.7	85.6		
3224	4	86.4	80.7	78.4	
3224	5	84.2	80.3		88.2
3225	3	61.2	62.7		
3225	4	61.1	57.8	57.8	
3225	5	75.7	78.6		71.4
3282	10	75.6		83	
3283	6	84.1	84.5		
3283	7	82.2	78.7	86.2	
3283	8	88.3	80.5		87.2
3338	6	87.7	84.5		
3338	7	86	85.8	89.5	
3338	8	84	83.4		89.8
3339	3	80.3	80.3		
3339	4	73.6	60.4	75.5	
3339	5	67.8	64.4		62.7
3435	6	86.6	79.4		
3435	7	85.5	83.6	89.5	
3435	8	87.5	82.1		84.2
3436	3	88.9	89.9		
3436	4	91.8	90.7	85.6	
3436	5	91.4	98.1		94.3
3437	3	86.3	84.2		
3437	4	86.2	81.9	81.9	
3437	5	76.3	82.5		77.5
3486	10	97.2		97.9	
3588	10	93.7		96.8	
3631	5				
3631	6	83.3	74.7		
3631	7	85.7	78.3	89	
3631	8	86	71.1		86
3633	3	65.8	55.3		
3633	4	66.1	59.3	57.6	
3633	5	68.3	46.3		59.5
3634	3	83.1	88.2		
3634	4	89.6	91.2	93.7	
3634	5	91.5	90.7		89.9
3705	3	92.1	85.5		
3705	4	91.7	83.3	90.3	
3705	5	88.7	82.6		90
3742	3	94.4	84.7		
3742	4	93.8	90.6	92.2	
3742	5	93.8	98.4		89.1
3789	3	87.4	89.3		
3789	4	83.2	92.9	85.8	
3789	5	97	91.1		96
2564	6	53.5	37.3		
2564	7	48.9	35.8	50.3	
2564	8	42.1	27.4		43.5
2848	10	53.4		63.9	
3226	3	47.9	60.3		
3226	4	65.7	68.1	74.6	
3226	5	54.1	72.6		65.6
3488	3	57.8	53		
3488	4	64.7	55.3	54.8	
3488	5	78.8	73.8		76.3
3635	3	35	50		
3635	4	52	38.2	45.3	
3635	5	51.7	44.8		51.7
1756	10				
1854	3				
1854	4				
1854	5		16.7		46.2
1854	6	42.1	47.4		
1854	7				
1854	8	66.7	40		66.7
1854	10				
2485	3	69.4	67.7		
2485	4	83.8	73.1	68.7	
2485	5	79.1	85.1		73.1
3006	3	83.3	91.7		
3006	4	84.6	61.5	57.1	
3006	5	87.5	81.3		81.3
3101	3	79.8	79.8		
3101	4	71.9	47.2	55.1	
3101	5	83.1	78.3		90.4
3524	10	88.6		93.5	
4318	6	77.5	72.5		
4318	7	80.4	65	78.6	
4318	8	83.6	52.9		79.8
4332	3	82.9	85.4		
4332	4	73.8	72.3	58.5	
4332	5	75.6	67.1		75.6
2326	3	55.4	55.4		
2326	4	79.3	61.4	29.8	
2326	5	78.1	72.6		41.1
2394	6	65.7	45.9		
2394	7	48.5	37.8	56.8	
2394	8	53.4	39.8		59.4
2659	3	61.9	47.6		
2659	4	84	72.8	76.5	
2659	5	84.6	74.7		78
2702	10	43.1		46	
2795	10	77.6		83.4	
2932	3	66.2	72.1		
2932	4	77.3	61.3	48	
2932	5	67.2	57.8		39.7
3169	6	56	33.2		
3169	7	57.6	38.2	47.4	
3169	8	47.3	34.9		38.6
3227	3	82.8	81		
3227	4	80.6	79.4	35.8	
3227	5	75.8	83.9		37.1
3439	3	61.4	37.1		
3439	4	92	74	52	
3439	5	71.4	49		42.9
3525	3	68.6	65.4		
3525	4	60	40	52	
3525	5	61.4	67.1		71.4
3669	3	74.1	71.6		
3669	4	84.9	79.5	56.2	
3669	5	80.6	93.1		54.2
3745	3	71.8	73.1		
3745	4	79.7	61	57.6	
3745	5	55.6	54		33.3
