SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	ReadingTotalWASLTested	ReadingMetStandardIncludingPrevPass	ReadingPercentMetStandardIncludingPrevPass	ReadingMetStandardWithoutPrevPass	ReadingPercentMetStandardWithoutPrevPass	ReadingPercentMetStandardExcludingNoScore	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelBasic	ReadingPercentLevelBasic	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNoScore	ReadingPercentNoScore	ReadingNotMet	ReadingPercentNotMet	ReadingExcusedAbsence	ReadingExempted	ReadingWAASPORT	ReadingWAASDAW	MathTotalWASLTested	MathMetStandardIncludingPrevPass	MathPercentMetStandardIncludingPrevPass	MathMetStandardWithoutPrevPass	MathPercentMetStandardWithoutPrevPass	MathPercentMetStandardExcludingNoScore	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelBasic	MathPercentLevelBasic	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNoScore	MathPercentNoScore	MathNotMet	MathPercentNotMet	MathExcusedAbsence	MathExempted	MathWAASPORT	MathWAASDAW	WritingTotalWASLTested	WritingMetStandardIncludingPrevPass	WritingPercentMetStandardIncludingPrevPass	WritingMetStandardWithoutPrevPass	WritingPercentMetStandardWithoutPrevPass	WritingPercentMetStandardExcludingNoScore	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelBasic	WritingPercentLevelBasic	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNoScore	WritingPercentNoScore	WritingNotMet	WritingPercentNotMet	WritingExcusedAbsence	WritingExempted	WritingWAASPORT	WritingWAASDAW	ScienceTotalWASLTested	ScienceMetStandardIncludingPrevPass	SciencePercentMetStandardIncludingPrevPass	ScienceMetStandardWithoutPrevPass	SciencePercentMetStandardWithoutPrevPass	SciencePercentMetStandardExcludingNoScore	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelBasic	SciencePercentLevelBasic	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNoScore	SciencePercentNoScore	ScienceNotMet	SciencePercentNotMet	ScienceExcusedAbsence	ScienceExempted	ScienceWAASPORT	ScienceWAASDAW	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex
2007-08	Educational Service District 113	21	Lewis	21401	Centralia School District	2768	Washington Elementary School	6	96	61	63.5	61	63.5	63.5	9	9.4	26	27.1	0	0.0	41	42.7	20	20.8	0	0.0	35	36.5	0	1	4	0	95	23	24.0	23	24.0	24.2	30	31.3	42	43.8	0	0.0	18	18.8	5	5.2	1	1.0	73	76.0	0	1	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.0	41.0	37.0	2.75	1.96
2007-08	Educational Service District 113	21	Lewis	21401	Centralia School District	3172	Jefferson Lincoln Elementary	3	97	75	77.3	75	77.3	77.3	10	10.3	12	12.4	2	2.1	44	45.4	29	29.9	0	0.0	22	22.7	0	3	0	0	98	67	68.4	67	68.4	68.4	10	10.2	21	21.4	0	0.0	43	43.9	24	24.5	0	0.0	31	31.6	0	2	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.9	22.7	15.5	2.91	2.83
2007-08	Educational Service District 113	21	Lewis	21401	Centralia School District	3240	Centralia Middle School	7	252	141	56.0	141	56.0	56.0	32	12.7	79	31.3	0	0.0	65	25.8	76	30.2	0	0.0	111	44.0	0	2	10	0	251	83	32.9	83	32.9	33.1	109	43.3	59	23.4	0	0.0	54	21.4	29	11.5	1	0.4	169	67.1	0	2	10	0	251	160	63.5	160	63.5	63.7	30	11.9	61	24.2	1	0.4	103	40.9	56	22.2	1	0.4	92	36.5	0	2	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.7	23.3	20.6	29.4	2.73	2.00
2007-08	Educational Service District 113	21	Lewis	21401	Centralia School District	3240	Centralia Middle School	8	235	136	56.9	136	56.9	57.9	27	11.3	72	30.1	0	0.0	60	25.1	76	31.8	4	1.7	103	43.1	1	2	3	0	238	106	44.0	106	44.0	44.5	66	27.4	66	27.4	0	0.0	65	27.0	41	17.0	3	1.2	135	56.0	1	0	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	238	97	40.2	97	40.2	40.8	78	32.4	63	26.1	0	0.0	79	32.8	18	7.5	3	1.2	144	59.8	1	0	3	0	30.6	17.4	17.8	34.3	2.74	2.31
2007-08	Educational Service District 101	22	Lincoln	22008	Sprague School District	2186	Sprague High School	10	13	11	84.6	11	84.6	84.6	0	0.0	2	15.4	0	0.0	3	23.1	8	61.5	0	0.0	2	15.4	0	0	0	0	13	9	69.2	9	69.2	69.2	1	7.7	3	23.1	0	0.0	6	46.2	3	23.1	0	0.0	4	30.8	0	0	0	0	13	11	84.6	11	84.6	84.6	0	0.0	2	15.4	0	0.0	4	30.8	7	53.8	0	0.0	2	15.4	0	0	0	0	13	6	46.2	6	46.2	46.2	2	15.4	5	38.5	0	0.0	6	46.2	0	0.0	0	0.0	7	53.8	0	0	0	0	61.5	23.1	7.7	7.7	3.46	2.85
2007-08	Educational Service District 101	22	Lincoln	22008	Sprague School District	3050	Sprague Elementary	3	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2007-08	Educational Service District 101	22	Lincoln	22008	Sprague School District	3050	Sprague Elementary	4	10	7	70.0	7	70.0	70.0	1	10.0	2	20.0	0	0.0	5	50.0	2	20.0	0	0.0	3	30.0	0	0	0	0	10	3	30.0	3	30.0	30.0	3	30.0	4	40.0	0	0.0	0	0.0	3	30.0	0	0.0	7	70.0	0	0	0	0	10	6	60.0	6	60.0	60.0	0	0.0	4	40.0	0	0.0	4	40.0	2	20.0	0	0.0	4	40.0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.0	40.0	20.0	20.0	2.80	2.30
2007-08	Educational Service District 101	22	Lincoln	22008	Sprague School District	3050	Sprague Elementary	5	11	8	72.7	8	72.7	72.7	1	9.1	2	18.2	0	0.0	0	0.0	8	72.7	0	0.0	3	27.3	0	0	0	0	11	7	63.6	7	63.6	63.6	2	18.2	2	18.2	0	0.0	2	18.2	5	45.5	0	0.0	4	36.4	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	5	45.5	5	45.5	45.5	3	27.3	3	27.3	0	0.0	3	27.3	2	18.2	0	0.0	6	54.5	0	0	0	0	45.5	18.2	9.1	27.3	3.36	2.91
2007-08	Educational Service District 101	22	Lincoln	22009	Reardan-Edwall School District	2478	Reardan Middle-Senior High School	10	52	53	91.4	48	90.6	92.3	0	0.0	4	7.5	1	1.9	19	35.8	28	52.8	1	1.9	5	9.4	4	6	0	0	52	32	53.3	27	49.1	51.9	7	12.7	18	32.7	0	0.0	25	45.5	2	3.6	3	5.5	28	50.9	2	6	0	0	53	53	88.3	47	87.0	88.7	1	1.9	5	9.3	1	1.9	13	24.1	33	61.1	1	1.9	7	13.0	2	7	0	0	52	25	40.3	23	38.3	44.2	12	20.0	17	28.3	0	0.0	23	38.3	0	0.0	8	13.3	37	61.7	0	3	0	0	44.6	37.5	17.9	0.0	3.34	2.29
2007-08	Educational Service District 101	22	Lincoln	22009	Reardan-Edwall School District	2864	Reardan Elementary School	3	42	30	71.4	30	71.4	71.4	1	2.4	11	26.2	0	0.0	15	35.7	15	35.7	0	0.0	12	28.6	0	0	0	0	42	30	71.4	30	71.4	71.4	2	4.8	10	23.8	0	0.0	23	54.8	7	16.7	0	0.0	12	28.6	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.9	19.0	19.0	3.05	2.83
