SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathPercentMetStandard	MathPercentLevel1	MathPercentLevel2	MathPercentLevel3	MathPercentLevel4	MathPercentNotTested	MathPercentNotMet	MathPercentMet2003Standard	MathPercentWAAS	ReadingTotalTested	ReadingPercentMetStandard	ReadingPercentLevel1	ReadingPercentLevel2	ReadingPercentLevel3	ReadingPercentLevel4	ReadingPercentNotTested	ReadingPercentNotMet	ReadingPercentMet2003Standard	ReadingPercentWAAS	WritingTotalTested	WritingPercentMetStandard	WritingPercentNotTested	WritingPercentNotMet	WritingPercentWAAS	ListeningTotalTested	ListeningPercentMetStandard	ListeningPercentNotTested	ListeningPercentNotMet	ListeningPercentWAAS	ScienceTotalTested	SciencePercentMetStandard	SciencePercentLevel1	SciencePercentLevel2	SciencePercentLevel3	SciencePercentLevel4	SciencePercentNotTested	SciencePercentNotMet	SciencePercentWAAS	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	1741	Medicine Wheel Academy	10	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	0	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	1767	The Healing Lodge	8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	1767	The Healing Lodge	10	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	0	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2056	Holmes Elementary	4	69	28.2	33.8	35.2	19.7	8.5	2.8	71.8	26.8	0.0	69	43.7	12.7	40.8	32.4	11.3	2.8	56.3	35.2	0.0	67	28.2	5.6	71.8	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	15.3	16.7	19.4	48.6	2.37	1.97	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2056	Holmes Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	65	10.1	50.7	33.3	10.1	0.0	5.8	89.9	0.0	NA	NA	NA	NA	NA	NA	1.48
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2086	Roosevelt Elementary	4	61	66.2	9.9	9.9	9.9	56.3	14.1	33.8	64.8	0.0	61	67.6	1.4	16.9	31.0	36.6	14.1	32.4	66.2	0.0	60	64.8	15.5	35.2	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	56.3	11.3	7.0	25.4	2.75	2.85	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2086	Roosevelt Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	83	32.5	21.7	45.8	28.9	3.6	0.0	67.5	0.0	NA	NA	NA	NA	NA	NA	2.14
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2096	Regal Elementary	4	66	56.1	19.7	24.2	22.7	33.3	0.0	43.9	53.0	0.0	66	65.2	12.1	22.7	51.5	13.6	0.0	34.8	53.0	0.0	66	50.0	0.0	50.0	0.0	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	45.5	13.6	7.6	33.3	2.67	2.70	NA
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2096	Regal Elementary	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	83	11.9	56.0	31.0	11.9	0.0	1.2	88.1	0.0	NA	NA	NA	NA	NA	NA	1.54
2003-04	Educational Service District 101	32	Spokane	32081	Spokane	2106	North Central High School	10	354	45.4	30.6	22.6	22.8	22.6	1.4	54.6	NA	1.3	352	68.6	11.1	18.1	13.6	55.0	2.2	31.4	NA	1.6	351	75.0	2.5	25.0	1.6	0	NA	NA	NA	NA	353	33.7	37.6	26.2	30.9	2.8	2.5	66.3	1.6	41.6	24.5	13.5	20.4	3.08	2.35	1.94
