PK	BuildingNumber	GradeTested	ReadingPercentMet	MathPercentMet	WritingPercentMet	SciencePercentMet
2577	3126	6	100	50		
2578	3126	7				
2579	3126	8				
2580	3236	8				
2581	3236	10	93.1		92.1	
2582	3391	3	68.3	63.4		
2583	3391	4	67.6	57.7	66.2	
2584	3391	5	75.3	63		69.1
2585	4358	3	73.3	68.9		
2586	4358	4	76.3	59.3	73.7	
2587	4358	5	85	80		75
2588	4359	6	81.5	75.3		
2589	4359	7	76.9	72.4	78.7	
2590	4359	8	63.9	54.5		67.8
2591	4461	3	88.5	86.9		
2592	4461	4	85.2	79	78.8	
2593	4461	5	84.3	74.3		67.6
2594	4467	3	82	77		
2595	4467	4	67.1	61	65.4	
2596	4467	5	82.4	73.5		82.1
2597	1740	3	33.3	33.3		
2598	1740	4	50	21.4	27.3	
2599	1740	5		40		90
2600	1740	6	62.5	47.1		
2601	1740	7	50	45.5	50	
2602	1740	8	54.5	36.4		
2603	1740	10	61.5		69.2	
2604	2615	10	90.4		92.6	
2605	2994	3	81.5	76.9		
2606	2994	4	70.4	87	75.9	
2607	2994	5	82.4	72.1		72.1
2608	2994	6	74.1	70.7		
2609	3237	7	77.1	76.2	76.6	
2610	3237	8	68	68.8		77.3
2611	3594	3	65	51.7		
2612	3594	4	76.5	54.4	56.1	
2613	3594	5	82	66		64
2614	3594	6	78.6	73.2		
2615	3791	7	58.2	53.2	56.8	
2616	3791	8	56.5	49.3		63.9
2617	3936	10	66.7		64.9	
2618	4014	3	73.3	75.6		
2619	4014	4	62.5	62.5	43.8	
2620	4014	5	78.6	58.9		75
2621	4014	6	73.6	69.8		
2622	4015	3	83.3	68.3		
2623	4015	4	72.7	65.5	60	
2624	4015	5	82	62.3		68.9
2625	4015	6	71.7	52.8		
2626	4016	3	76	61.3		
2627	4016	4	73.4	60.8	57	
2628	4016	5	70.4	56.3		56.3
2629	4016	6	71.2	55.9		
2630	4100	10	88.5		81.9	
2631	4101	3	73	58.7		
2632	4101	4	70.5	44.3	49.2	
2633	4101	5	88.7	75.8		80.6
2634	4101	6	80	63.8		
2635	4135	3	64.7	48.5		
2636	4135	4	48.3	33.9	51.7	
2637	4135	5	55.9	43.3		54.4
2638	4135	6	75.8	66.7		
2639	4249	7	73.6	75.9	72.6	
2640	4249	8	68.6	69.8		68.6
2641	4341	3	85.5	79		
2642	4341	4	79.7	67.8	54.2	
2643	4341	5	81.7	73.6		79.2
2644	4341	6	74.4	66.7		
2645	4372	3	79.8	67.5		
2646	4372	4	78.8	54.5	60.6	
2647	4372	5	77.3	56		68
2648	4372	6	76.9	64.1		
2649	4393	3	75	66.1		
2650	4393	4	83.6	57.4	73.8	
2651	4393	5	77	52.5		70.5
2652	4393	6	56.9	51.4		
2653	4444	3	85.1	89.2		
2654	4444	4	85.1	80.9	75.5	
2655	4444	5	85.3	70.7		82.7
2656	4444	6	90	86.3		
2657	4509	7	62.9	69.9	67.6	
2658	4509	8	72.7	49.7		54.9
2659	4509	10	94.3		96.7	
2660	4527	3	76	62.7		
2661	4527	4	58.9	52.1	50.7	
2662	4527	5	66.7	58.7		54
2663	4527	6	64.8	56.3		
2664	1718	3				
2665	1718	4	68.8	43.8	43.8	
2666	1718	5				
2667	1718	6	77.8	44.4		
2668	1718	7	52.6	47.4	52.6	
2669	1718	8	61.5	38.5		53.8
2670	1718	10	66.7		63	
2671	2272	8				
2672	2272	10	86.6		86.1	
2673	2641	3	79.7	84.1		
2674	2641	4	90.8	86.2	58.5	
2675	2641	5	76.7	73.3		76.7
2676	2641	6	86.6	80.6		
2677	2641	7				
2678	2641	8				
2679	2650	3	72.6	72.3		
2680	2650	4	76.5	54.3	72.5	
2681	2650	5	77.1	75.7		68.6
2682	2650	6	77.7	67		
2683	2995	3	70.6	67.6		
2684	2995	4	92.1	92.1	78.4	
2685	2995	5	82	68		72
2686	2995	6	81.4	58.1		
2687	3046	7	72.6	58.7	77.4	
2688	3046	8	64.2	40.8		58.6
2689	3110	3	84	89.3		
2690	3110	4	79.1	82.1	72.7	
2691	3110	5	85.5	87.3		90.9
2692	3110	6	84.7	79.2		
2693	3680	7	66.8	61.9	64.4	
2694	3680	8	64.3	50.7		78.3
2695	3899	10				
2696	4029	3	90.8	75.4		
2697	4029	4	76.4	70.9	58.2	
2698	4029	5	77.6	67.2		74.1
2699	4029	6	63	70.8		
2700	4079	3	71.1	77.8		
2701	4079	4	65.7	55.2	50.7	
2702	4079	5	69.1	52.7		65.5
2703	4079	6	78	62.7		
2704	4141	3	75	80.3		
2705	4141	4	79.2	66.2	78.9	
2706	4141	5	78.7	77.5		85.4
2707	4141	6	83.3	63.1		
2708	4142	7	72	64.7	71.6	
2709	4142	8	67.8	63.6		70.7
2710	4348	3	74.7	69.7		
2711	4348	4	81.5	75.3	71.6	
2712	4348	5	83.8	78.8		73.8
2713	4348	6	65.4	63		
2714	4349	3	79	84.8		
2715	4349	4	74	77	51	
2716	4349	5	85	81		77.2
2717	4349	6	74.3	77.2		
2718	4350	3	78.1	80.8		
2719	4350	4	86.6	86.6	80.5	
2720	4350	5	84.5	85.7		83.3
2721	4350	6	84.9	91.9		
2722	2077	3				
2723	2077	4				
2724	2077	5				
2725	3554	3	70	40		
2726	3554	4				
2727	3554	5				
2728	3554	6				
2729	3554	7	54.5	36.4	45.5	
2730	3554	8				
2731	3554	10				
2732	2514	3	76.9	46.2		
2733	2514	4	57.1	14.3	42.9	
2734	2514	5				
2735	2514	6				
2736	2514	7				
2737	2514	8				
2738	2514	10				
2739	2453	6	71	50.2		
2740	2453	7	62.8	59.1	74.5	
2741	2453	8	56.5	39.3		61.3
2742	2741	3	82.5	53.8		
2743	2741	4	86.1	76.4	70.8	
2744	2741	5	75.3	57.5		72.6
2745	2996	10	84.7		86.1	
2746	3596	3	69.6	56.5		
2747	3596	4	60.8	42.7	47.3	
2748	3596	5	67.2	64.2		62.7
2749	4411	3	84.3	75.7		
2750	4411	4	68.1	62.5	55.6	
2751	4411	5	68.7	70.1		74.6
2752	2569	3	76.3	69.5		
2753	2569	4	57.4	64.2	39.6	
2754	2569	5	65.7	62.7		50.7
2755	2766	6	69.6	58.7		
2756	2766	7	55.1	67.3	67.3	
2757	2766	8	66.7	61.1		75.9
2758	2766	10	92.1		94.7	
2759	2328	3	75.4	64.1		
2760	2328	4	53.3	50	60	
2761	2328	5	63.5	45.9		45.9
2762	2329	10	90.3		90.1	
2763	2570	6	61.9	38.1		
2764	2570	7	80.6	56.9	66.7	
2765	2570	8	55.7	34.2		59
2766	2605	3				
2767	2605	4	54.5	9.1	9.1	
2768	2605	5				
2769	2605	6				
2770	2605	7				
2771	2605	8				
2772	2605	10				
2773	3392	3				
2774	3392	4				
2775	3392	5				
2776	3392	6				
2777	3392	7	70	70	70	
2778	3392	8	75	58.3		91.7
2779	3392	10	66.7		83.3	
2780	2251	3				
2781	2251	4	71.4	14.3	42.9	
2782	2251	5				
2783	2251	6	54.5	45.5		
2784	2251	7	70	70	90	
2785	2251	8				
2786	2676	5	80	50		90
2787	2676	6	81.3	62.5		
2788	2676	7	53.8	46.2	76.9	
2789	2676	8	56.3	37.5		75
2790	2676	10	70.6		70.6	
2791	3062	3	90.9	90.9		
2792	3062	4	75	37.5	54.2	
2793	3047	3				
2794	3047	4				
2795	3047	5				
2796	3048	6				
2797	3048	7				
2798	3048	8				
2799	3048	10				
2800	3494	3				
2801	3494	4				
2802	3494	5				
2803	3494	6				
2804	3494	7				
2805	3494	8				
2806	3494	10	46.2		38.5	
2807	3530	3				
2808	3530	4				
2809	3530	5				
2810	3530	6				
2811	2677	3	72.1	47.1		
2812	2677	4	77.9	51.5	49.3	
2813	2856	10	78		81.5	
2814	3393	5	72.6	50		53.2
2815	3393	6	58.1	48.4		
2816	3393	7	54.2	54.3	54.9	
2817	3393	8	62	53.2		55.7
2818	2330	10	76.8		81.5	
2819	2997	3	57.1	51		
2820	2997	4	61.5	47.9	56.7	
2821	3394	5	57.5	39.8		50.4
2822	3394	6	63.5	40.4		
2823	3394	7	61.2	64.3	66	
2824	3394	8	50	42.9		57.1
2825	3049	3	33.3	16.7		
2826	3049	4	54.5	18.2	27.3	
2827	3049	5	47.8	34.8		52.2
2828	3049	6	31	20.7		
2829	3111	10	83.3		82.4	
2830	2273	7	76.1	57.4	67.6	
2831	2273	8	78.3	55		61.7
2832	2273	10	93.4		92	
2833	3288	3	74.6	58.7		
2834	3288	4	69.4	51.6	64.5	
2835	3288	5	73.9	73.9		73.9
2836	3288	6	85	68.3		
2837	2355	3				
2838	2355	4				
2839	2355	5				
2840	2355	6				
2841	2572	3	63.6	57.6		
2842	2572	4	76.9	42.3	46.2	
2843	2572	5	70	60		47.5
2844	2572	6	73.2	46.3		
2845	3238	7	66.7	69.7	81.8	
2846	3238	8	47.7	15.9		36.4
2847	3238	10	73.5		81.6	
2848	2678	3	78.3	65.2		
2849	2678	4	82.6	60.9	60.9	
2850	2678	5	75	71.4		60.7
2851	2678	6	76.9	65.4		
2852	3112	7	81.5	74.1	63	
2853	3112	8	46.2	38.5		50
2854	3112	10	72.7		72.7	
2855	2227	3	68.8	43.8		
2856	2227	4	65.3	69.4	63.3	
2857	2227	5	75	62.5		60
2858	2441	6	69.8	49.1		
2859	2441	7	62	60	66	
2860	2441	8	63.8	27.7		68.1
2861	2441	10	87.8		95	
2862	2290	3	63.6	50		
2863	2290	4	70.5	50	37.8	
2864	2290	5	54.8	52.4		59.5
2865	3597	10	79.5		87.2	
2866	4369	6	76.7	53.3		
2867	4369	7	75.5	59.2	77.6	
2868	4369	8	65.5	38.6		50.9
2869	2516	3	52.9	64.7		
2870	2516	4				
2871	2516	5	70	60		50
2872	2516	6				
2873	2516	7				
2874	2516	8				
2875	2616	10	80.6		81	
2876	2998	3	70.5	50		
2877	2998	4	56.6	34	41.5	
2878	2998	5	52	36		42
2879	3977	6	64.7	45.6		
2880	3977	7	53.8	40	60	
2881	3977	8	54.1	50.8		46.8
2882	2331	10	85.2		74.5	
2883	3239	3	64.7	66.7		
2884	3239	4	64.7	68.6	51	
2885	3239	5	68.2	54.5		63.6
2886	2858	3	87	73.9		
2887	2858	4	85.7	71.4	61.9	
2888	2858	5	94.7	63.2		84.2
2889	2858	6	65.5	41.4		
2890	2858	7	56.5	43.5	73.9	
2891	2858	8	76.2	47.6		52.4
2892	2858	10	73.7		78.9	
2893	2442	3	75.5	56.9		
2894	2799	8				
2895	2799	10	77.6		77.5	
2896	3346	4	76.4	76.4	74.3	
2897	3346	5	75.3	65.8		70.9
2898	4311	6	73.7	66.2		
2899	4311	7	80.6	66	84	
2900	4311	8	66.8	44.6		70.9
2901	2859	7	46.9	63.3	26.7	
2902	2859	8	58.5	46.3		65.9
2903	2859	10	75		69.6	
2904	3555	3	71.4	71.4		
2905	3555	4	41.2	35.3	32.4	
2906	3555	5	52.5	37.5		50
2907	3555	6	62.2	62.2		
2908	2166	10	71.3		83.1	
2909	2244	3	87.5	75		
2910	2291	4	70.7	56.5	70.7	
2911	2291	5	64.1	34.4		41.1
2912	2291	6	66.9	58.3		
2913	2704	3	70.4	72.4		
2914	2768	3				
2915	2768	4	74.4	56.6	65.3	
2916	2768	5	68.7	46.1		52.2
2917	2768	6	66.9	53.7		
2918	3172	3	67.9	64.3		
2919	3240	7	74.4	56.7	77.4	
2920	3240	8	48.4	34.6		45.2
2921	2186	10				
2922	3050	3	75	66.7		
2923	3050	4				
2924	2478	7	63	70.9	63	
2925	2478	8	67.3	53.1		61.2
2926	2478	10	93.8		98.4	
2927	2864	3	80.4	80.4		
2928	2864	4	77.8	69.4	47.2	
2929	2864	5	80.4	84.3		68.6
2930	2864	6	73.7	81.6		
2931	2860	3				
2932	2860	4				
2933	2860	5				
2934	2860	6	73.1	46.2		
2935	2860	7	90.9	90.9	81.8	
2936	2860	8	83.3	61.1		50
2937	2862	3				
2938	2862	4	53.3	40	46.7	
2939	2862	5				
2940	2862	6				
2941	2863	4				
2942	2863	7				
2943	2863	8	54.5	27.3		54.5
2944	2863	10				
2945	2443	7				
2946	2443	8	81.3	62.5		68.8
2947	2443	10	92.3		84.6	
2948	2769	3	92.9	92.9		
2949	2769	4	80	60	53.3	
2950	2769	5	61.9	52.4		42.9
2951	2769	6	57.1	42.9		
2952	3289	7	83.3	87.5	87.5	
2953	3289	8	73.3	53.3		53.3
2954	3289	10	88.9		85.2	
2955	3290	3	100	94.1		
2956	3290	4	68.8	37.5	75	
2957	3290	5	85.7	71.4		85.7
2958	3290	6	90.5	66.7		
2959	2743	3				
2960	2743	4	60	20	40	
2961	2743	5				
2962	2743	6				
2963	3113	7				
2964	3113	8				
2965	3113	10				
2966	2668	3	81.6	56.4		
2967	2668	4	68.6	60	77.1	
2968	2668	5	66.7	33.3		54.2
2969	3173	6	66.7	52.4		
2970	3173	7	51.9	55.8	73.1	
2971	3173	8	71.1	51.1		64.4
2972	3173	10	84.1		81.4	
2973	2744	3	75.9	55.2		
2974	2744	4	70.8	70.8	58.3	
2975	2744	5	80.6	58.1		64.5
2976	2744	6	68.2	45.5		
2977	2744	7	58.8	64.7	70.6	
2978	2145	3	48.1	44.4		
2979	2145	4	70.4	55.6	37	
2980	2145	5	76	56		68
2981	2145	6	66.7	52.4		
2982	2145	7	71.4	64.3	85.7	
2983	2145	8	69.2	53.8		65.4
2984	1888	7				
2985	1888	8				
2986	1888	10				
2987	2745	3	38.5	25.6		
2988	2745	4	60.8	35.5	41.9	
2989	2745	5	51.5	64.7		61.8
2990	3241	10	83.6		85.8	
2991	3291	3	75	67.4		
2992	3291	4	63.6	58	50	
2993	3291	5	61.3	33.8		51.9
2994	3292	3	72.7	61.6		
2995	3292	4	77.5	76.1	77	
2996	3292	5	71.4	52		53.4
2997	4288	3				
2998	4288	4				
2999	4288	5				
3000	4288	6				
3001	4288	7				
3002	4288	8				
3003	4288	10	64.5		70.4	
3004	4363	8	59.9	60.9		49.5
3005	3495	7	65	50	70	
3006	3495	8	30.8			23.1
3007	3495	10	78.6		92.9	
3008	4002	3	76.5	47.1		
3009	4002	4	71.4	35.7	64.3	
3010	4002	5	54.5	36.4		54.5
3011	4002	6	68.8	68.8		
3012	2865	4	61.4	37.1	57.1	
3013	2865	5	60	56.5		59.4
3014	2865	6	69.5	48.2		
3015	2865	7	48.7	38.2	55.3	
3016	2865	8	60	51.4		60
3017	4463	3	65.9	43.5		
3018	1680	10				
3019	2662	3	82.1	61.5		
3020	2662	4	65.6	51.6	45.3	
3021	2662	5	68.8	44.1		66.7
3022	3174	6	66.2	31.2		
3023	3174	7	56.3	48.6	51.8	
3024	3174	8	54.4	36.5		54.7
3025	3175	10	83.6		84.1	
3026	4320	3	68.7	67.2		
3027	4320	4	79.7	59.4	44.9	
3028	4320	5	80.4	64.7		64.7
3029	2310	3	47.8	39.1		
3030	2310	4	58.3	19.4	41.7	
3031	2310	5	63.3	30		43.3
3032	2310	6	60.7	25		
3033	2310	7	69.2	55.6	76.9	
3034	2310	8	38.2	14.7		47.1
3035	2494	3	78.6	57.1		
3036	2494	4	47.1	23.5	5.9	
3037	2494	5	50	22.2		33.3
3038	2494	6	80	10		
3039	2494	7				
3040	2494	8				
3041	2031	10	80		84.4	
3042	3051	3	52.5	35.4		
3043	3051	4	38.2	27.3	37.5	
3044	3051	5	62.7	52		67.6
3045	4237	6	52.3	34.8		
3046	4237	7	67.6	40.9	70.3	
3047	4237	8	63.5	30.8		42.3
3048	4278	3	7.7	14.3		
3049	4278	4	37.5	18.8	18.8	
3050	4278	5	21.1	21.1		26.3
3051	4278	6	25	6.3		
3052	4278	7	38.9	27.8	38.9	
3053	4278	8	10			
3054	4279	10				
3055	2246	10	93.1		87.5	
3056	2539	3	76.6	49.4		
3057	2539	4	75.8	24.2	53	
3058	2539	5	67.7	39.8		67.7
3059	2800	10	75.4		72.3	
3060	3293	3	46.5	43.7		
3061	3293	4	32.8	44.8	44.8	
3062	3293	5	60	38.2		37.3
3063	3293	6	33.8	34.3		
3064	4223	7	33.3	33.3	36.4	
3065	4223	8	36.2	20.7		20.7
3066	2396	3	81	23.8		
3067	2396	4	81.8	68.2	81.8	
3068	2396	5	68.4	42.1		52.6
3069	2396	6	78.3	73.9		
3070	2397	7	66.7	77.8	50	
3071	2397	8	33.3	37.5		37.5
3072	2397	10	83.3		86.7	
3073	1621	10				
3074	2146	7	77.1	74.3	85.7	
3075	2146	8	67.9	69.8		73.6
3076	2146	10	89.4		89.1	
3077	4501	3	59.5	64.3		
3078	4501	4	72.7	56.8	63.6	
3079	4501	5	69	79.3		72.4
3080	4501	6	85.7	85.7		
3081	2679	10	87.1		92.3	
3082	3176	3	63.6	61.4		
3083	3176	4	53.8	51.3	48.8	
3084	3176	5	71.6	50		58.9
3085	4196	6	51.2	52.4		
3086	4196	7	64.1	55.1	67.5	
3087	4196	8	53.4	38.4		63
3088	2422	3	68.1	70.2		
3089	2422	4	68.4	45.9	62.2	
3090	2422	5	44.2	37.2		41.9
3091	2422	6	51.2	29.3		
3092	2706	7	61.8	47.3	60	
3093	2706	8	44.9	14.3		40.8
3094	2706	10	81.8		93.2	
3095	3531	3	65.4	38.5		
3096	3531	4	75	44.4	77.8	
3097	3531	5	67.4	63		63
3098	3531	6	70.7	58.5		
3099	4039	3	43.3	32.3		
3100	4039	4	39.3	17.9	35.7	
3101	4039	5	61.5	34.6		50
3102	4039	6	60	46.7		
3103	4220	7	60.6	42.4	61.5	
3104	4220	8	54.5	34.8		57.6
3105	4220	10	75.7		79.7	
3106	2357	7	57.1	60	80	
3107	2357	8	66.7	47.2		66.7
3108	2357	10	86		81.8	
3109	2803	3	57.8	20		
3110	2803	4	65.9	48.8	65	
3111	2803	5	64.7	52.9		50
3112	2803	6	64.3	69		
3113	2214	7	48.6	71.4	71.4	
3114	2214	8	60.6	81.8		48.5
3115	2214	10	75		71	
3116	2804	3	75	63.9		
3117	2804	4	71.4	68.6	40	
3118	2804	5	66.7	52.8		72.2
3119	2804	6	64.9	29.7		
3120	2868	3	81	71.4		
3121	2868	4	70	65	55	
3122	2868	5	52.2	52.2		56.5
3123	3295	6	70.6	82.4		
3124	3295	7	81.3	81.3	81.3	
3125	3295	8	78.3	65.2		78.3
3126	3295	10	90.5		95	
3127	3599	10				
3128	2542	6	81.8	72.7		
3129	2542	7	66.7	57.1	57.1	
3130	2542	8	56.5	26.1		60.9
3131	2542	10	87		87	
3132	3444	3	93.5	38.7		
3133	3444	4	68.8	43.8	37.5	
3134	3444	5	60	63.3		60
3135	2292	3				
3136	2292	4				
3137	2292	5				
3138	2292	6				
3139	2292	7				
3140	2292	8				
3141	2292	10				
3142	2518	10	91.7		93.9	
3143	3968	5	82.2	60.3		64.4
3144	3968	6	80.3	69.7		
3145	3968	7	74.4	59.3	71.8	
3146	3968	8	75.9	57.8		60.2
3147	4478	3	72.2	70.9		
3148	4478	4	68.4	57	62.8	
3149	2423	7	84.6	61.5	80.8	
3150	2423	8	52.4	25		40
3151	2423	10	85.2		86.4	
3152	2770	3	63.6	50		
3153	2770	4	54.5	31.8	54.5	
3154	2770	5	50	60		60
3155	2770	6	58.8	58.8		
3156	2040	3				
3157	2040	4				
3158	2040	5				
3159	2237	6	77.7	66.5		
3160	2237	7	75.9	62.1	80.8	
3161	2237	8	79.1	58.5		72.1
3162	3827	4	78.7	64.5	64.5	
3163	3827	5	83.5	73.4		76.2
3164	4131	10	90.5		80	
3165	4562	3	82.8	80.8		
3166	1640	7				
3167	1640	8	41.7	8.3		41.7
3168	1640	10	60.9		60.9	
3169	2125	10	89		91.7	
3170	2311	3	75	61.4		
3171	2311	4	66.7	72.2	62.9	
3172	2311	5	75	66.7		70.8
3173	2311	6	59.5	71.4		
3174	2334	3	74.6	73.1		
3175	2334	4	71	73	66.7	
3176	2334	5	81	65.5		70.7
3177	2334	6	71.9	57.8		
3178	2495	3	70	66.7		
3179	2495	4	69.4	44.4	66.7	
3180	2495	5	57.1	45.7		54.3
3181	2495	6	76.2	76.2		
3182	2496	3	67.5	53		
3183	2496	4	60.3	32.4	17.6	
3184	2496	5	58.6	54		57.5
3185	2496	6	62	55.7		
3186	2497	3	70.3	51.4		
3187	2497	4	58.7	58.7	32.6	
3188	2497	5	67.4	65.1		58.1
3189	2497	6	65.9	53.7		
3190	2498	3	82	76		
3191	2498	4	84.6	82.4	76.5	
3192	2498	5	78.9	75.4		84.2
3193	2498	6	87.8	79.6		
3194	2519	3	73.2	69		
3195	2519	4	84.5	67.6	69	
3196	2519	5	85.5	86.9		91.8
3197	2519	6	90	77.1		
3198	2575	7	78	71.4	81.4	
3199	2575	8	65.9	71.3		74.4
3200	2870	3	69.2	51.3		
3201	2870	4	78.4	54.9	62.7	
3202	2870	5	56.4	51.3		51.3
3203	2870	6	93.2	72.7		
3204	3052	7	81.2	81.9	75.7	
3205	3052	8	69.7	67.4		74.8
3206	3447	7	66.4	57	61.4	
3207	3447	8	66	44.7		74.3
3208	3557	3	96.2	93.6		
3209	3557	4	86.2	80	76.9	
3210	3557	5	85	83.8		83.8
3211	3557	6	90.2	89		
3212	3558	3	82.7	76.9		
3213	3558	4	78.7	77	63.9	
3214	3558	5	73.8	58.5		44.6
3215	3558	6	76.3	67.1		
3216	3572	3	97.7	81.4		
3217	3572	4	77.8	61.1	68.5	
3218	3572	5	84.8	59.6		76.1
3219	3572	6	84.1	79.5		
3220	3645	10	90.6		92	
3221	3750	7	74.9	64.3	83.4	
3222	3750	8	70.5	64.3		78.6
3223	3896	3	79	58		
3224	3896	4	73.1	62.8	59	
3225	3896	5	78.1	65.8		73
3226	3896	6	81.9	74.7		
3227	3927	3	76.7	67.4		
3228	3927	4	80	60	75.7	
3229	3927	5	77.4	77.4		77.4
3230	3927	6	86.3	77.5		
3231	3972	10	47.6		38.9	
3232	4110	3	47	30.1		
3233	4110	4	53.5	45.1	43.7	
3234	4110	5	48.3	37.9		24.1
3235	4110	6	44.4	25.4		
3236	4110	7	34.9	22.2	36.5	
3237	4110	8	50.9	15.8		31.6
3238	4110	10	59.3		72.4	
3239	4121	3	81.8	75		
3240	4121	4	85.5	69.1	81.8	
3241	4121	5	82.1	85.7		83.9
3242	4121	6	82	82		
3243	4146	3	74.2	57.3		
3244	4146	4	71.1	57.8	66.7	
3245	4146	5	79.1	61.6		80.2
3246	4146	6	74.6	72.8		
3247	4183	7	68.2	61.5	71.8	
3248	4183	8	60.3	60.3		67.1
3249	4360	3	75.8	45.7		
3250	4360	4	82.8	60.9	61.4	
3251	4360	5	77.9	59.7		73.7
3252	4360	6	72.7	71.6		
3253	4361	3	72.2	72.2		
3254	4361	4	83.7	64.8	65.6	
3255	4361	5	85.4	62.9		84.4
3256	4361	6	79	68.7		
3257	4414	3	85.3	67.6		
3258	4414	4	89.7	85.3	80.9	
3259	4414	5	80.3	90.2		85
3260	4414	6	85.7	81.8		
3261	4443	7	72.4	58.3	75.2	
3262	4443	8	60.5	56.8		71.6
3263	4496	3	73.2	71.4		
3264	4496	4	82.7	65.3	68.4	
3265	4496	5	81.7	62.5		73.8
3266	4496	6	81.4	75		
3267	4540	10	92.3		92.8	
3268	1797	10				
3269	1816	10	72.1		81.8	
3270	1860	10	90.8		91.9	
3271	2036	3	47.3	25.5		
3272	2036	4	79.6	64.8	50	
3273	2036	5	65.5	20		27.3
3274	2039	6				
3275	2039	7				
3276	2039	8				
3277	2039	10				
3278	2083	3	88	90.7		
3279	2083	4	82.1	68.7	80.6	
3280	2083	5	84.7	74		81.9
3281	2084	10	89.4		88.6	
3282	2094	3	48.7	35.5		
3283	2094	4	45.2	39.7	30.1	
3284	2094	5	49.3	32		32
3285	2103	3	74.5	70.2		
3286	2103	4	81.6	84.2	58.3	
3287	2103	5	62.5	66.7		52.1
3288	2148	3	52.8	52.8		
3289	2148	4	52.5	40	35	
3290	2148	5	80.6	67.7		51.6
3291	2167	3	77.8	62.5		
3292	2167	4	64	72	54	
3293	2167	5	77.8	61.1		57.4
3294	2168	3	60	53.3		
3295	2168	4	58.8	62.5	67.5	
3296	2168	5	81	66.7		67.9
3297	2169	3	77.4	67.7		
3298	2169	4	82.2	70	82.2	
3299	2169	5	80.5	70.1		70.1
3300	2215	10	67.7		61.3	
3301	2247	3	75	73.2		
3302	2247	4	76	56	52	
3303	2247	5	74	68.5		58.9
3304	2252	3	48.5	39		
3305	2252	4	63.2	52.6	57.9	
3306	2252	5	65.9	53.3		52.2
3307	2275	3	58.3	39.6		
3308	2275	4	53.8	38.5	20.5	
3309	2275	5	48.8	48.8		39
3310	2336	3	50	19.2		
3311	2336	4	34.9	27.9	23.3	
3312	2336	5	50.8	49.2		37.5
3313	2338	6	57.8	44.7		
3314	2338	7	53.3	54.9	41.2	
3315	2338	8	47.5	27.3		59.7
3316	2358	3	87.1	67.7		
3317	2358	4	71.9	65.6	64.5	
3318	2358	5	62.8	55.8		37.2
3319	2359	6	47.3	35.8		
3320	2359	7	51.8	37.9	41.2	
3321	2359	8	34.5	17.3		32.4
3322	2376	6	78	70.6		
3323	2376	7	72.4	72.4	70.5	
3324	2376	8	72.8	56.8		76.9
3325	2377	6	61.3	35.1		
3326	2377	7	53.6	42.3	43.1	
3327	2377	8	49.8	27.6		46.4
3328	2746	3	69.6	23.9		
3329	2746	4	66.7	28.2	35.9	
3330	2746	5	55.2	34.5		41.4
3331	2747	3	79.2	58.3		
3332	2747	4	65.2	56.5	57.8	
3333	2747	5	85.4	87.8		67.5
3334	2771	3	54.8	39.7		
3335	2771	4	51.3	42.5	47.5	
3336	2771	5	52.6	39.5		36.8
3337	2772	3	47.5	52.5		
3338	2772	4	59.3	51.9	45.3	
3339	2772	5	83.7	73.5		61.2
3340	2805	3	82.3	82.3		
3341	2805	4	85.3	83.8	80.9	
3342	2805	5	90.4	83.6		86.3
3343	2806	3	41.9	29.7		
3344	2806	4	52.6	28.6	29.8	
3345	2806	5	47.4	28.1		31.6
3346	2871	3	65.9	50		
3347	2871	4	49.3	50.7	43.8	
3348	2871	5	55.1	32.1		28.2
3349	2872	3	87.7	76.7		
3350	2872	4	79.1	67.4	70.9	
3351	2872	5	91.9	75.6		81.4
3352	2874	3	44.6	36.9		
3353	2874	4	55.1	39.7	38.2	
3354	2874	5	52.6	49.1		38.6
3355	2938	3	84.5	62.1		
3356	2938	4	68.6	45.1	56	
3357	2938	5	85.1	76.6		80.9
3358	2939	3	77.5	57		
3359	2939	4	79.1	62.8	72.1	
3360	2939	5	68.6	64.3		51.4
3361	2940	3	35.6	22.2		
3362	2940	4	37	23.9	28.3	
3363	2940	5	46	38		18
3364	2941	3	56.9	52.8		
3365	2941	4	53.2	36.4	45.5	
3366	2941	5	76.6	53.1		48.4
3367	3053	3	67.1	58.6		
3368	3053	4	82	72	64	
3369	3053	5	86.9	80.3		70.5
3370	3054	6	57.1	45.7		
3371	3054	7	51.4	37.4	57.3	
3372	3054	8	43.2	24.2		37.6
3373	3244	6	79.9	64.1		
3374	3244	7	72.5	72.9	82.1	
3375	3244	8	71.6	48.3		62.7
3376	3246	8				
3377	3246	10	89.4		92.1	
3378	3397	3	70.8	63.1		
3379	3397	4	75.7	54.1	57.1	
3380	3397	5	74.5	47.3		54.5
3381	3397	6	72.4	55.2		
3382	3397	7	65.2	56.5	47.8	
3383	3397	8	64.1	66.7		71.8
3384	3398	10	73.8		81.9	
3385	3448	6	61.6	46.2		
3386	3448	7	66.1	61.6	69.7	
3387	3448	8	59.5	43.7		55.2
3388	3449	3	59.2	40.8		
3389	3449	4	42.9	44.9	40.8	
3390	3449	5	80	60		46
3391	3452	3	84.3	74.3		
3392	3452	4	83.5	68.4	65.8	
3393	3452	5	87.1	77.4		66.1
3394	3453	3	40.6	23.2		
3395	3453	4	46	28.6	36.7	
3396	3453	5	62.5	39.3		44.6
3397	3498	3	78.8	76.9		
