BuildingNumber	GradeTested	ReadingPercent	MathPercentMet	WritingPercentMet	SciencePercentMet
3317	7	51.5	42.4	69.7	
3317	8	61.3	41.9		58.1
3317	10	66.7	26.7	83.3	40.7
2317	6	58.9	29.9		
2317	7	67.7	44.8	66.3	
2317	8	70.3	50.5		42.4
2689	3	73.8	71		
2689	4	52.7	41.8	72.5	
2689	5	63.6	63.6		27.3
3861	5				
3861	6				
3861	7				
4260	10	79.8	50	92.6	38.3
2315	5	61.2	56.9		36.2
2315	6	62.9	58.1		
2315	7	72.9	58.5	77.5	
2315	8	64.4	57.7		53.8
2787	3	69.9	63.1		
2787	4	66.7	59.3	55.6	
3268	10	83.9	49.6	92.2	44.4
2827	3	64.9	66.2		
2827	4	76.3	61.3	63.4	
2827	5	82.2	65.6		64.4
3564	10	87.8	56.8	85.4	59.6
4403	6	92.9	81.8		
4403	7	80.4	74.2	78.4	
4403	8	87.2	90.4		70.2
1613	10	61.1	6.1	47.2	20.6
1742	3	54.2	45.8		
1742	4	44.4	5.6	11.1	
1742	5	38.9	11.1		23.5
1742	6	58.8	36.8		
1742	7	68.8	25	56.3	
1742	8	78.6	28.6		50
1742	10				
2134	10	78.1	41.6	80.9	48.7
2279	3	67.6	48.6		
2279	4	57.5	22.2	47.2	
2279	5	60	46.7		45.8
2301	3	54.3	42.9		
2301	4	44.4	30.6	37.5	
2301	5	56.1	45.5		22.7
2347	3	49.5	34.2		
2347	4	54.8	41.7	25	
2347	5	56	48		5.3
2907	3	79.4	68		
2907	4	62	58.2	59.5	
2907	5	83.2	65.3		63.5
3208	3	89.6	64.6		
3208	4	80	75	78.2	
3208	5	67.9	46.4		32.1
3209	3	40.7	53.8		
3209	4	38.6	33.7	36.1	
3209	5	47.2	16.7		13.9
3210	6	61.5	35.7		
3210	7	54.5	46.5	74.9	
3210	8	68.4	42.5		53.4
3269	6				
3269	10				
3370	6	57.9	29.4		
3370	7	62.6	59.1	72.6	
3370	8	65.2	39		47.2
4423	3	63.5	47.9		
4423	4	61.1	38.9	51.1	
4423	5	72.9	51.8		43.5
4432	6	69.4	44.6		
4432	7	61.3	52.4	71.2	
4432	8	77.8	61.4		64
1715	3				
1715	4				
1715	7				
1715	8				
2368	3	88.6	77.3		
2368	4	68.3	68.3	61	
2368	5	67.9	52.8		24.5
2368	6	90.5	66.7		
2908	10	77.8	43.2	88.1	43.3
2909	3	82.1	71.4		
2909	4	80.6	59.7	72.6	
2909	5	82.8	57.8		37.5
2909	6	79.3	59.3		
3079	3	85.1	70.2		
3079	4	92.7	68.3	80.5	
3079	5	73.2	32.1		25
3079	6	64.9	50		
3318	7	67.9	74	83.1	
3318	8	76.7	64.8		82.9
4003	8				
4003	10	60	7.7	73.3	14.3
4494	3	76.4	58.2		
4494	4	70.8	64.6	58.3	
4494	5	84.6	72.3		49.2
4494	6	80	80		
3473	3	61.5	38.5		
3473	4				
3473	5	78.6	35.7		7.1
3473	6	43.8	12.5		
3473	7	40	57.1	35	
3473	8	77.8	41.2		29.4
3473	10	88.9	50	84.2	50
1708	3				
1708	4				
1708	5				
1708	6	27.3	27.3		
1708	7	72.7	63.6	72.7	
1708	8				
1708	10				
2471	6				
2471	10	86.4	40.6	91.3	42.1
2722	3	76.5	66.7		
2722	4	72.7	61	67	
2722	5	77.5	55		40
4378	3	70.4	68.7		
4378	4	67.1	38.3	41.3	
4378	5	73.9	53		28.9
4519	6	62.3	45.7		
4519	7	63.6	52.1	71.2	
4519	8	67.7	46.5		59.6
3145	6	60	44		
3145	7	39.1	47.8	47.8	
3145	8	60.7	14.3		46.4
3145	10	95	47.6	100	55.6
3422	3				
3422	4				
3422	5	85.7	78.6		57.1
3422	6	63.6	27.3		
3422	7	86.7	86.7	80	
3422	8	72.7	54.5		54.5
3422	10		40		30
1500	10				
1671	3				
1671	4				
1671	6				
1671	7				
1671	8				
1671	10				
2349	10	74.2	40.3	83.9	38.7
2609	6	33.3	27.8		
2609	7	49.4	33.7	43.4	
2609	8	63	45.7		60.4
3737	3	72.1	54.7		
3737	4	53.3	42.7	50.7	
3737	5	55.8	31.6		31.6
4174	3				
4174	4				
4174	5				
4174	6				
4174	7				
4174	8				
4174	10				
1574	3				
1574	4				
1574	5				
1574	6				
1574	7				
1574	8				
1574	10				
1689	6	92	79.3		
1689	7	88.1	89.1	94.1	
1689	8	93.6	79.8		76.6
1689	10	97.3	75.3	100	79.5
2179	10	63.2	24.1	73	24.2
2318	3	53.7	49.3		
2318	4	56.8	45.9	60.3	
2318	5	65.6	52.5		14.8
2610	3	75.6	61		
2610	4	65	57.5	65	
2610	5	70.2	46.8		25.5
2637	3	61.5	46.2		
2637	4	42.4	24.2	24.2	
2637	5	48.4	12.9		9.7
2643	3	53.3	58.3		
2643	4	42.3	44.2	36.5	
2643	5	51.7	45		11.7
2644	3	62.7	52		
2644	4	55.1	33.3	69.2	
2644	5	48.9	40.9		10.3
2690	3	55.4	56.8		
2690	4	43.7	25.4	52.9	
2690	5	61.5	52.7		27.5
2723	3	55.7	42		
2723	4	55.9	43.1	34.3	
2723	5	65.2	42.7		14.6
2828	3	74	57.3		
2828	4	63.6	46.7	61.7	
2828	5	67.9	48.6		20.2
2964	3	79	67.9		
2964	4	67.1	57.5	72.6	
2964	5	68.6	72.9		32.9
3016	3	61.1	61.8		
3016	4	62.5	44.2	41.7	
3016	5	71.2	64.4		26
3017	3	72.1	65.6		
3017	4	69.1	67.3	67.3	
3017	5	79.8	71.4		25
3017	6				
3080	3	64.1	46.2		
3080	4	66.7	43.6	56.4	
3080	5	71	54.8		16.1
3081	8				
3081	10	73.3	23.9	73	23.3
3146	6	56.3	35		
3146	7	65.4	43.9	69	
3146	8	62	47.1		37.8
3423	10	85.4	57.5	92.9	61.2
3424	3	65	55		
3424	4	52.9	47.1	54.3	
3424	5	54.8	25.8		11.3
3543	6	45.7	38.9		
3543	7	60.7	41.3	68.3	
3543	8	57.8	35.9		45.2
3565	3	49.2	30.2		
3565	4	68.5	38.9	63	
3565	5	63.6	38.2		14.5
3733	3	83.3	76.2		
3733	4	70.2	65.6	71	
3733	5	80.6	65.6		39.8
3734	3	62.7	52		
3734	4	38	26.8	39.4	
3734	5	49.3	40.6		17.4
3735	3	67.5	68.8		
3735	4	69.1	48.9	68.1	
3735	5	77.5	63.8		31.3
3799	5				
3799	6				
3799	7				
3799	8				
3799	10				
3902	6	52.3	33.8		
3902	7	48.9	35.5	60.1	
3902	8	54.2	39.5		35.2
3932	10	53.7	7.4	73.1	8.5
4034	3	64.8	62		
4034	4	52.2	31.9	36.2	
4034	5	50	36.8		14.7
4075	3	87.2	80.3		
4075	4	84.3	70.9	77.2	
4075	5	78.6	75.4		23.8
4246	3				
4246	4				
4246	5				
4246	6				
4246	7				
4246	8				
4246	10				
4405	3	82.7	73.2		
4405	4	77.9	67.9	85.5	
4405	5	84.5	72.5		38.7
4406	6	72.1	58.2		
4406	7	75.7	64.6	69.9	
4406	8	84.8	64.6		62.1
4410	3	58.5	36.8		
4410	4	52.3	55.1	46.7	
4410	5	61.6	46.5		21.2
4503	6	56.2	37.8		
4503	7	61.1	33.6	48.1	
4503	8	69	51.9		35.5
4504	10	86.4	50.7	92.3	49.3
3319	5				
3319	6	81.4	57.1		
3319	7	83.3	69.8	80.9	
3319	8	76.1	62.6		56.8
3617	3	84.4	77.3		
3617	4	81.6	60.3	77.7	
3617	5	83.3	63.5		34.9
2558	3	73.2	52		
2558	4	75.5	61.9	66.2	
2558	5	72.9	31.8		26.4
3371	6	67.5	48.4		
3371	7	68.5	64.6	76.4	
3371	8	85.7	60.5		65.5
4431	10	84.4	37.9	91.7	44.2
2484	3	72.7	36.4		
2484	4	61.5	23.1	46.2	
2484	5	53.8	15.4		23.1
2484	6				
2484	7				
2484	8	54.5	54.5		45.5
1528	10				
2509	3	66.2	40.5		
2509	4	69.8	46	52.3	
2509	5	55.4	31.6		30.4
2911	3	86.2	77		
2911	4	78.8	76.9	70.2	
2911	5	67.7	58.3		31.3
3147	10	84.6	51.3	86.9	53.1
3270	3	86.7	73.3		
3270	4	77.6	65.8	53.9	
3270	5	76.1	58.2		41.8
4207	6	58.5	52.4		
4207	7	57.8	60.8	74	
4207	8	68.2	58.6		43.9
4549	6	65.9	48.9		
4549	7	66.3	51.3	77.5	
4549	8	76.9	66.2		57.1
1646	3				
1646	6				
1646	8				
1801	6	33.3	19		
1801	7	34.3	20.6	14.3	
1801	8	34.8	14.9		22.9
1801	10	51.7	12.1	50	21.2
2724	10	71.5	35.8	85.6	32.6
2829	3	80.6	73.6		
2829	4	60.3	51.3	56.4	
2829	5	70.9	41.8		22.8
2912	3	65.9	57.3		
2912	4	49.5	43.5	52.7	
2912	5	58.2	43.3		25.3
3148	3	74	53.4		
3148	4	66.7	43.2	48.6	
3148	5	70	36.3		25
3149	3	57	59.3		
3149	4	55.8	49.1	61.1	
3149	5	55.1	48		18.4
3320	6	67.6	49.1		
3320	7	58.7	52.1	68.2	
3320	8	67.5	55		57.4
3618	3	50.6	35.1		
3618	4	41.3	28	30.7	
3618	5	56.6	42.2		16.9
3736	3	63.6	55.7		
3736	4	58.4	29.2	52.8	
3736	5	55.8	24.2		18.9
3785	6	60.6	46.5		
3785	7	58.8	33.8	56.3	
3785	8	60.5	46		60.5
3822	3	74.2	66.7		
3822	4	43.5	33.9	37.1	
3822	5	53.6	36.2		14.5
3823	3	65.1	56.6		
3823	4	59	38.3	33.3	
3823	5	67	44.7		22.3
3970	3	67.4	45.3		
3970	4	62.7	55.9	55.4	
3970	5	75.6	57.3		47.6
3971	3	66.2	46.7		
3971	4	70.2	60.6	69.5	
3971	5	78.4	51.4		18.9
3994	3	73.1	72.2		
3994	4	64.1	54.4	48.5	
3994	5	69.6	67.8		37.4
3995	3	80	62.9		
3995	4	73.4	51.6	62.5	
3995	5	79.2	70.8		58.3
4042	10	55.6	7.1	54.1	7.5
4051	6	73.8	47.6		
4051	7	59.7	54.6	69.9	
4051	8	80.9	52.6		57.8
4162	10	82.9	42.9	89.9	45.1
4163	3	62	45.6		
4163	4	70	53.3	58.9	
4163	5	78.6	75.7		68.6
4209	6	68.1	60.4		
4209	7	70.1	47	75.3	
4209	8	79.4	70.7		66.8
4299	3	51.6	40.9		
4299	4	53.9	36	65.2	
