BuildingNumber	GradeTested	ReadingPercent	MathPercentMet	WritingPercentMet	SciencePercentMet
3090	3	52.5	51.7		
3090	4	36.1	33.6	40.5	
3090	5	42.7	44.4		11.1
3516	10	69.3	25.7	81.6	31
3620	6	64.1	46.2		
3620	7	60.2	43	52	
3620	8	73.2	41.2		53.1
2673	6	52.4	41.6		
2673	7	60.8	43.8	86.2	
2673	8	64.8	54.7		42.6
2832	3	80.8	54.8		
2832	4	75.7	45.9	55.4	
2832	5	64.9	40.5		13.5
2833	3	69.2	56.4		
2833	4	54.5	34.1	48.9	
2833	5	73.6	55.6		25
2969	3	74.6	52.2		
2969	4	65.6	48.4	65.6	
2969	5	78.3	43.5		15.9
2970	3	84.8	73.9		
2970	4	81.3	68.8	70.8	
2970	5	77.1	68.8		27.1
3021	3	74	68.1		
3021	4	66.7	36.8	33.3	
3021	5	62.9	56.5		25.8
3022	6	64.7	38.8		
3022	7	73.9	61.2	82	
3022	8	74.4	59.3		57.2
3091	3	82.7	74.7		
3091	4	65.9	56	67	
3091	5	72.2	54.4		31.1
3153	3	73.7	59.2		
3153	4	67.9	50	63.9	
3153	5	67.1	50		29
3215	10	76.1	38.7	75.2	37.5
3779	3	56.3	41.7		
3779	4	58.3	25	60.4	
3779	5	57.6	33.3		9.1
2695	5	73	52.8		43.9
2695	6	61.4	40		
2793	3	64.6	53.2		
2793	4	59.5	47.3	59.5	
2920	8				
2920	10	75.3	40.8	86.5	40
3092	3	80.6	72.8		
3092	4	82.1	59.5	88.1	
3092	5				
3092	6				
3092	8				
3373	7	64.9	67.6	71.1	
3373	8	73.3	51.1		53.9
2472	3				
2472	4	60	90	90	
2472	5	70	40		0
2472	6				
2473	7	80	40	100	
2473	8				
2473	10				
2672	5	44.7	28.9		15.8
2672	6	52.5	40		
2672	7	48.9	29.8	45.7	
2672	8	48	22		38
2801	10	62.9	26.1	77	36.8
2802	3	52.8	51.9		
2802	4	50	36.8	44.7	
2305	7	41.8	41.1	59	
2305	8	46.4	43.3		31.6
2449	3	52.6	52.6		
2449	4	41.8	36.4	20	
2449	5	71.2	44.1		8.5
2449	6	55.4	47.7		
2763	3	63.2	55.3		
2763	4	48.8	39	34.1	
2763	5	44.7	31.6		7.9
2763	6	69.8	58.1		
2834	3	80	70.9		
2834	4	57.7	46.2	40.4	
2834	5	54.2	42.4		15.5
2834	6	37.5	27.1		
2971	3	65.5	72.7		
2971	4	66.1	64.3	66.1	
2971	5	60.6	51.5		16.7
2971	6	49.2	41		
3216	3	81	52.4		
3216	4	81.8	68.2	63.6	
3216	5	76.2	42.9		19
3216	6	44.4	29.6		
3476	10	71.6	34.1	75.3	33.8
3857	10	47.4	5.4	76.3	5.6
4267	5				
4267	6				
4267	7				
4267	8				
4267	10				
2391	6	46.6	30.3		
2391	7	38.3	37.4	59.2	
2391	8	55.9	30.3		41.4
2972	4	52.9	42.9	42.1	
2972	5	68.5	43.3		19.7
3621	3	70.3	55.9		
3622	10	77.1	28.7	92	24.4
2728	10	59.7	28.3	62.3	38.1
3155	3				
3155	4	61.5	46.2	61.5	
3155	5	40	10		15
3155	6	33.3	33.3		
3787	3	52.9	55.9		
3787	4	55.3	47.4	39.5	
3787	5	68.4	44.7		18.4
3787	6	68.3	70.7		
3788	7	49.2	32.2	52.5	
3788	8	46	32		36
2835	3	72.4	37.9		
2835	4	53.3	23.3	46.7	
2835	5	60.7	39.3		17.9
2835	6	56.8	36.4		
2835	7	59.4	34.4	65.6	
2835	8	64.3	25		42.9
2180	7	56.5	42.4	57.6	
2180	8	69.9	39.8		33.3
2180	10	75.3	40.4	86.7	31.9
3374	4	62.3	59	50.8	
3374	5	70.8	53.3		30.8
3374	6	77.9	62.8		
3661	3	86.4	62.1		
1629	10				
2137	8				
2137	10	70.4	28.6	87.2	38.4
3217	3	76.1	59.8		
3217	4	58.7	45	48.6	
3217	5	60.7	38.5		20.5
4245	6	41	32		
4245	7	49.7	38.6	67.1	
4245	8	59.2	46.6		55
3580	10	27.8	10.5	70.6	12.5
2921	3				
2921	4	54.5	63.6	36.4	
2921	5	50	42.9		7.1
3326	3	66.7	41.7		
3326	4	58.1	41.9	45.2	
3326	5	80	52		24
3326	6	44.8	51.7		
2010	3	72.7	72.7		
2010	4				
2010	5				
2010	6				
3375	3				
3375	4				
3375	5				
3375	6				
3375	7				
3375	8	58.8	23.5		58.8
3375	10	83.3	41.7	75	50
3024	7	58	40	52	
3024	8	61.1	51.9		48.1
3024	10	78.7	50	87.7	39.3
3025	3	73.8	52.3		
3025	4	70	46	60	
3025	5	75.6	53.3		36.4
3025	6	68.5	50.9		
2283	6	6.7	0		
2283	7	21.7	9.1	39.1	
2283	8	20.8	4.2		8.3
2283	10	66.7	16.7	62.5	12.5
2922	3	30	35		
2922	4	46.2	15.4	26.9	
2922	5	72.7	22.7		22.7
2922	6				
1758	3				
1758	4				
1758	5				
1758	6				
1758	7				
1758	8	90.9	27.3		45.5
1758	10				
2696	3	68.5	62		
2696	4	64.3	35.7	30.4	
2696	5	74	49.4		31.2
2974	10	76.5	39.2	82.7	41.8
3274	6	70	58.9		
3274	7	69.7	61.7	75.6	
3274	8	68.9	58		60.6
3377	3	69.8	60.5		
3377	4	58.4	41.6	40.4	
3377	5	55	32.5		21.3
3477	3	75.9	54.4		
3477	4	72.8	43.2	46.9	
3477	5	82	71.9		55.1
3566	3	73.2	57.1		
3566	4	79.7	60.9	63.8	
3566	5	69.8	47.6		30.2
3939	6	55.6	32.7		
3939	7	53	32.3	40.9	
3939	8	63.3	34.3		54.8
4328	3	81.7	74.3		
4328	4	87.8	60	72.2	
4328	5	64.3	58.6		19.2
2625	10	92	54.7	94.8	70.4
3664	3	80.3	66.7		
3664	4	77.1	68.6	67.1	
3664	5	76.6	50.6		42.9
4004	6	68.4	66.7		
4004	7	78.8	70	83.8	
4004	8	71.6	54.1		64.9
1682	8				
1682	10				
1683	5				
1770	3				
1770	4				
1770	5				
1770	6				
1770	7				
1770	8				
1770	10				
2511	6	73.7	47.8		
2511	7	72.7	58.3	70.5	
2511	8	75	45		70
4149	10	89.1	43.7	94.1	54.3
4321	3	70.9	54.7		
4321	4	72.5	40.8	50.4	
4321	5	78.8	63.6		26.3
4321	6				
2491	3				
2491	4				
2491	5				
2491	6				
2491	7				
2491	8				
2836	3				
2836	4				
2836	5				
2836	6				
2836	7				
2836	8				
2474	3	81.8	72.7		
2474	4	85.7	57.1	78.6	
2474	5	78.6	64.3		57.1
2474	6	39.1	13		
2474	7	40	40	73.3	
2474	8	52.6	26.3		52.6
2474	10	80	13.3	80	33.3
1724	3				
1724	4				
1724	5				
1724	6				
1724	7				
1724	8				
1724	10				
2697	3	82.1	55.1		
2697	4	57.9	30.3	56.6	
2697	5	84	42		30.9
3275	10	79.8	39.5	84.7	48.3
4261	6	67.4	36.4		
4261	7	62.7	44.7	56.6	
4261	8	62.5	60.6		55.7
2503	10	90.4	44.1	97.9	51.1
3094	3	71	40.6		
3094	4				
3094	5				
3094	6				
3094	7				
3094	8				
4475	3				
4475	4	76.7	52.2	58.9	
4475	5	70.1	49		34
4475	6	59.6	50		
4475	7	70	66.3	82	
4475	8	76.1	55		61.9
1547	10				
1579	3	80	72.7		
1579	4	85.5	85.5	78.2	
1579	5	69	60.3		38.6
1579	6	73	69.8		
1579	7	86.2	87.9	91.4	
1579	8	70.3	54.7		45.3
1596	6				
1596	7				
1596	8	0	14.3		0
1596	10				
1620	3	88.7	67.9		
1620	4	78.6	61.9	66.7	
1620	5	61.9	43.9		23.8
1620	6	72.9	37.5		
1620	7	62.1	36.2	34.5	
1620	8	97.6	50		57.1
1635	6				
1635	7	9.5	0	4.5	
1635	8	25	12.5		6.3
1635	10	35.1	5.2	55.2	2.8
1750	6				
1750	7				
1750	8				
1750	10		0		0
1751	4				
1751	7				
1796	3	92.1	78.9		
1796	4	78.6	38.1	71.4	
1796	5	95.1	56.1		68.3
1796	6	80.5	63.4		
1796	7	69.7	70.6	78.2	
1796	8	80.2	59.5		73.3
1856	10	90.8	53.2	90.9	71.6
2061	3	82.6	69.6		
2061	4	68.6	57.1	71.4	
2061	5	89.3	78.6		75
2063	3	93.8	90.1		
2063	4	87.3	87.3	88.9	
2063	5	85.5	82.3		59.7
2069	3	53.5	47.6		
2069	4	45.2	35.7	54.8	
2069	5	46.3	22.5		7.5
2069	6	52.7	29.6		
2069	7	57.7	61.5	67.3	
2069	8	60.7	42.6		20.8
2070	3	55.8	64.1		
2070	4	68.8	73.4	71.9	
2070	5	62.9	47.9		32.9
2080	3	91.9	82.4		
2080	4	63	70.4	57.4	
2080	5	76.6	66		46.8
2081	3	88.9	94.5		
2081	4	90.6	81.5	81.1	
2081	5	80	78.2		58.2
2089	3	60.4	49.1		
2089	4	35.1	23	55.4	
2089	5	46.4	28.6		8.9
2090	3	83.3	81		
2090	4	95.7	87.1	95.7	
2090	5	80.7	79.5		57.8
2092	3	97.5	95.1		
2092	4	83.1	77.5	76.1	
2092	5	89.3	76		64
2118	3	53.2	43.5		
2118	4	40.6	28.1	57.1	
2118	5	50	25.8		8.1
2120	3	66	61.7		
2120	4	52.9	42.5	56.3	
2120	5	59.3	46.9		21
2121	3	61.7	40.4		
2121	4	43.4	24.5	37.7	
2121	5	52.5	31.7		20
2123	3	81.1	70.3		
2123	4	56.4	50.9	56.4	
2123	5	72.1	58.1		44.2
2138	3	77.3	73.1		
2138	4	60.5	60.5	57.1	
2138	5	72.7	56.1		33.3
2139	3	80.3	68.4		
2139	4	58.5	37.7	73.6	
2139	5	69.4	38.8		26.5
2141	3	72	65.6		
2141	4	78.6	75.7	62	
2141	5	75.6	67.4		66.3
2142	3	98.6	88.6		
2142	4	88.1	88.1	82.1	
2142	5	78.7	73.8		49.2
2143	3	60	38		
2143	4	57.5	37	56.2	
2143	5	78.7	61.7		57.4
2181	3	79.4	68.3		
2181	4	82.9	72.9	81.4	
2181	5	74.5	65.5		36.4
2182	10	64.2	36.1	85.4	34.1
2183	3	89.5	84.2		
2183	4	80.4	78.6	83.9	
2183	5	78.8	76.9		40.4
2199	3	81.6	81.1		
2199	4	59.3	66.7	81.5	
2199	5	66.7	21.4		16.7
2201	3	90.9	86.4		
2201	4	90.5	85.7	78.6	
2201	5	93	83.7		83.7
2209	3	58.9	47.4		
2209	4	62.5	50.5	58.3	
2209	5	70.1	61.9		32
2209	6	43.7	19.7		
2209	7	45.2	40.3	46.8	
2209	8	57.4	46.3		48.1
2220	10	86.4	59.1	90.3	63
2234	10	74	33.5	82.6	35.6
2256	3	87.2	81		
2256	4	73.8	66.2	61.5	
2256	5	81.7	63.4		28.2
2269	3	47.4	38.2		
2269	4	57.1	47.6	52.4	
2269	5	55.9	49.2		22
2285	10	87.3	66.2	91.3	65
2306	10	88.1	61.4	93.2	66.7
2307	3	48.8	51.2		
2307	4	30.4	30.4	37	
2307	5	43.8	25		15.6
2321	3	58.7	38.7		
2321	4	54.1	32.3	43.5	
2321	5	50.9	37		17
2322	3	92.5	82.5		
2322	4	86.8	81.6	92.1	
2322	5	87.5	77.5		72.5
2353	3	67.5	59.7		
2353	4	64.1	57.7	67.5	
2353	5	63.9	67.1		36.1
2371	6	77.2	74.2		
2371	7	73.5	71.9	76.8	
2371	8	80.6	62.1		68.4
2372	3	96	86.8		
2372	4	89.2	83.8	79.7	
2372	5	86.6	86.7		69.5
2392	10	63.1	17.1	80.1	28
2435	6	71.9	58.3		
2435	7	69.8	61.9	67.4	
2435	8	74	56.2		69.8
2437	3	94.4	87.3		
2437	4	88.2	89.5	82.9	
2437	5	87.1	77.1		52.9
2450	3	87	81.5		
2450	4	92.9	80.4	71.4	
2450	5	85.7	75.5		61.2
2462	3	91.7	90		
2462	4	94.1	89.7	83.8	
2462	5	94.9	93.2		69.5
2645	3	50.9	40.4		
2645	4	41	16.4	47.5	
2645	5	32.4	5.9		3.1
2667	3	92.1	93.4		
2667	4	89.6	92.5	88.1	
2667	5	97.3	88		70.7
2729	6	87.9	86.8		
2729	7	78.5	84.6	80.4	
2729	8	86.5	84.1		83.8
2730	3	67.7	60		
2730	4	47.5	29.5	47.5	
2730	5	63.6	30.9		14.5
2733	3	89.2	84.3		
2733	4	84.9	84.9	90.7	
2733	5	83.1	76.6		49.4
2838	3	86.5	82.7		
2838	4	90.7	88.9	63	
2838	5	88.7	71.7		47.2
2838	6	80.4	78.6		
2838	7	68.3	78.3	78.3	
2838	8	90.4	69.2		73.1
2839	6	56.2	52.4		
2839	7	55.6	51.9	62.3	
2839	8	68.6	56.9		40.7
2975	3	75	55.2		
2975	4	66.1	54.2	55.2	
2975	5	77.5	73.2		67.5
2976	3	65	60		
2976	4	82.1	57.1	53.6	
2976	5	51.7	55.2		24.1
3026	3	89.3	91.1		
3026	4	96	97.3	90.7	
3026	5	98	92		72
3027	3	36.4	48.8		
3027	4	33.3	52.4	57.1	
3027	5	35.7	25		17.9
3028	3	71.1	64.4		
3028	4	71.2	88.5	57.7	
3028	5	75.5	71.7		47.2
3095	6	61.3	60.9		
3095	7	64.8	58	66.1	
3095	8	67.1	57		69.3
3096	10	70.6	39.5	67.5	41.1
3157	3	35.1	45.9		
3157	4	56.1	56.1	37.5	
3157	5	59.5	34.2		10.8
3218	3	87.5	62.5		
3218	4	87	77.8	70.4	
3218	5	82.3	75.8		56.5
3276	10	66.1	37.8	73.1	33.1
3277	6	74.9	66.6		
3277	7	76.8	76.2	82	
3277	8	80.9	74.8		65.8
3327	10	54.9	14.1	82.5	8
3378	3	55.4	63.1		
3378	4	51	41.2	49	
3378	5	60.4	52.8		24.5
3429	3	87.5	94.6		
3429	4	84.2	78.9	61.4	
3429	5	88.9	94.5		81.5
3478	3	63.8	61.3		
3478	4	70.5	65.4	70.5	
3478	5	58.6	69		26.4
3479	10	83.5	58	91.8	53.7
3517	6	75.3	71.7		
3517	7	67.1	67.7	74.3	
3517	8	68.2	55.3		48.2
3581	3	60.3	74.1		
3581	4	63.8	59.4	56.5	
3581	5	51.9	47.1		11.8
3665	3	66	54		
3665	4	58.9	62.5	53.6	
3665	5	55.6	41.8		27.8
3714	3	90.6	92.9		
3714	4	92.6	87.5	81.3	
3714	5	83.6	83.6		70.1
3717	3	69.4	61.1		
3717	4	62.8	34.9	37.2	
3717	5	57.1	45.2		35.7
3774	6	41.8	25.3		
3774	7	53.3	33.3	59.3	
3774	8	51.7	34.8		30.7
3778	10	47.1	5.7	85.3	5.7
3803	3	60.7	49.1		
3803	4	39	22	28.3	
3803	5	46.9	36.7		16.3
3868	10	89.1	43.1	93.2	59.3
3874	3	61.5	23.1		
3874	4	70	33.3	48.3	
3874	5	66.7	33.3		25
3874	6	54.2	33.3		
3874	7	63	44.4	77.8	
3874	8	71.4	35.7		53.6
3974	3	90.2	94.1		
3974	4	82.7	78.8	67.3	
3974	5	83.3	74.1		55.6
4064	6	68.6	67.7		
4064	7	72.6	70.2	78.8	
4064	8	73.8	65.7		60.1
4065	3	77.4	58.5		
4065	4	70.6	61.5	60.8	
4065	5	75.4	50.9		35.1
4065	6	51.6	33.9		
4065	7	42.9	32.1	46.4	
4065	8	51	14.3		26.5
4248	3	29.2	18		
4248	4	17.8	26.1	22.2	
4248	5	9.4	9.4		3.1
4263	3				
4263	4				
4263	5		0		9.1
4263	6				
4263	7				
4263	8				
4277	3				
4277	4				
4277	5				
4277	6				
4277	10				
1759	3				
1759	4				
1759	5				
1759	6				
1759	7	44.4	33.3		
1759	8	41.7	12.5		20
1759	10	28.8	2	31.4	8.2
1789	5				
1789	6	78.1	76.6		
1789	7	96.9	96.9	96.9	
1789	8	94	92.5		72.7
1789	10	100	93.9	95.9	83.7
2417	10	72.3	30.9	82.4	32.8
2841	3	75.4	71.9		
2841	4	71	48.4	25.8	
2841	5	74.2	62.1		21.2
3159	3	66.7	63.3		
3159	4	63.9	72.6	61	
3159	5	76.8	59.6		26.8
3160	3	68.6	59.8		
3160	4	74	80.3	75	
3160	5	59.1	69.7		24.2
3328	3	85.5	75.8		
3328	4	71.4	66.7	52.4	
3328	5	78.8	69.2		30.8
3328	6	82.1	67.9		
3328	7	66.7	55.6	66.7	
3328	8	71.4	61.9		33.3
3329	3	75	67.9		
3329	4	67.6	69.1	35.3	
3329	5	68.2	71.2		30.3
3381	5				
3381	6	70.2	60.7		
3381	7	62.2	57.4	71.5	
3381	8	68.4	55.6		43.2
3431	6	50.9	38.4		
3431	7	57.8	36.9	65.5	
3431	8	61.5	42		39.2
3432	3	60	55		
3432	4	47.9	55.1	58.3	
3432	5	67.2	51.5		13.4
3519	3	72.6	69.4		
3519	4	76.1	68.7	43.3	
3519	5	82.3	69.4		32.3
3547	3	68.1	61.7		
3547	4	66.1	73.2	33.9	
3547	5	77.6	53.7		24.2
3567	3	61.1	51.9		
3567	4	61.7	56.7	35	
3567	5	52.1	52.8		12.7
3568	3	64.2	61.2		
3568	4	58.6	55.7	47.1	
3568	5	74.6	59.3		22
3582	3	66.7	65.8		
3582	4	66.7	61.8	60.4	
3582	5	70	68.8		30
3583	3	60.3	52.4		
3583	4	43.8	32.5	36.3	
3583	5	67.6	62		21.1
3584	10	82.3	47.1	88.5	43.6
3625	3	72	76.3		
3625	4	56.9	52.8	46.5	
3625	5	67.6	63.5		17.6
3625	6	40.7	40.7		
3625	7	70.6	29.4	70.6	
3626	6	67.8	57.1		
3626	7	61.3	58.3	68.2	
3626	8	72	62.8		46.4
3627	3	69.5	70.7		
3627	4	57.3	49.4	48	
3627	5	69.7	63.6		13.4
3628	3	82.5	73		
3628	4	78.7	85.2	81.7	
3628	5	85.3	73.5		38.2
3700	3	85.7	69		
3700	4	80.4	78.4	72.5	
3700	5	77.6	84.5		15.5
3701	6	62.4	47.9		
3701	7	59.7	50	73.6	
3701	8	75.8	43.2		50
3738	3	71.6	69.1		
3738	4	63.8	61.3	61.3	
3738	5	69.9	73.8		17.5
3766	8				
3766	10	73.6	38.4	80.7	37.1
3898	5	82.4	84.3		47.1
3898	6	71.8	68.3		
3898	7	73.5	72.8	72.7	
3898	8	78.3	61.2		50.2
4340	7				
4340	8				
4340	10				
4343	3	67.7	47.8		
4343	4	68.9	47.5	53.3	
4343	5	69.3	61.3		33.3
4374	3	80	61.3		
4374	4	76.5	72.5	68.1	
4374	5	75	63.9		21.7
4422	3	72	76		
4422	4	54.2	50	52.1	
4422	5	66.3	71.3		15
4426	3	75.4	58		
4426	4	56.3	60.9	53.1	
4426	5	66.2	66.2		32.3
4456	6	55.6	48.4		
4456	7	53.6	44.6	68.1	
4456	8	68.2	48.3		32.7
4470	3	68.7	68.7		
4470	4	66.2	70.6	64.7	
4470	5	70.3	64.9		31.1
4480	3	82.9	71.1		
4480	4	77.2	68.4	68.4	
4480	5	82.3	83.5		53.2
2980	3	70	62.9		
2980	4	46.8	36.7	63.3	
2980	5	62.5	41.7		29.2
3330	10	83.8	32.2	92.4	45.9
3430	3	87.2	66		
3430	4	48.7	48.7	33.3	
3430	5	79.2	62.5		18.8
3585	3	78.5	64.6		
3585	4	65.8	46.1	63.2	
3585	5	73	46		31.7
3739	3	72.3	70.8		
3739	4	71.6	55.2	56.7	
3739	5	76.2	47.6		30.2
4210	6	72.2	64.1		
4210	7	65.7	67.4	71.3	
4210	8	79.4	75.1		70.6
4289	3	73.8	63.1		
4289	4	69.7	39.5	51.3	
4289	5	67.7	41.9		25.8
4550	6	62.5	58.1		
4550	7	63	54.5	66.2	
4550	8	68.8	47.1		53.5
2981	3	91.9	91		
2981	4	91	82	94	
2981	5	93.3	87.6		61.8
3029	10	94.9	81.2	96	81.8
3162	3	86.7	77.6		
3162	4	91.3	91.6	89.1	
3162	5	89.5	81.6		57.9
3219	6	88.8	86.7		
3219	7	92.2	86.1	94.2	
3219	8	90	87.5		88.5
3433	3	96.4	85.5		
3433	4	90.6	85	84.3	
3433	5	93.6	84.4		67.9
1539	7	72.7	63.6	81.8	
1539	8	58.3	25		25
1539	10				
2144	3	57	43		
2144	4	51.9	32.9	46.8	
2144	5	46.3	39.7		6
2144	6	48.5	47		
2325	10	75.5	28.8	75.5	29.5
2418	3	75.4	60.9		
2418	4	57.4	55.6	59.3	
2418	5	72	53.3		38.7
2418	6	58.9	64.3		
2639	3	36.2	17.2		
2639	4	31.9	19.4	36.1	
2639	5	50	37.9		7.6
2639	6	44.1	38.3		
2699	3	60.5	43.4		
2699	4	44.4	34.6	38.3	
2699	5	52.9	39.7		17.6
2699	6	49.2	41.3		
2734	3	50.9	32.1		
2734	4	35.9	27.7	51.6	
2734	5	39.2	21.2		5.9
2734	6	48.3	37.9		
2765	3	62.9	37.1		
2765	4	42.3	17.9	30.8	
2765	5	49.4	24.1		11
2765	6	42.9	25		
2842	3	68.3	58.7		
2842	4	64.5	56.5	32.3	
2842	5	72.3	63.1		21.5
2842	6	65	53.3		
2844	3	76.3	61		
2844	4	58.8	30	53.8	
2844	5	59.6	30.3		27
2844	6	47.3	44.6		
2926	3	57.3	44.9		
2926	4	59.1	37.5	42	
2926	5	67.1	56.2		31.5
2926	6	68.9	52.2		
2927	7	55.7	50.3	51.4	
2927	8	56.9	41.5		40.6
2982	3	54.5	47.2		
2982	4	48.1	36.7	49.4	
2982	5	41.3	40.6		11.1
2982	6	57	50.5		
2983	3	74.7	59		
2983	4	65.5	39.8	40.7	
2983	5	73.3	45.3		29.3
2983	6	74.7	53		
2984	3	44.1	30.9		
2984	4	42.6	29.8	40.4	
2984	5	41.4	22.8		8.6
2984	6	40.3	37.5		
3032	3	44.9	24.5		
3032	4	51.9	44.2	44.2	
3032	5	63.5	49.2		9.5
3032	6	40.9	32.6		
3097	3	87.2	69.2		
3097	4	82.6	60.9	84.1	
3097	5	76.1	68.2		50
3097	6	66.3	64.6		
3098	7	36.5	23.9	35.1	
3098	8	47.5	35.8		32.6
3163	7	44.8	31.3	53.2	
3163	8	48.4	17.8		32.5
3165	3	56.8	45.3		
3165	4	38.6	27.1	35.7	
3165	5	37.5	34.1		6.8
3165	6	37.3	42.7		
3278	3	48.8	26.8		
3278	4	42.2	27.7	49.4	
3278	5	46.2	42.3		26
3278	6	33.8	31.1		
3279	10	75.6	36.9	82.6	37.8
3333	7	63	50.1	74.4	
3333	8	66.3	43.9		45.8
3335	3	73.3	57.6		
3335	4	65.4	51.3	49.4	
3335	5	77.9	57.4		35.3
3335	6	68.9	63.5		
3382	3	62.7	49.3		
3382	4	53	27.3	43.9	
3382	5	42.4	25.9		15.3
3382	6	60.4	32.1		
1822	3				
1822	4				
1822	6				
1822	7				
1822	8				
1822	10				
2419	10	92.3	68.3	92.3	78.7
3667	6	76.9	73.6		
3667	7	77.7	80.4	87.5	
3667	8	83.2	71.2		75.2
4468	3	88.5	63.2		
4468	4	75	69	67	
4468	5	82.8	69.7		32.3
4468	7				
1527	10	75.9	0	90	6.7
1534	8				
1534	10				
1648	3				
1648	4				
1648	5				
1648	7				
1648	10				
1784	3				
1784	4				
1784	5				
1784	6	45.5			
1784	7				
1784	8				
1784	10	66.7	23.8	57.1	36.4
2212	10	42.1	5.1	47.2	7.7
2439	3	67.5	56.6		
2439	4	52.5	36.3	50	
2439	5	47.7	31.4		14
2475	10	69.1	22.1	70.1	28.1
2597	3	86.5	72.8		
2597	4	62.5	37.1	70.5	
2597	5	76.8	54.5		45.5
2640	3	49	46.3		
2640	4	45.8	27.7	51.8	
2640	5	47.9	26		16.8
2929	3	57.1	34.9		
2929	4	17.1	4.3	5.8	
2929	5	45.8	9.7		1.4
3034	3	68.8	54.7		
3034	4	50.9	21.8	47.3	
3034	5	63.3	25		16.7
3035	6	69.2	55.8		
3035	7	72	52.1	74.3	
3035	8	71.9	56.4		56.8
3280	6	53	32		
3280	7	56.6	41.8	74.5	
3280	8	59.1	28.6		42.4
3337	3	60.6	57.4		
3337	4	61.4	38.6	62.5	
3337	5	57	48.8		12.8
3434	6	65.7	39.9		
3434	7	69.7	48.8	58.8	
3434	8	68	54.4		59.3
3485	3	86.1	76.4		
3485	4	84.5	40.5	81	
3485	5	83.6	64.4		31.5
3521	3	71.4	62.3		
3521	4	63	23.9	52.8	
3521	5	76.4	44.4		41.7
3586	3	92.6	82.1		
3586	4	86	53.3	77.6	
3586	5	73.3	55		35.8
3587	3	70.8	74		
3587	4	64.9	50	55.4	
3587	5	68.5	51.7		46.6
3630	10	80.1	50.8	83	49.7
3668	3	66.7	57.3		
3668	4	59.3	63	66.7	
3668	5	73.9	57.3		38.6
3702	3	75.3	68.5		
3702	4	74.4	51.3	57.7	
3702	5	72.4	51.7		43.7
3740	3	60.9	50.6		
3740	4	57.4	31.5	58.3	
3740	5	72	40.2		34.1
3741	10	76.3	36.8	84.3	46.3
2512	3				
2512	4				
2512	5				
2512	6				
2512	7				
2512	8				
2513	10				
1746	3				
1746	4				
1746	5				
1746	6	31.8			
1746	7				
1746	8				
1746	10				
1832	10				
2701	10	92.7	74.9	94	69.2
2846	3	91.5	81.7		
2846	4	91.3	82.5	96.3	
2846	5	80.2	83.9		56.3
2847	3	87.6	78.3		
2847	4	91.4	85.3	88.8	
2847	5	92.9	85.9		71.4
3036	3	78.3	75.4		
3036	4	73.5	60.2	80.7	
3036	5	86.3	72.5		58.8
3100	3	71.4	67.9		
3100	4	72.1	66.4	82.8	
3100	5	80.6	80.6		74.6
3166	6	70.8	57.7		
3166	7	54.5	56.8	64.6	
3166	8	72	59.5		62.4
3167	3	88	79.3		
3167	4	86.4	71.6	82.7	
3167	5	78	79.8		54.3
3168	3	70.2	57.9		
3168	4	71.4	40.8	79.6	
3168	5	71	58.1		37.1
3224	3	89.3	84.5		
3224	4	89.2	92.7	94	
3224	5	94.6	87.8		66.2
3225	3	70	65.7		
3225	4	55.1	35.9	53.8	
3225	5	60.6	53.2		35.1
3282	10	78.8	44.3	89.5	56.1
3283	6	84.1	75.8		
3283	7	84.9	84.6	88.8	
3283	8	89.6	81		82.1
3338	6	85.1	80.8		
3338	7	81.1	77.4	83.1	
3338	8	82	79.3		71.3
3339	3	75	64.7		
3339	4	70.2	66	66.7	
3339	5	71.7	66.7		53.7
3435	6	79.2	75.8		
3435	7	75.8	79.5	75.3	
3435	8	80.9	73.3		72.3
3436	3	93.8	90.7		
3436	4	94.3	93.2	97.8	
3436	5	93.5	89.5		83.9
3437	3	76.4	78.4		
3437	4	83.3	73	75.5	
3437	5	82.4	75.6		58.8
3486	10	95.5	77.1	97.6	79.4
3588	10	89.3	66.7	94.8	74.2
3631	6	81	72.7		
3631	7	85.7	79.5	78.9	
3631	8	90.9	74.7		80.9
3633	3	68.9	51.1		
3633	4	67.3	53.1	65.3	
3633	5	73	59.5		24.3
3634	3	85.7	69.6		
3634	4	84.3	76.5	86.3	
3634	5	81.4	76.7		69.8
3705	3	85.3	89.6		
3705	4	93.3	73.7	69.9	
3705	5	92.3	92.3		82.7
3742	3	90.9	90.9		
3742	4	94.4	88.6	77.1	
3742	5	89.3	89.3		78.6
3744	7	35.7	42.9	28.6	
3744	8	81.8	36.4		45.5
3744	10	76.9	3.8	79.2	23.1
3789	3	95.7	96.8		
3789	4	88	91.5	84.3	
3789	5	90.6	93.5		69.5
2564	6	51.3	29.2		
2564	7	51	41.3	47.8	
2564	8	56.5	37.6		41.2
2848	10	58.1	17.2	70.7	23.7
3226	3	46.9	46.2		
3226	4	41.9	45.2	41.9	
3226	5	45.3	42.2		23.4
3488	3	65.3	60.5		
3488	4	63.2	47.4	51.3	
3488	5	62.7	46.3		13.4
3635	3	50	46.3		
3635	4	40	26.2	53.1	
3635	5	54.9	40.8		35.2
1756	10				
1854	3				
1854	4	53.3	26.7	26.7	
1854	5				
1854	6				
1854	7				
1854	8				
1854	10				
2485	3	77.8	73		
2485	4	83.1	74.7	72.3	
2485	5	75	49.4		39
3006	3	100	100		
3006	4	75	58.3	91.7	
