SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathMetStandard	MathPercentMetStandard	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelMO	MathPercentLevelMO	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNotTested	MathPercentNotTested	MathNotMet	MathPercentNotMet	MathWAASPORT	MathPercentWAASPORT	MathWAASDAW	MathPercentWAASDAW	ReadingTotalTested	ReadMetStandard	ReadPercentMetStandard	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelMO	ReadingPercentLevelMO	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNotTested	ReadingPercentNotTested	ReadingNotMet	ReadingPercentNotMet	ReadingWAASPORT	ReadingPercentWAASPORT	ReadingWAASDAW	ReadingPercentWAASDAW	WritingTotalTested	WriteMetStandard	WritePercentMetStandard	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelMO	WritingPercentLevelMO	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNotTested	WritingPercentNotTested	WritingNotMet	WritingPercentNotMet	WritingWAASPORT	WritingPercentWAASPORT	WritingWAASDAW	WritingPercentWAASDAW	ScienceTotalTested	ScienceMetStandard	SciencePercentMetStandard	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelMO	SciencePercentLevelMO	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNotTested	SciencePercentNotTested	ScienceNotMet	SciencePercentNotMet	ScienceWAASPORT	SciencePercentWAASPORT	ScienceWAASDAW	SciencePercentWAASDAW	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	3498	Skyline	5	55	41	74.5	6	10.9	8	14.5	0	0.0	13	23.6	28	50.9	0	0.0	14	25.5	2	3.3	0	0.0	55	40	72.7	1	1.8	14	25.5	1	1.8	15	27.3	24	43.6	0	0.0	15	27.3	2	3.3	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	55	29	52.7	6	10.9	20	36.4	0	0.0	23	41.8	6	10.9	0	0.0	26	47.3	2	3.3	0	0.0	47.4	19.3	12.3	21.1	3.09	3.15	2.53
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	3646	Boze	3	67	40	57.1	17	24.3	10	14.3	0	0.0	25	35.7	15	21.4	3	4.3	30	42.9	0	0.0	0	0.0	64	41	58.6	9	12.9	14	20.0	0	0.0	25	35.7	16	22.9	6	8.6	29	41.4	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0	54.3	20.0	25.7	2.51	2.46	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	3646	Boze	4	64	30	46.2	25	38.5	9	13.8	1	1.5	15	23.1	14	21.5	1	1.5	35	53.8	0	0.0	0	0.0	64	45	69.2	5	7.7	14	21.5	2	3.1	34	52.3	9	13.8	1	1.5	20	30.8	0	0.0	0	0.0	62	29	44.6	15	23.1	18	27.7	0	0.0	24	36.9	5	7.7	3	4.6	36	55.4	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	33.8	18.5	29.2	18.5	2.63	2.22	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	3646	Boze	5	74	22	29.7	33	44.6	19	25.7	0	0.0	14	18.9	8	10.8	0	0.0	52	70.3	0	0.0	0	0.0	74	33	44.6	12	16.2	29	39.2	0	0.0	22	29.7	11	14.9	0	0.0	41	55.4	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	74	4	5.4	43	58.1	27	36.5	1	1.4	3	4.1	0	0.0	0	0.0	70	94.6	0	0.0	0	0.0	2.7	24.3	23.0	50.0	2.43	1.96	1.43
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	3880	Foss	10	302	140	41.3	104	32.1	73	22.5	0	0.0	90	27.8	35	10.8	22	6.8	199	61.4	10	2.5	0	0.0	298	265	76.8	15	4.8	50	16.0	0	0.0	97	31.0	136	43.5	15	4.8	80	25.6	10	2.5	0	0.0	305	268	76.1	9	2.8	57	17.6	0	0.0	132	40.9	107	33.1	18	5.6	84	26.0	10	2.5	0	0.0	280	73	23.2	144	46.0	65	20.8	0	0.0	66	21.1	5	1.6	33	10.5	242	77.3	10	2.5	0	0.0	36.2	31.2	22.6	10.1	3.04	2.04	1.57
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4109	Oakland Alternative High School	10	20	2	3.7	14	26.4	5	9.4	0	0.0	1	1.9	0	0.0	33	62.3	52	98.1	0	0.0	0	0.0	25	22	30.1	2	3.0	8	12.1	3	4.5	9	13.6	3	4.5	41	62.1	51	77.3	0	0.0	0	0.0	24	28	34.6	0	0.0	7	10.0	1	1.4	12	17.1	4	5.7	46	65.7	53	75.7	0	0.0	0	0.0	18	1	2.0	14	28.0	3	6.0	0	0.0	1	2.0	0	0.0	32	64.0	49	98.0	0	0.0	0	0.0	27.5	36.3	36.3	0.0	0.86	0.51	0.46
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4281	Park Avenue Center	3	3	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4281	Park Avenue Center	4	4	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4281	Park Avenue Center	6	2	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2006-07	Puget Sound Educational Service District 121	27	Pierce	27010	Tacoma School District	4281	Park Avenue Center	7	5	NA	NA	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	14.3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	14.3	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
