SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	GradeTested	MathTotalTested	MathMetStandard	MathPercentMetStandard	MathLevel1	MathPercentLevel1	MathLevel2	MathPercentLevel2	MathLevelMO	MathPercentLevelMO	MathLevel3	MathPercentLevel3	MathLevel4	MathPercentLevel4	MathNotTested	MathPercentNotTested	MathNotMet	MathPercentNotMet	MathWAASPORT	MathPercentWAASPORT	MathWAASDAW	MathPercentWAASDAW	ReadingTotalTested	ReadingMetStandard	ReadingPercentMetStandard	ReadingLevel1	ReadingPercentLevel1	ReadingLevel2	ReadingPercentLevel2	ReadingLevelMO	ReadingPercentLevelMO	ReadingLevel3	ReadingPercentLevel3	ReadingLevel4	ReadingPercentLevel4	ReadingNotTested	ReadingPercentNotTested	ReadingNotMet	ReadingPercentNotMet	ReadingWAASPORT	ReadingPercentWAASPORT	ReadingWAASDAW	ReadingPercentWAASDAW	WritingTotalTested	WritingMetStandard	WritingPercentMetStandard	WritingLevel1	WritingPercentLevel1	WritingLevel2	WritingPercentLevel2	WritingLevelMO	WritingPercentLevelMO	WritingLevel3	WritingPercentLevel3	WritingLevel4	WritingPercentLevel4	WritingNotTested	WritingPercentNotTested	WritingNotMet	WritingPercentNotMet	WritingWAASPORT	WritingPercentWAASPORT	WritingWAASDAW	WritingPercentWAASDAW	ScienceTotalTested	ScienceMetStandard	SciencePercentMetStandard	ScienceLevel1	SciencePercentLevel1	ScienceLevel2	SciencePercentLevel2	ScienceLevelMO	SciencePercentLevelMO	ScienceLevel3	SciencePercentLevel3	ScienceLevel4	SciencePercentLevel4	ScienceNotTested	SciencePercentNotTested	ScienceNotMet	SciencePercentNotMet	ScienceWAASPORT	SciencePercentWAASPORT	ScienceWAASDAW	SciencePercentWAASDAW	PercentMet3Standards	PercentMet2Standards	PercentMet1Standards	PercentMet0Standards	ReadingLevelIndex	MathLevelIndex	ScienceLevelIndex
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	2883	Hawthorne Elementary School	4	69	20	28.6	31	44.3	18	25.7	0	0.0	12	17.1	8	11.4	1	1.4	50	71.4	0	0.0	0	0.0	69	42	60.0	8	11.4	19	27.1	0	0.0	30	42.9	12	17.1	1	1.4	28	40.0	0	0.0	0	0.0	69	26	37.1	23	32.9	20	28.6	0	0.0	23	32.9	3	4.3	1	1.4	44	62.9	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.4	20.0	21.4	37.1	2.63	1.93	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	2883	Hawthorne Elementary School	5	65	17	26.2	34	52.3	14	21.5	0	0.0	14	21.5	3	4.6	0	0.0	48	73.8	0	0.0	2	2.9	65	33	50.8	17	26.2	15	23.1	0	0.0	25	38.5	8	12.3	0	0.0	32	49.2	0	0.0	2	2.9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	67	5	7.5	38	56.7	24	35.8	0	0.0	5	7.5	0	0.0	0	0.0	62	92.5	0	0.0	0	0.0	4.5	23.9	20.9	50.7	2.37	1.78	1.51
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3002	View Ridge Elementary	3	87	71	81.6	7	8.0	9	10.3	0	0.0	37	42.5	34	39.1	0	0.0	16	18.4	4	4.4	0	0.0	87	71	81.6	7	8.0	9	10.3	0	0.0	22	25.3	49	56.3	0	0.0	16	18.4	4	4.4	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80.2	4.4	15.4	3.30	3.13	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3002	View Ridge Elementary	4	92	53	57.6	16	17.4	23	25.0	0	0.0	27	29.3	26	28.3	0	0.0	39	42.4	4	4.1	0	0.0	92	75	81.5	3	3.3	14	15.2	0	0.0	36	39.1	39	42.4	0	0.0	17	18.5	4	4.1	0	0.0	91	59	64.8	11	12.1	21	23.1	0	0.0	44	48.4	15	16.5	0	0.0	32	35.2	4	4.1	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49.0	22.9	14.6	13.5	3.21	2.68	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3002	View Ridge Elementary	5	107	75	70.1	11	10.3	21	19.6	0	0.0	29	27.1	46	43.0	0	0.0	32	29.9	2	1.8	0	0.0	107	94	87.9	5	4.7	8	7.5	0	0.0	35	32.7	59	55.1	0	0.0	13	12.1	2	1.8	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	107	59	55.1	15	14.0	33	30.8	0	0.0	47	43.9	12	11.2	0	0.0	48	44.9	2	1.8	0	0.0	53.2	16.5	16.5	13.8	3.38	3.03	2.52
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3184	Emerson Elementary School	3	106	71	66.4	17	15.9	18	16.8	0	0.0	46	43.0	25	23.4	1	0.9	36	33.6	0	0.0	0	0.0	106	73	68.2	15	14.0	18	16.8	0	0.0	38	35.5	35	32.7	1	0.9	34	31.8	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	57.9	18.7	23.4	2.85	2.72	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3184	Emerson Elementary School	4	100	35	35.0	32	32.0	33	33.0	0	0.0	27	27.0	8	8.0	0	0.0	65	65.0	0	0.0	0	0.0	100	73	73.0	4	4.0	23	23.0	0	0.0	52	52.0	21	21.0	0	0.0	27	27.0	0	0.0	0	0.0	100	48	48.0	12	12.0	40	40.0	0	0.0	42	42.0	6	6.0	0	0.0	52	52.0	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.0	22.0	28.0	22.0	2.90	2.11	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3184	Emerson Elementary School	5	61	37	60.7	10	16.4	14	23.0	0	0.0	21	34.4	16	26.2	0	0.0	24	39.3	0	0.0	0	0.0	61	51	83.6	2	3.3	8	13.1	0	0.0	25	41.0	26	42.6	0	0.0	10	16.4	0	0.0	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61	17	27.9	13	21.3	31	50.8	0	0.0	17	27.9	0	0.0	0	0.0	44	72.1	0	0.0	0	0.0	24.6	37.7	23.0	14.8	3.23	2.70	2.07
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3253	Evergreen Middle School	6	320	140	43.6	92	28.7	88	27.4	0	0.0	93	29.0	47	14.6	1	0.3	181	56.4	1	0.3	8	2.4	317	211	66.4	8	2.5	98	30.8	0	0.0	143	45.0	68	21.4	1	0.3	107	33.6	1	0.3	11	3.3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.3	28.5	31.2	2.85	2.29	NA
2005-06	Northwest Educational Service District 189	31	Snohomish	31002	Everett School District	3253	Evergreen Middle School	7	293	138	46.9	86	29.3	69	23.5	0	0.0	92	31.3	46	15.6	1	0.3	156	53.1	8	2.6	0	0.0	294	204	69.4	16	5.4	74	25.2	0	0.0	91	31.0	113	38.4	0	0.0	90	30.6	8	2.6	0	0.0	292	156	53.1	60	20.4	76	25.9	0	0.0	99	33.7	57	19.4	2	0.7	138	46.9	8	2.6	0	0.0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36.4	22.5	18.5	22.5	3.02	2.33	NA
