SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	SchoolTypeCode	GradeSpan	TotalEnrollment	NumberAmericanIndianorAlaskanNative	PercentAmericanIndianorAlaskanNative	NumberAsian	PercentAsian	NumberPacificIslander	PercentPacificIslander	NumberAsianPacificIslander	PercentAsianPacificIslander	NumberBlack	PercentBlack	NumberHispanic	PercentHispanic	NumberWhite	PercentWhite	NumberTwoOrMoreRaces	PercentTwoOrMoreRaces	NumberMales	PercentMales	NumberFemales	PercentFemales	NumberMigrant	PercentMigrant	NumberTransitionalBilingual	PercentTransitionalBilingual	NumberSpecialEducation	PercentSpecialEducation	NumberFreeorReducedPricedMeals	PercentFreeorReducedPricedMeals	NumberSection504	PercentSection504	NumberFosterCare	PercentFosterCare	StudentsPerClassroomTeacher	AvgYearsEducationalExperience	NumberTeachersWithAtLeastMasterDegree	PercentTeachersWithAtLeastMasterDegree
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2834	A J West Elementary	P	PK-6      	430	16	3.72	13	3.02	0	0.00	13	3.02	8	1.86	180	41.86	196	45.58	17	3.95	225	52.33	205	47.67	13	3.07	67	15.84	83	19.62	360	85.11	1	0.24	0	0.00	17	11.0	20	76.92
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3093	Alexander Young Elementary	P	PK-6      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3216	Central Park Elementary	P	K-6       	172	9	5.23	7	4.07	1	0.58	8	4.65	2	1.16	20	11.63	128	74.42	5	2.91	76	44.19	96	55.81	0	0.00	5	2.96	23	13.61	77	45.56	0	0.00	0	0.00	11	13.8	12	80.00
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	1837	Community Learning Op Ctr Cloc	P	9-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3857	Harbor High School	P	9-12      	124	8	6.45	1	0.81	0	0.00	1	0.81	0	0.00	29	23.39	80	64.52	6	4.84	62	50.00	62	50.00	2	1.64	1	0.82	14	11.48	96	78.69	3	2.46	0	0.00	12	10.6	5	50.00
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	1775	Homelink	A	2-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3154	Hopkins Elementary	P	PK-PK     	28	0	0.00	1	3.57	0	0.00	1	3.57	0	0.00	10	35.71	12	42.86	5	17.86	21	75.00	7	25.00	0	0.00	0	0.00	52	100.00	36	69.23	0	0.00	0	0.00	5	18.2	5	83.33
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	3476	J M Weatherwax High School	P	9-12      	926	35	3.78	41	4.43	8	0.86	49	5.29	7	0.76	209	22.57	604	65.23	22	2.38	484	52.27	442	47.73	25	2.88	31	3.57	98	11.29	464	53.46	17	1.96	0	0.00	18	11.5	25	48.08
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2449	McDermoth Elementary	P	K-6       	362	22	6.08	9	2.49	0	0.00	9	2.49	5	1.38	97	26.80	215	59.39	14	3.87	186	51.38	176	48.62	22	5.85	52	13.83	50	13.30	233	61.97	1	0.27	0	0.00	16	9.5	13	59.09
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2305	Miller Junior High	P	7-8       	477	27	5.66	11	2.31	4	0.84	15	3.14	10	2.10	123	25.79	292	61.22	10	2.10	249	52.20	228	47.80	25	5.38	34	7.31	68	14.62	323	69.46	7	1.51	0	0.00	15	12.3	19	61.29
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2763	Robert Gray Elementary	P	PK-6      	273	12	4.40	4	1.47	2	0.73	6	2.20	5	1.83	78	28.57	159	58.24	13	4.76	128	46.89	145	53.11	11	4.09	28	10.41	40	14.87	205	76.21	1	0.37	0	0.00	13	11.7	16	76.19
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	2971	Stevens Elementary School	P	PK-6      	457	36	7.88	15	3.28	1	0.22	16	3.50	8	1.75	156	34.14	231	50.55	10	2.19	232	50.77	225	49.23	22	4.66	77	16.31	83	17.58	396	83.90	0	0.00	0	0.00	15	11.7	20	66.67
2012-13	Educational Service District 113	14	Grays Harbor	14005	Aberdeen School District	5208	Twin Harbors, A Branch of New Market Skills Center	V	9-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 113	21	Lewis	21226	Adna School District	2227	Adna Elementary School	P	PK-5      	239	0	0.00	3	1.26	0	0.00	3	1.26	0	0.00	8	3.35	226	94.56	2	0.84	121	50.63	118	49.37	0	0.00	0	0.00	25	10.50	83	34.87	0	0.00	0	0.00	17	12.2	10	71.43
2012-13	Educational Service District 113	21	Lewis	21226	Adna School District	2441	Adna Middle/High School	P	6-12      	339	3	0.88	5	1.47	0	0.00	5	1.47	2	0.59	16	4.72	306	90.27	7	2.06	192	56.64	147	43.36	0	0.00	0	0.00	18	5.41	87	26.13	12	3.60	2	0.60	18	13.7	18	94.74
2012-13	Educational Service District 101	22	Lincoln	22017	Almira School District	2860	Almira Elementary School	P	K-8       	97	0	0.00	0	0.00	0	0.00	0	0.00	1	1.03	6	6.19	88	90.72	2	2.06	53	54.64	44	45.36	0	0.00	0	0.00	11	11.58	40	42.11	0	0.00	0	0.00	6	15.1	9	60.00
2012-13	Educational Service District 101	22	Lincoln	22017	Almira School District	2861	Almira High School	P	9-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	2467	Anacortes High School	P	9-12      	849	16	1.88	24	2.83	1	0.12	25	2.94	11	1.30	61	7.18	729	85.87	7	0.82	439	51.71	410	48.29	0	0.00	6	0.74	48	5.89	224	27.48	45	5.52	2	0.25	20	13.1	29	69.05
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	2707	Anacortes Middle School	P	7-8       	387	7	1.81	16	4.13	0	0.00	16	4.13	4	1.03	34	8.79	322	83.20	4	1.03	180	46.51	207	53.49	0	0.00	9	2.26	27	6.77	140	35.09	33	8.27	0	0.00	16	12.7	18	75.00
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	5176	Cap Sante High School	A	9-12      	40	1	2.50	0	0.00	0	0.00	0	0.00	0	0.00	6	15.00	32	80.00	1	2.50	17	42.50	23	57.50	0	0.00	0	0.00	0	0.00	24	75.00	2	6.25	0	0.00	20	13.9	0	
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	1905	Cooperatives	S	PK-12     	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	3182	Fidalgo Elementary	P	K-6       	436	3	0.69	19	4.36	0	0.00	19	4.36	10	2.29	30	6.88	371	85.09	3	0.69	236	54.13	200	45.87	0	0.00	12	2.73	52	11.82	150	34.09	11	2.50	0	0.00	18	13.0	19	79.17
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	1849	Home Education Partnership	A	K-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	3252	Island View Elementary	P	K-6       	434	5	1.15	14	3.23	0	0.00	14	3.23	5	1.15	40	9.22	363	83.64	7	1.61	226	52.07	208	47.93	0	0.00	12	2.78	51	11.81	194	44.91	15	3.47	0	0.00	16	13.3	20	74.07
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	1525	Learning Opportunity Center	A	10-12     	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	3057	Mount Erie Elementary	P	K-6       	454	4	0.88	12	2.64	0	0.00	12	2.64	8	1.76	37	8.15	386	85.02	7	1.54	236	51.98	218	48.02	0	0.00	12	2.68	45	10.04	136	30.36	17	3.79	0	0.00	20	11.8	21	91.30
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	3923	Secret Harbor	S	6-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Northwest Educational Service District 189	29	Skagit	29103	Anacortes School District	3404	Whitney Elementary	P	PK-K      	109	0	0.00	0	0.00	0	0.00	0	0.00	2	1.83	12	11.01	89	81.65	6	5.50	63	57.80	46	42.20	0	0.00	4	3.48	42	36.52	41	35.65	1	0.87	0	0.00	14	13.8	5	62.50
2012-13	Northwest Educational Service District 189	31	Snohomish	31016	Arlington School District	2523	Arlington High School	P	9-12      	1566	16	1.02	30	1.92	9	0.57	39	2.49	23	1.47	139	8.88	1275	81.42	74	4.73	818	52.23	748	47.77	0	0.00	17	1.11	134	8.71	391	25.42	34	2.21	2	0.13	20	11.8	65	83.33
2012-13	Northwest Educational Service District 189	31	Snohomish	31016	Arlington School District	2277	Arlington Special Educ School	P	PK-12     	25	0	0.00	1	4.00	0	0.00	1	4.00	0	0.00	2	8.00	22	88.00	0	0.00	13	52.00	12	48.00	0	0.00	0	0.00	32	100.00	5	15.63	0	0.00	0	0.00		0.0	0	
2012-13	Northwest Educational Service District 189	31	Snohomish	31016	Arlington School District	4327	Eagle Creek Elementary	P	K-5       	542	3	0.55	0	0.00	0	0.00	0	0.00	3	0.55	96	17.71	419	77.31	21	3.87	294	54.24	248	45.76	0	0.00	77	13.92	49	8.86	262	47.38	0	0.00	1	0.18	18	7.4	21	70.00
2012-13	Northwest Educational Service District 189	31	Snohomish	31016	Arlington School District	5010	Haller Middle School	P	6-8       	667	13	1.95	14	2.10	11	1.65	25	3.75	9	1.35	79	11.84	524	78.56	17	2.55	323	48.43	344	51.57	0	0.00	20	3.02	52	7.84	188	28.36	1	0.15	0	0.00	20	12.6	23	67.65
2012-13	Northwest Educational Service District 189	31	Snohomish	31016	Arlington School District	4436	Kent Prairie Elementary	P	K-5       	572	4	0.70	20	3.50	2	0.35	22	3.85	9	1.57	51	8.92	458	80.07	28	4.90	299	52.27	273	47.73	0	0.00	16	2.78	49	8.51	241	41.84	4	0.69	0	0.00	21	10.5	17	62.96
