SchoolYear	ESD	CountyNumber	County	CountyDistrictNumber	District	BuildingNumber	School	SchoolTypeCode	GradeSpan	TotalEnrollment	NumberAmericanIndianorAlaskanNative	PercentAmericanIndianorAlaskanNative	NumberAsian	PercentAsian	NumberPacificIslander	PercentPacificIslander	NumberAsianPacificIslander	PercentAsianPacificIslander	NumberBlack	PercentBlack	NumberHispanic	PercentHispanic	NumberWhite	PercentWhite	NumberTwoOrMoreRaces	PercentTwoOrMoreRaces	NumberMales	PercentMales	NumberFemales	PercentFemales	NumberMigrant	PercentMigrant	NumberTransitionalBilingual	PercentTransitionalBilingual	NumberSpecialEducation	PercentSpecialEducation	NumberFreeorReducedPricedMeals	PercentFreeorReducedPricedMeals	NumberSection504	PercentSection504	NumberFosterCare	PercentFosterCare	StudentsPerClassroomTeacher	AvgYearsEducationalExperience	NumberTeachersWithAtLeastMasterDegree	PercentTeachersWithAtLeastMasterDegree
2012-13	North Central Educational Service District 171	04	Chelan	04222	Cashmere School District	2315	Cashmere Middle School	P	5-8       	456	2	0.44	3	0.66	0	0.00	3	0.66	3	0.66	166	36.40	278	60.96	4	0.88	230	50.44	226	49.56	41	8.91	46	10.00	19	4.13	239	51.96	10	2.17	1	0.22	16	13.3	20	68.97
2012-13	North Central Educational Service District 171	04	Chelan	04222	Cashmere School District	2787	Vale Elementary School	P	PK-4      	580	2	0.34	2	0.34	1	0.17	3	0.52	3	0.52	241	41.55	322	55.52	9	1.55	292	50.34	288	49.66	35	6.09	146	25.39	69	12.00	321	55.83	8	1.39	1	0.17	19	11.5	22	70.97
2012-13	Educational Service District 112	08	Cowlitz	08401	Castle Rock School District	2762	Castle Rock Elementary	P	PK-5      	672	8	1.19	4	0.60	3	0.45	7	1.04	2	0.30	75	11.16	557	82.89	23	3.42	348	51.79	324	48.21	0	0.00	19	2.79	135	19.82	378	55.51	19	2.79	4	0.59	17	10.8	29	74.36
2012-13	Educational Service District 112	08	Cowlitz	08401	Castle Rock School District	2281	Castle Rock High School	P	9-12      	452	7	1.55	8	1.77	0	0.00	8	1.77	5	1.11	35	7.74	382	84.51	15	3.32	239	52.88	213	47.12	0	0.00	7	1.59	63	14.29	193	43.76	25	5.67	0	0.00	20	14.8	20	86.96
2012-13	Educational Service District 112	08	Cowlitz	08401	Castle Rock School District	3969	Castle Rock Middle School	P	6-8       	196	4	2.04	0	0.00	2	1.02	2	1.02	0	0.00	21	10.71	155	79.08	14	7.14	98	50.00	98	50.00	0	0.00	3	1.49	41	20.30	105	51.98	18	8.91	0	0.00	15	7.5	11	84.62
2012-13	Educational Service District 112	08	Cowlitz	08401	Castle Rock School District	5185	Productive Learning Online	A	K-12      	0	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00		0.0	0	
2012-13	Educational Service District 112	20	Klickitat	20215	Centerville School District	2251	Centerville Elementary	P	K-8       	80	0	0.00	0	0.00	0	0.00	0	0.00	4	5.00	4	5.00	72	90.00	0	0.00	41	51.25	39	48.75	0	0.00	0	0.00	10	11.63	37	43.02	0	0.00	0	0.00	16	15.2	3	60.00
2012-13	Olympic Educational Service District 114	18	Kitsap	18401	Central Kitsap School District	3936	Alternative High School	A	10-12     	173	1	0.58	1	0.58	1	0.58	2	1.16	2	1.16	24	13.87	110	63.58	34	19.65	101	58.38	72	41.62	0	0.00	0	0.00	24	14.37	89	53.29	6	3.59	0	0.00	17	11.3	4	40.00
2012-13	Olympic Educational Service District 114	18	Kitsap	18401	Central Kitsap School District	2994	Brownsville Elementary	P	K-6       	416	2	0.48	25	6.01	3	0.72	28	6.73	5	1.20	54	12.98	254	61.06	73	17.55	214	51.44	202	48.56	0	0.00	6	1.43	80	19.09	132	31.50	0	0.00	4	0.95	17	14.8	19	79.17
2012-13	Olympic Educational Service District 114	18	Kitsap	18401	Central Kitsap School District	2615	Central Kitsap High School	P	10-12     	1256	4	0.32	94	7.48	13	1.04	107	8.52	38	3.03	127	10.11	813	64.73	167	13.30	658	52.39	598	47.61	0	0.00	15	1.27	129	10.90	272	22.97	30	2.53	1	0.08	20	13.7	45	72.58
