,School_ID,School District,School,Enrollment,LowSES
,1707,Stanwood-Camano School District,Lincoln Hill High School,147,41.09
,2789,Republic School District,Republic Elementary School,147,67.76
,3426,Quincy School District,George Elementary,147,93.96
,2750,Orcas Island School District,Orcas Island High School,148,31.16
,1830,Edmonds School District,Special Education Contracted,149,12.14
,1942,Shoreline School District,Cascade K-8 Community School,149,26.21
,2688,Entiat School District,Paul Rumburg Elementary,150,73.13
,1516,Peninsula School District,Henderson Bay Alt High School,151,42.86
,1708,Sequim School District,Sequim Community School,152,51.95
,2241,Pomeroy School District,Pomeroy Jr Sr High School,152,47.37
,3444,Willapa Valley School District,Willapa Elementary,153,57.59
,5104,Camas School District,Hayes Freedom High School,153,42.41
,3295,Naselle-Grays River Valley School District,Naselle Jr Sr High Schools,154,53.59
,5163,Federal Way School District,Career Academy at Truman High School,154,68.71
,1718,South Kitsap School District,Explorer Academy,155,30.62
,2423,Cusick School District,Cusick Jr Sr High School,155,56.94
,2620,Sedro-Woolley School District,Lyman Elementary School,155,59.87
,3188,Darrington School District,Darrington Sr High School,156,46.31
,1814,Northshore School District,Northshore Networks,158,8.63
,3467,Wahkiakum School District,Wahkiakum High School,160,46.15
,2484,Green Mountain School District,Green Mountain School,161,46.2
,2549,Wellpinit School District,Wellpinit Elementary School,161,86.5
,3811,Northshore School District,Secondary Academy for Success,162,36.36
,3185,Edmonds School District,Early Childhood Center,165,31
,3569,Institutions,Echo Glen School,165,89.33
,2588,Colton School District,Colton School,166,12.5
,5155,Orient School District,Columbia Virtual Academy-Orient,166,0.68
,3145,Cape Flattery School District,Neah Bay Junior/ Senior High School,168,58.93
,3508,Columbia (Stevens) School District,Columbia High And Elementary,168,76.19
,4335,Onalaska School District,Onalaska Middle School ,168,59.26
,5152,Sultan School District,Sultan Alternative Education School,168,10.37
,5245,Ferndale School District,WINDWARD HIGH SCHOOL,168,45.16
,1547,Seattle Public Schools,Middle College High School,169,58.9
,1753,Lake Stevens School District,Homelink,171,24.86
,2162,Waterville School District,Waterville High School,171,59.39
,2810,Concrete School District,Concrete High School,171,47.71
,1544,White River School District,Collins Alternative Programs,172,32.31
,2000,Kennewick School District,Keewaydin Discovery Center,172,20.5
,2718,Highland School District,Highland Junior High School,172,78.98
,3087,Pomeroy School District,Pomeroy Elementary School,172,54.79
,3216,Aberdeen School District,Central Park Elementary,172,45.56
,3311,Mary Walker School District,Mary Walker High School,173,100
,3936,Central Kitsap School District,Alternative High School,173,53.29
,4071,Walla Walla Public Schools,Lincoln High School,173,74.71
,2694,Soap Lake School District,Soap Lake Elementary,174,100
,4369,Winlock School District,Winlock Middle School,174,67.27
,5262,Toppenish School District,NW Allprep,174,30.84
,2542,Willapa Valley School District,Willapa Valley Middle-High,175,46.24
,2678,Morton School District,Morton Elementary School,175,64.46
,3541,College Place School District,John Sager Middle School,175,61.4
,3874,Seattle Public Schools,Pinehurst K-8 School,175,53.72
,5119,Highline School District,Valley View Early Childhood Center,175,33.21
,1656,Marysville School District,10th Street School,176,15.12
,2341,Nine Mile Falls School District,Nine Mile Falls Elementary,177,23.03
,2466,Carbonado School District,Carbonado Historical School 19,177,30.68
,3089,Soap Lake School District,Soap Lake Middle & High School,177,100
,4314,North Thurston Public Schools,South Sound High School,177,63.19
,5180,Kettle Falls School District,Columbia Virtual Academy - Kettle Falls,178,37.39
,3140,Ferndale School District,Lummi Tribal Elementary School,180,99.45
,1751,Seattle Public Schools,Cascade Parent Partnership Program,181,32.83
,2623,Manson School District,Manson High School,181,80.56
,3380,Seattle Public Schools,Rainier View Elementary School,181,73.77
,4388,Meridian School District,Ten Mile Creek Elementary,181,47.22
,2027,Institutions,Green Hill Academic School,182,71.79
,2859,White Pass School District,White Pass Jr. Sr. High School,184,60.99
,5148,Naches Valley School District,Naches Valley Intermediate School,184,48.62
,1596,Seattle Public Schools,Seattle World School,185,94.63
,2585,Mount Baker School District,Acme Elementary,185,45.25
,1740,Central Kitsap School District,Off Campus,186,21.33
,2261,Bellingham School District,Larrabee Elementary School,186,38.92
,4278,Omak School District,Paschal Sherman,186,55.49
,3597,Winlock School District,Winlock Senior High,187,54.14
,3086,North Franklin School District,Mesa Elem,188,73.8
,4213,Bridgeport School District,Bridgeport Middle School,188,99.44
,5028,Highline School District,Big Picture School,188,64
,3402,Sedro-Woolley School District,Samish Elementary School,189,44.02
,3899,South Kitsap School District,Discovery,189,60.98
,3317,Entiat School District,Entiat Middle and High School,191,61.11
,3549,Lake Washington School District,Ready Start Preschool,191,0.38
,1742,Wenatchee School District,Valley Academy Of Learning,192,14.78
,2672,Grand Coulee Dam School District,Grand Coulee Dam Middle School,192,69.74
,2666,Orondo School District,Orondo Elementary and Middle School,193,87.85
,5046,Seattle Public Schools,Private School Services,194,0
,1655,Edmonds School District,Edmonds Career Options,195,35.11
,1902,Raymond School District,Raymond Home Link School,196,15.89
,2758,West Valley School District (Yakima),Mountainview Elementary,196,56.78
,3969,Castle Rock School District,Castle Rock Middle School,196,51.98
,2744,Southside School District,Southside Elementary,197,41.87
,3912,Pasco School District,New Horizons High School,197,76.08
,4247,Mukilteo School District,ACES High School,198,70.97
,5014,Tumwater School District,New Market High School,198,24.26
,2682,Stevenson-Carson School District,Stevenson Elementary,200,59.8
,3204,Rosalia School District,Rosalia Elementary & Secondary School,200,64.53
,2570,Cle Elum-Roslyn School District,Walter Strom Middle School,203,41.01
,2636,Vancouver School District,Early Childhood Education Center,203,54.74
,3714,Seattle Public Schools,Lowell Elementary School,203,49.54
,5307,Tacoma School District,Fresh Start,203,27.78
,2697,Chimacum School District,Chimacum Elementary School,204,59.11
,2297,Mary Walker School District,Springdale Elementary,205,100
,3932,Vancouver School District,Lewis And Clark High School,205,62.3
,3977,Toledo School District,Toledo Middle School,205,52.82
,5250,Spokane School District,On Track Academy,205,65.52
,2749,Orcas Island School District,Orcas Island Elementary School,206,47.29
,2788,Bridgeport School District,Bridgeport High School,206,98.99
,4042,Evergreen School District (Clark),Legacy High School,207,56.04
,1842,West Valley School District (Spokane),Spokane Valley Transition School,208,59.67
,3198,Kettle Falls School District,Kettle Falls Middle School,208,64.19
,5271,Vancouver School District,Vancouver iTech Preparatory,208,37.31
,2489,Nooksack Valley School District,Sumas Elementary,209,53.69
,2801,Grand Coulee Dam School District,Lake Roosevelt High School,209,58.13
,1508,Toppenish School District,Eagle High School,210,98.39
,2145,Grapeview School District,Grapeview Elementary & Middle School,211,45.5
,2474,Quilcene School District,Quilcene High And Elementary,211,46.23
,3023,Yakima School District,Discovery Lab School,211,54.81
,4580,Moses Lake School District,Columbia Basin Secondary School,211,67.12
,4428,Nooksack Valley School District,Everson Elementary,214,65.4
,1884,Kennewick School District,Legacy High School,216,62
,2158,Rainier School District,Rainier Middle School,216,55.3
,2728,North Beach School District,North Beach Senior High School,216,64.59
,3555,White Pass School District,White Pass Elementary School,216,69.3
,4095,Eastmont School District,Sterling Intermediate School,217,53.18
,2006,Curlew School District,Curlew Elem & High School,219,57.14
,3012,Columbia (Walla Walla) School District,Columbia Middle School,219,54.34
,2525,Riverside School District,Chattaroy Elementary,220,57.55
,1817,Tacoma School District,Home Based,221,22.39
,2214,South Bend School District,South Bend High School,221,57.35
,3403,Sedro-Woolley School District,Clear Lake Elementary School,221,47.87
,3055,Peninsula School District,Evergreen Elementary,222,64.56
,5240,Bellevue School District,Bellevue Big Picture School,222,12.92
,2830,Dayton School District,Dayton Elementary School,224,66.09
,4110,Puyallup School District,Chief Leschi Schools,224,53.95
,4217,Kiona-Benton City School District,Kiona-Benton Intermediate School,224,73.45
,1755,West Valley School District (Spokane),West Valley City School,225,35.45
,2331,Onalaska School District,Onalaska High School,225,48.11
,3066,Olympia School District,Madison Elementary School,225,41.2
,3609,Darrington School District,Darrington Elementary School,225,71.37
,4039,Ocean Beach School District,Ocean Park Elementary,225,78.54
,4481,Zillah School District,Zillah Middle School,225,54.63
,2405,Valley School District,Valley School,226,72.03
,2276,La Conner School District,La Conner High School,227,39.91
,2719,Ritzville School District,Ritzville Grade School,227,44.16
,2702,Auburn School District,West Auburn Senior High School,228,65.08
,2972,Hoquiam School District,Central Elementary School,229,65.77
,2302,Dayton School District,Dayton High School,230,45.37
,4031,Finley School District,Finley Middle School,230,78.76
,5281,Bellevue School District,Central Educational Services,230,6.23
,5205,Seattle Public Schools,Sand Point Elementary,231,52.26
,2822,West Valley School District (Yakima),Ahtanum Valley Elementary,232,59.26
,3621,Hoquiam School District,Lincoln Elementary,232,75.31
,5068,Central Valley School District,Central Valley Kindergarten Center,232,26.69
,4552,Chimacum School District,Chimacum Creek Primary School,233,61.38
,2268,Hoquiam School District,Emerson Elementary,234,76.07
,4593,Freeman School District,Freeman Middle School,234,24.79
,4488,College Place School District,Meadow Brook Intermediate School,235,61.02
,4004,Coupeville School District,Coupeville Middle School,236,34.45
,2245,Okanogan School District,Okanogan Middle School,238,53.39
,2322,Seattle Public Schools,Montlake Elementary School,238,7.36
,3473,Crescent School District,Crescent School,238,51.52
,2227,Adna School District,Adna Elementary School,239,34.87
,4261,Chimacum School District,Chimacum Middle School,239,46.67
,1613,Wenatchee School District,Westside High School,240,73.09
,4109,Tacoma School District,Oakland High School,240,81.92
,1941,Kennewick School District,Mid-Columbia Parent Partnership,241,21.95
,2637,Vancouver School District,Fruit Valley Elementary School,241,89.75
,1858,Mead School District,Mead Education Partnership Prog,243,38.15
,2668,Davenport School District,Davenport Elementary,243,56.03
,2962,Clarkston School District,Grantham Elementary,243,89.54
,4206,Kettle Falls School District,Kettle Falls High School,243,52.02
,4288,Shelton School District,Choice Alternative School,243,73.76
,2225,Bellingham School District,Lowell Elementary School,244,16.94
,2800,Brewster School District,Brewster High School,244,97.02
,4196,Tonasket School District,Tonasket Middle School,244,63.68
,5138,Federal Way School District,Technology Access Foundation Academy,244,56.3
,1832,Bellevue School District,Bsd Voc Ed/Career Educ Options,245,4.69
,3909,Warden School District,Warden Middle School,246,82.91
,5236,Quilcene School District,PEARL,246,0
,1537,Sedro-Woolley School District,State Street High School,247,57.43
,3027,Seattle Public Schools,Northgate Elementary School,247,84.58
,2760,Cascade School District,Peshastin Dryden Elementary,248,57.03
,3787,North Beach School District,Ocean Shores Elementary,248,77.24
,4510,Marysville School District,Quil Ceda Elementary,248,76.45
,4295,Richland School District,Rivers Edge High School,250,52.17
,2160,Touchet School District,Touchet Elem & High School,252,57.61
,4063,Franklin Pierce School District,Gates Secondary School,252,61.79
,2882,Stevenson-Carson School District,Carson Elementary,255,57.48
,3854,Edmonds School District,Scriber Lake High School,255,53.23
,2244,Centralia School District,Edison Elementary,256,81.75
,2609,Quillayute Valley School District,Forks Middle School,256,59.61
,4233,Marysville School District,Marysville Mountain View High School,256,51.83
,2572,Mossyrock School District,Mossyrock Elementary School,257,68.18
,3207,West Valley School District (Yakima),Summitview Elementary,257,56.7
,5301,Spokane School District,The Community School,258,72.6
,1758,Oak Harbor School District,Homeconnection,259,19.14
,2146,Methow Valley School District,Liberty Bell Jr Sr High,259,43.53
,2275,Tacoma School District,Roosevelt,259,92.03
,2357,Raymond School District,Raymond Jr Sr High School,260,65.35
,2361,Eatonville School District,Weyerhaeuser Elementary,260,35.27
,2610,Vancouver School District,Hough Elementary School,260,58.56
,2977,Seattle Public Schools,Viewlands Elementary School,260,55.47
,3028,Seattle Public Schools,Sacajawea Elementary School,260,24.41
,3238,Mossyrock School District,Mossyrock Jr./Sr. High School,260,50.6
,4170,White River School District,Wilkeson Elementary School,260,40.68
,2061,Seattle Public Schools,Green Lake Elementary School,261,20.6
,2747,Tacoma School District,Downing,261,48.25
,2802,Grand Coulee Dam School District,Center Elementary School,261,61.24
,2148,Tacoma School District,Franklin,262,79.09
,2358,Tacoma School District,Stanley,262,87.55
,2385,Kettle Falls School District,Kettle Falls Elementary School,262,69.12
,2468,Rainier School District,Rainier Senior High School,262,44.53
,2522,La Conner School District,La Conner Elementary,267,51.13
,3003,Mount Baker School District,Mount Baker Junior High,267,52
,3374,Montesano School District,Simpson Avenue Elementary,267,41.79
,3490,Lake Washington School District,Thoreau Elementary,267,17.44
,4238,Tenino School District,Tenino Elementary School,267,50.18
,5950,Unaffiliated Colleges/Universities,Bates Technical High School,267,0
,3695,East Valley School District (Spokane),East Valley Enrichment Center,269,56.02
,5276,Seattle Public Schools,K-5 STEM at Boren,269,33.71
,1714,Arlington School District,Stillaguamish School,270,22.57
,2532,Mount Adams School District,White Swan High School,270,99.24
,1759,Federal Way School District,Internet Academy,271,26.36
,2434,Asotin-Anatone School District,Asotin Jr Sr High,271,35.61
,2931,Renton School District,Hillcrest Special Services Center,271,43.11
,2976,Seattle Public Schools,Olympic Hills Elementary School,271,73.52
,3795,Tenino School District,Tenino Middle School,271,46.44
,4137,Everett School District,Sequoia High School,271,60.97
,4226,Liberty School District,Liberty Jr High & Elementary,271,43.51
,3073,Highland School District,Tieton Intermediate School,272,78.75
,2763,Aberdeen School District,Robert Gray Elementary,273,76.21
,2827,Cascade School District,Osborn Elementary,274,56.13
,3556,Vancouver School District,Vancouver Home Connection,274,41.34
,5102,Highline School District,Arts & Academics Academy,274,81.92
,3202,Bellingham School District,Parkview Elementary School,275,40.07
,3700,Federal Way School District,Brigadoon Elementary School,275,57.24
,5203,Seattle Public Schools,McDonald International Elementary,276,14.69
,5168,North Thurston Public Schools,Aspire Middle School,278,32.01
,5204,Seattle Public Schools,Queen Anne Elementary,278,9.35
,2893,Wahkiakum School District,Julius A Wendt Elementary/John C Thomas Middle School,279,59.57
,4403,Cascade School District,Icicle River Middle School,279,48.77
,2246,Okanogan School District,Okanogan High School,280,53.18
,2365,Bellingham School District,Columbia Elementary School,280,19.42
,2401,Spokane School District,Libby Center,281,17.86
,2706,Oroville School District,Oroville Middle-High School,281,63.43
,3665,Seattle Public Schools,Sanislo Elementary School,281,68.71
,2616,Toledo School District,Toledo High School,282,45.67
,2858,Pe Ell School District,Pe Ell School,282,65.95
,2940,Tacoma School District,Arlington,282,83.28
,4222,Wahluke School District,Morris Schott Elementary,282,99.63
,2879,San Juan Island School District,Friday Harbor High School,283,32.63
,3024,Ocosta School District,Ocosta Junior - Senior High,283,63.31
,1992,Mount Vernon School District,Skagit Family Learning Center MVSD,284,23.05
,2803,Raymond School District,Raymond Elementary School,284,71.43
,2864,Reardan-Edwall School District,Reardan Elementary School,284,46.58
,2905,Prosser School District,Whitstran Elementary,284,75.09
,3430,Enumclaw School District,Black Diamond Elementary,284,33.45
,1856,Seattle Public Schools,The Center School,285,19.17
,3208,Wenatchee School District,Sunnyslope Elementary School,285,27.97
,2069,Seattle Public Schools,Madrona K-8 School,286,73.2
,2691,Kelso School District,Catlin Elementary,287,81.66
,2854,North Kitsap School District,Hilder Pearson Elementary,288,40.21
,4549,Washougal School District,Canyon Creek Middle School,288,34.56
,3354,Marysville School District,Tulalip Elementary,289,76.67
,2290,Winlock School District,Winlock Miller Elementary,290,80.07
,3273,Warden School District,Warden High School,290,72.5
,3531,Ocean Beach School District,Long Beach Elementary School,290,56.74
,4264,Toutle Lake School District,Toutle Lake Elementary,291,40.54
,1520,Edmonds School District,Challenge Elementary,292,6.21
,2118,Seattle Public Schools,Emerson Elementary School,292,87.37
,2367,Finley School District,River View High School,292,60.28
,3763,Clover Park School District,Oakbrook Elementary School,292,57.53
,2329,Cle Elum-Roslyn School District,Cle Elum Roslyn High School,293,35.37
,2894,Colfax School District,Leonard M Jennings Elementary,293,37.18
,3540,Olympia School District,Leland P Brown Elementary,293,44.48
,5238,Naselle-Grays River Valley School District,Naselle Homelink,293,1.64
,2495,Puyallup School District,Waller Road Elementary,294,54.04
,4501,Methow Valley School District,Methow Valley Elementary,294,54.67
,5265,Lake Washington School District,Unnamed STEM School-Under Construction,294,3.85
,2310,Hood Canal School District,Hood Canal Elem & Junior High,295,77.16
,2342,Olympia School District,Lincoln Elementary School,295,28.03
,2446,Snohomish School District,Central Elementary,295,48.62
,4049,Columbia (Walla Walla) School District,Columbia High School,295,39.01
,3032,Highline School District,Southern Heights Elementary,296,82.49
,3393,Goldendale School District,Goldendale Middle School,296,56.46
,3051,Omak School District,E Omak Elementary,297,77.74
,1862,Marysville School District,Marysville Coop Program,298,18.18
,2998,Toledo School District,Toledo Elementary School,298,59.74
,3572,Puyallup School District,Mt View Elementary,298,44.27
,4525,Nooksack Valley School District,Nooksack Elementary,298,55.08
,2103,Tacoma School District,Jefferson,299,66.01
,5282,Renton School District,SECONDARY LEARNING CENTER,299,65.8
,2607,Ferndale School District,Custer Elem,300,44.48
,2897,Naches Valley School District,Naches Valley Primary School,300,46.15
,3064,Central Valley School District,University Elementary School,300,54.93
,5048,Seattle Public Schools,Birth to 3 Contracts,300,0
,2201,Seattle Public Schools,McGilvra Elementary School,301,15.31
,3455,Clover Park School District,Dower Elementary School,301,82.26
,3968,Newport School District,Sadie Halstead Middle School,301,58.65
,4221,Zillah School District,Zillah Intermediate School,301,60.13
,2349,Quillayute Valley School District,Forks High School,302,51.34
,2457,Tenino School District,Parkside Elementary,302,49.52
,1789,Federal Way School District,Federal Way Public Academy,304,31.58
,2563,Eastmont School District,Rock Island Elementary,304,85.15
,3200,Bellingham School District,Alderwood Elementary School,304,81.33
,3704,Lake Washington School District,Keller Elementary,304,33.67
,4187,Northshore School District,Sunrise Elementary,304,5.86
,2569,Kittitas School District,Kittitas Elementary School,305,56.96
,2625,Coupeville School District,Coupeville High School,305,29.53
,3192,Freeman School District,Freeman High School,305,17.49
,5103,Highline School District,Technology Engineering & Communications,305,72.79
,2497,Puyallup School District,Spinning Elementary,306,68.08
,2975,Seattle Public Schools,John Rogers Elementary School,306,37.92
,3129,West Valley School District (Spokane),Orchard Center Elementary,308,65.69
,2404,Chewelah School District,Jenkins Junior/Senior High,309,53.9
,2726,Longview School District,Olympic Elementary School,309,77.32
,3547,Federal Way School District,Camelot Elementary School,309,62.77
,3592,Lake Washington School District,Bell Elementary,309,29.9
,3119,Stevenson-Carson School District,Stevenson High School,310,45.15
,5275,Kent School District,iGrad,310,56.55
,2995,South Kitsap School District,Olalla Elementary School,311,45.63
,3676,Kent School District,Cedar Valley Elementary School,311,64.47
,3739,Enumclaw School District,Southwood Elementary School,312,30.72
,4301,Kent School District,Jenkins Creek Elementary School,312,43.34
,2835,McCleary School District,Mccleary Elem,313,51.96
,3134,Bellingham School District,Happy Valley Elementary School,313,29.69
,4245,Elma School District,Elma Middle School,313,61.51
,3218,Seattle Public Schools,North Beach Elementary School,314,11.43
,4553,Stanwood-Camano School District,Elger Bay Elementary,315,43.69
,4358,North Kitsap School District,Breidablik Elementary,316,28.89
,3585,Enumclaw School District,Westwood Elementary School,317,31.29
,2196,Manson School District,Manson Elementary,318,76.76
,2317,Lake Chelan School District,Chelan Middle School,319,68.99
,2543,Bethel School District,Roy Elementary,319,60.75
,2560,Toutle Lake School District,Toutle Lake High School,319,38.28
,2804,South Bend School District,Chauncey Davis Elementary,319,67.74
,2833,Moses Lake School District,Knolls Vista Elementary,319,72.84
,3173,Davenport School District,Davenport Senior High School,319,49.84
,3239,Onalaska School District,Onalaska Elementary School,319,68.4
,2198,North Franklin School District,Robert L Olds Junior High School,320,74.21
,2521,Sedro-Woolley School District,Big Lake Elementary School,320,25.97
,3079,Port Angeles School District,Hamilton Elementary,320,60.12
,3005,Snohomish School District,Emerson Elementary,321,54.91
,4248,Seattle Public Schools,Hawthorne Elementary School,321,80.24
,2478,Reardan-Edwall School District,Reardan Middle-Senior High School,323,39.94
,2870,Puyallup School District,Karshner Elementary,323,58.7
,3080,Vancouver School District,Benjamin Franklin Elementary,324,31.64
,3824,Woodland School District,Woodland Middle School,324,50.63
,5078,Olympia School District,Olympia Regional Learning Academy,324,21.19
,2156,Spokane School District,Adams Elementary,326,73.64
,3930,Meridian School District,Meridian Middle School,326,44.51
,4479,Granite Falls School District,Monte Cristo Elementary,326,46.79
,5018,Yelm School District,Lackamas Elementary,326,45.71
,2708,Spokane School District,Madison Elementary,327,70.52
,4310,Hockinson School District,Hockinson Heights Primary,327,29.17
,3779,Moses Lake School District,North Elementary,328,91.02
,2190,White River School District,Elk Ridge Elementary,329,40.99
,2511,South Whidbey School District,Langley Middle School,329,30.21
,3501,Clover Park School District,Oakwood Elementary School,329,87.91
,4477,Lakewood School District,English Crossing Elementary,329,51.27
,3196,West Valley School District (Spokane),Ness Elementary,330,67.15
,3275,Chimacum School District,Chimacum High School,330,42.33
,3366,Colfax School District,Colfax High School,330,34.57
,3891,Ridgefield School District,View Ridge Middle School,330,33.54
,2370,Longview School District,Saint Helens Elementary,331,95.05
,2679,Tonasket School District,Tonasket High School,331,56.39
,3581,Seattle Public Schools,Wing Luke Elementary School,331,85.46
,2621,Olympia School District,McLane Elementary School,332,35.07
,2796,Lake Washington School District,Juanita Elementary,332,32.93
,4486,Rainier School District,Rainier Elementary School,332,58.57
,2677,Goldendale School District,Goldendale Primary School,333,64.5
,2817,Bellingham School District,Carl Cozier Elementary School,333,56.19
,4364,Stanwood-Camano School District,Twin City Elementary,333,43.64
,2738,Issaquah School District,Clark Elementary,334,19.76
,2746,Tacoma School District,Geiger,334,52.15
,1927,Marysville School District,Marysville Arts and Technology High School,335,44.73
,2336,Tacoma School District,Lyon,335,86.14
,2458,Ferndale School District,Central Elementary,335,77.31
,3373,Ephrata School District,Ephrata Middle School,335,50.59
,3717,Seattle Public Schools,B F Day Elementary School,335,41.57
,2319,Longview School District,Kessler Elementary School,336,92.62
,2730,Seattle Public Schools,Arbor Heights Elementary School,336,39.94
,3821,Mount Vernon School District,La Venture Middle School,336,76.85
,4098,Central Valley School District,Ponderosa Elementary,336,33.92
,4255,North Thurston Public Schools,Meadows Elementary,336,57.78
,2368,Port Angeles School District,Jefferson Elementary,337,61.54
,2507,Asotin-Anatone School District,Asotin Elementary,337,34.81
,2950,Spokane School District,Ridgeview Elementary,337,68.13
,3465,Central Valley School District,Summit School,337,19.34
,3803,Seattle Public Schools,Dearborn Park Elementary School,337,88
,4237,Omak School District,Omak Middle School,337,66.87
,3021,Moses Lake School District,Larson Heights Elementary,338,89.71
,5098,Kent School District,Kent Phoenix Academy,338,55.36
,2189,Clover Park School District,Park Lodge Elementary School,339,73.33
,2387,Bellingham School District,Sunnyland Elementary School,339,56.15
,2441,Adna School District,Adna Middle/High School,339,26.13
,2943,Clover Park School District,Custer Elementary School,339,77.43
,4551,Stanwood-Camano School District,Utsalady Elementary,339,28.74
,2888,Edmonds School District,Terrace Park Elementary,340,40.63
,3014,Kent School District,Kent Mountain View Academy,340,36
,3868,Seattle Public Schools,Nova High School,340,30.15
,4120,Auburn School District,Lake View Elementary School,340,39.36
,4463,Pioneer School District,Pioneer Primary School,340,66.95
,2798,North Kitsap School District,David Wolfle Elementary,341,56.74
,3125,Stanwood-Camano School District,Stanwood Elementary School,341,36.21
,3234,Northshore School District,Cottage Lake Elementary,341,15.08
,4336,Lake Washington School District,Wilder Elementary,341,5.68
,3266,Clarkston School District,Highland Elementary,342,80.47
,4014,Central Kitsap School District,Cottonwood Elementary School,342,40.91
,2766,Kittitas School District,Kittitas High School,343,43.2
,2274,Chehalis School District,Cascade Elementary School,345,57.1
,2823,Clarkston School District,Parkway Elementary,345,75.86
,3425,Pasco School District,Edwin Markham Elementary,345,51.59
,4399,Sultan School District,Gold Bar Elementary,345,62.54
,2422,Oroville School District,Oroville Elementary,346,75.8
,2584,Meridian School District,Irene Reither Elementary School,346,48.82
,3365,Mount Baker School District,Harmony Elementary,346,46.18
,2832,Moses Lake School District,Peninsula Elementary,347,59.05
,3699,West Valley School District (Yakima),Apple Valley Elementary,347,34.72
,3606,Edmonds School District,Edmonds Elementary,348,20.51
,3646,Tacoma School District,Boze,348,91.71
,5209,Marysville School District,Academy of Const and Engineering,348,49.84
,2687,Nooksack Valley School District,Nooksack Valley Middle School,349,53.41
,2992,Lake Washington School District,Rose Hill Elementary,349,40.76
,3439,Auburn School District,Chinook Elementary School,349,79.84
,2651,Clover Park School District,Tillicum Elementary School,350,92.98
,2448,Olympia School District,Garfield Elementary School,351,61.39
,2624,Kelso School District,Wallace Elementary,351,92.68
,2914,Longview School District,Northlake Elementary School,351,71.95
,3127,Central Valley School District,McDonald Elementary School,351,58.29
,2695,Ephrata School District,Parkway School,352,59.25
,3466,Riverside School District,Riverside Middle School,352,53.18
,4093,Yakima School District,Stanton Alternative School,352,92.2
,5221,West Valley School District (Yakima),West Valley High School Freshman Campus,353,36.01
,2518,Newport School District,Newport High School,354,53.39
,2587,Pullman School District,Franklin Elementary,354,41.57
,3929,Central Valley School District,Chester Elementary School,354,22.54
,3351,Clover Park School District,Lake Louise Elementary School,355,70.47
,3255,Lakewood School District,Lakewood Elementary School,356,40.58
,3729,Spokane School District,Grant Elementary,356,84.66
,3794,Freeman School District,Freeman Elementary School,356,28.01
,4480,Federal Way School District,Meredith Hill Elementary School,356,38.86
,2205,Eatonville School District,Eatonville Elementary School,357,44.29
,3748,Lake Washington School District,Muir Elementary,357,47.4
,2330,White Salmon Valley School District,Columbia High School,358,42.29
,2664,Chewelah School District,Gess Elementary,358,67.56
,2938,Tacoma School District,Sherman,358,38.55
,3178,Clover Park School District,Clarkmoor Elementary School,358,59.43
,4124,Northshore School District,Hollywood Hill Elementary,358,9.81
,4193,Walla Walla Public Schools,Blue Ridge Elementary,358,74.07
,1628,West Valley School District (Spokane),CBE Alternative Programs,359,69.28
,2915,Kalama School District,Kalama Elem School,359,45.45
,2952,Spokane School District,Lidgerwood Elementary,359,87.57
,3927,Puyallup School District,Northwood Elementary,359,39.3
,2167,Tacoma School District,Fern Hill,360,71.84
,3446,Steilacoom Hist. School District,Cherrydale Elementary,360,36.05
,3417,Lynden School District,Fisher Elementary School,361,52.11
,3961,Kiona-Benton City School District,Kiona-Benton City Middle School,361,68.73
,2089,Seattle Public Schools,Martin Luther King Jr. Elementary School,362,89.73
,2449,Aberdeen School District,McDermoth Elementary,362,61.97
,3107,Northshore School District,Arrowhead Elementary,362,20.17
,3399,Sumner School District,Eismann Elementary,362,33.42
,3424,Vancouver School District,George C Marshall Elementary,362,65.48
,3974,Seattle Public Schools,Thornton Creek Elementary School,362,9.12
,2391,Hoquiam School District,Hoquiam Middle School,363,67.56
,2751,Everett School District,Jackson Elementary School,363,66.39
,2956,West Valley School District (Spokane),Seth Woodard Elementary,363,56.79
,4422,Federal Way School District,Rainier View Elementary School,363,62.06
,2946,Burlington-Edison School District,West View Elementary,364,79.61
,3157,Seattle Public Schools,Roxhill Elementary School,364,81.15
,3211,Longview School District,Columbia Heights Elementary,364,52.88
,2768,Centralia School District,Washington Elementary School,365,83.87
,2841,Federal Way School District,Lakeland Elementary School,365,51.93
,2919,Quincy School District,Pioneer Elementary,365,86.35
,2953,Central Valley School District,Progress Elementary School,365,65.62
,3506,Spokane School District,Indian Trail Elementary,365,44.06
,3707,Kent School District,Soos Creek Elementary School,365,51.58
,4150,Marysville School District,Marshall Elementary,365,54.42
,2121,Seattle Public Schools,Leschi Elementary School,366,59.48
,2311,Puyallup School District,Stewart Elementary,366,64.58
,2856,Goldendale School District,Goldendale High School,366,51.96
,3063,Spokane School District,Westview Elementary,366,66.49
,3133,Olympia School District,Jefferson Middle School,366,42.43
,2546,Monroe School District,Maltby Elementary,367,23.78
,2937,Clover Park School District,Greenwood Elementary School,367,65.45
,3536,Edmonds School District,Brier Elementary,367,25.21
,1706,Lake Washington School District,International Community School,368,2.99
,2181,Seattle Public Schools,Alki Elementary School,368,26.74
,2774,Sedro-Woolley School District,Mary Purcell Elementary School,368,70.23
,3613,Columbia (Walla Walla) School District,Columbia Elementary,368,58.87
,4250,Sumner School District,Emerald Hills Elementary,368,38.67
,4532,Lake Washington School District,Blackwell Elementary,368,0.82
,2065,Everett School District,Garfield Elementary School,369,78.05
