,School_ID,School District,School,Enrollment,LowSES
,1648,Renton School District,Out Of District Facility,19,37.5
,1750,Seattle Public Schools,Education Service Centers,19,65.22
,1845,Methow Valley School District,Home School Experience,19,21.05
,3352,Juvenile Detention Centers,Martin Hall Detention Ctr,19,78.79
,4279,Omak School District,Omak Alternative High School,19,62.96
,5199,Central Kitsap School District,CK Online Academy,19,22.58
,1671,Quillayute Valley School District,District Run Home School,20,55
,1715,Port Angeles School District,Parents As Partners,20,44.44
,2612,Institutions,Fircrest Residential Habilitation,20,65
,1770,South Whidbey School District,Whidbey Island Academy Shared Sch,21,15.79
,2012,Seattle Public Schools,Head Start,21,90
,5223,Valley School District,Paideia High School,21,63.64
,1943,Bethel School District,Pioneer Valley Preschool,22,16.22
,3725,Shaw Island School District,Shaw Island Elementary School,22,0
,5003,Central Valley School District,Off-Campus Special Education,22,80
,5011,Orting School District,Orting Special Education,22,17.24
,5219,Federal Way School District,Federal Way Public Schools Headstart,22,46.43
,5297,Clover Park School District,Transition Day Students,22,33.33
,1735,Rochester School District,H.e.a.r.t. High School,23,62.07
,1963,San Juan Island School District,Griffin Bay School,23,40
,2491,Queets-Clearwater School District,Queets-Clearwater Elementary,23,78.95
,2948,Index School District,Index Elementary School,23,34.78
,3507,Educational Service District 101,Structural Alt Confinement School,23,71.43
,1560,Bethel School District,Thompson Preschool,24,12.5
,1790,University Place School District,University Place Special Educ,24,41.38
,1934,Kelso School District,Loowit High School,24,96.15
,2896,Garfield School District,Garfield Middle School,24,29.17
,4267,Juvenile Detention Centers,Grays Harbor Juvenile Detention,24,43.33
,4566,Cascade School District,Beaver Valley School,24,40
,5179,Ocean Beach School District,Ocean Beach Early Childhood Center,24,75.86
,5270,Deer Park School District,Deer Park Early Learning Center,24,73.17
,1781,Sumner School District,Sumner Special Services,25,33.33
,2277,Arlington School District,Arlington Special Educ School,25,15.63
,3925,Juvenile Detention Centers,Thurs Co Juv Det/Tumwater West E,25,38.78
,5122,Mead School District,Mead PreSchool,25,30.23
,5129,Franklin Pierce School District,Learning Support,25,67.65
,1629,Elma School District,East Grays Harbor High School,26,79.31
,1643,Monroe School District,Out Of District Special Ed,26,7.69
,1900,Bridgeport School District,Bridgeport Aurora High School,26,95.83
,2512,Skykomish School District,Skykomish Elementary School,26,82.76
,3048,Glenwood School District,Glenwood Secondary,26,23.08
,5267,Mary Walker School District,Digital Electronic Contact Mary Walker Parent Partnership Program,26,100
,1650,Burlington-Edison School District,BECC,27,44.83
,2039,Juvenile Detention Centers,Remann Hall Juvenile Detention Center,27,41.3
,2040,Steilacoom Hist. School District,Anderson Island Elementary,27,66.67
,2601,Juvenile Detention Centers,Snohomish Detention Center,27,25
,3137,Lamont School District,Lamont Middle School,27,61.29
,4524,Vancouver School District,Vancouver Alternative Programs,27,58.06
,1765,Stevenson-Carson School District,Preschool,28,53.33
,1799,Bellingham School District,Visions (Seamar Youth Center),28,0
,1962,Garfield School District,Garfield at Palouse High School,28,48.15
,2135,Starbuck School District,Starbuck School,28,0
,3154,Aberdeen School District,Hopkins Elementary,28,69.23
,5255,Federal Way School District,Gateway to College,28,41.38
,5272,Brewster School District,Brewster Alternative School,28,81.82
